"Plot Title: SN_740"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Lo>100)","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)"
1,10/19/20 03:53:50 PM,0.0,0.0,23.17
2,10/19/20 03:54:00 PM,0.0,0.0,23.23
3,10/19/20 03:54:10 PM,0.0,0.0,23.26
4,10/19/20 03:54:20 PM,0.0,0.0,23.31
5,10/19/20 03:54:30 PM,0.0,0.0,23.33
6,10/19/20 03:54:40 PM,0.0,0.0,23.34
7,10/19/20 03:54:50 PM,0.0,0.0,23.36
8,10/19/20 03:55:00 PM,0.0,0.0,23.38
9,10/19/20 03:55:10 PM,0.0,0.0,23.40
10,10/19/20 03:55:20 PM,0.0,0.0,23.41
11,10/19/20 03:55:30 PM,0.0,0.0,23.45
12,10/19/20 03:55:40 PM,1607.7,1595.2,23.36
13,10/19/20 03:55:50 PM,1609.8,1596.2,23.38
14,10/19/20 03:56:00 PM,1610.3,1596.2,23.38
15,10/19/20 03:56:10 PM,1610.9,1596.8,23.38
16,10/19/20 03:56:20 PM,1610.3,1596.2,23.38
17,10/19/20 03:56:30 PM,1610.9,1596.2,23.39
18,10/19/20 03:56:40 PM,1611.4,1596.2,23.39
19,10/19/20 03:56:50 PM,1611.4,1596.2,23.40
20,10/19/20 03:57:00 PM,1611.9,1596.8,23.40
21,10/19/20 03:57:10 PM,1611.9,1596.2,23.40
22,10/19/20 03:57:20 PM,1611.4,1596.8,23.40
23,10/19/20 03:57:30 PM,1611.4,1596.8,23.40
24,10/19/20 03:57:40 PM,1611.4,1596.8,23.40
25,10/19/20 03:57:50 PM,1611.9,1596.8,23.41
26,10/19/20 03:58:00 PM,1611.9,1596.8,23.41
27,10/19/20 03:58:10 PM,1611.9,1597.3,23.41
28,10/19/20 03:58:20 PM,1611.9,1597.3,23.41
29,10/19/20 03:58:30 PM,1611.9,1597.9,23.42
30,10/19/20 03:58:40 PM,1612.5,1597.9,23.42
31,10/19/20 03:58:50 PM,1611.9,1596.8,23.42
32,10/19/20 03:59:00 PM,1612.5,1597.3,23.43
33,10/19/20 03:59:10 PM,1612.5,1597.9,23.42
34,10/19/20 03:59:20 PM,1613.0,1597.3,23.42
35,10/19/20 03:59:30 PM,1613.0,1597.3,23.43
36,10/19/20 03:59:40 PM,1613.0,1597.9,23.43
37,10/19/20 03:59:50 PM,1613.0,1597.3,23.43
38,10/19/20 04:00:00 PM,1613.0,1597.9,23.44
39,10/19/20 04:00:10 PM,1613.0,1597.9,23.44
40,10/19/20 04:00:20 PM,1613.5,1597.9,23.44
41,10/19/20 04:00:30 PM,1613.5,1597.9,23.44
42,10/19/20 04:00:40 PM,1613.0,1597.9,23.44
43,10/19/20 04:00:50 PM,1613.5,1597.9,23.44
44,10/19/20 04:01:00 PM,1613.5,1597.9,23.44
45,10/19/20 04:01:10 PM,1613.5,1597.9,23.45
46,10/19/20 04:01:20 PM,112.6,124.5,23.27
47,10/19/20 04:01:30 PM,123.7,134.3,23.31
48,10/19/20 04:01:40 PM,0.0,0.0,23.56
49,10/19/20 04:01:50 PM,13942.7,12726.2,23.35
50,10/19/20 04:02:00 PM,13992.7,12749.8,23.35
51,10/19/20 04:02:10 PM,14013.7,12757.7,23.35
52,10/19/20 04:02:20 PM,14025.4,12763.9,23.36
53,10/19/20 04:02:30 PM,14028.9,12771.8,23.36
54,10/19/20 04:02:40 PM,14039.4,12770.9,23.36
55,10/19/20 04:02:50 PM,14035.9,12773.5,23.36
56,10/19/20 04:03:00 PM,14049.9,12775.3,23.36
