"Plot Title: CT_20739331"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739331, SEN S/N: 20739331)","Specific Conductance, μS/cm (LGR S/N: 20739331)","Salinity, ppt (LGR S/N: 20739331)"
1,03/06/20 12:31:10 PM,22.11,0.0,0.0123
2,03/06/20 12:31:20 PM,22.10,0.0,0.0123
3,03/06/20 12:31:30 PM,22.11,0.0,0.0123
4,03/06/20 12:31:40 PM,22.12,0.0,0.0123
5,03/06/20 12:31:50 PM,22.16,0.0,0.0123
6,03/06/20 12:32:00 PM,22.19,0.0,0.0123
7,03/06/20 12:32:10 PM,22.21,0.0,0.0123
8,03/06/20 12:32:20 PM,22.24,0.0,0.0123
9,03/06/20 12:32:30 PM,22.27,0.0,0.0123
10,03/06/20 12:32:40 PM,22.29,0.0,0.0123
11,03/06/20 12:32:50 PM,22.31,0.0,0.0123
12,03/06/20 12:33:00 PM,22.34,0.0,0.0123
13,03/06/20 12:33:10 PM,22.36,0.0,0.0123
14,03/06/20 12:33:20 PM,22.39,0.0,0.0123
15,03/06/20 12:33:30 PM,22.40,0.0,0.0123
16,03/06/20 12:33:40 PM,22.42,0.0,0.0123
17,03/06/20 12:33:50 PM,22.45,0.0,0.0123
18,03/06/20 12:34:00 PM,22.47,0.0,0.0123
19,03/06/20 12:34:10 PM,22.47,0.0,0.0123
20,03/06/20 12:34:20 PM,22.50,0.0,0.0123
21,03/06/20 12:34:30 PM,22.52,0.0,0.0123
22,03/06/20 12:34:40 PM,22.55,0.0,0.0123
23,03/06/20 12:34:50 PM,22.56,0.0,0.0123
24,03/06/20 12:35:00 PM,22.57,0.0,0.0123
25,03/06/20 12:35:10 PM,22.59,0.0,0.0123
26,03/06/20 12:35:20 PM,22.61,0.0,0.0123
27,03/06/20 12:35:30 PM,22.62,0.0,0.0123
28,03/06/20 12:35:40 PM,22.64,0.0,0.0123
29,03/06/20 12:35:50 PM,22.66,0.0,0.0123
30,03/06/20 12:36:00 PM,22.66,0.0,0.0123
31,03/06/20 12:36:10 PM,22.67,0.0,0.0123
32,03/06/20 12:36:20 PM,22.70,0.0,0.0123
33,03/06/20 12:36:30 PM,22.71,0.0,0.0123
34,03/06/20 12:36:40 PM,22.74,0.0,0.0123
35,03/06/20 12:36:50 PM,22.74,0.0,0.0123
36,03/06/20 12:37:00 PM,22.75,0.0,0.0123
37,03/06/20 12:37:10 PM,22.76,0.0,0.0123
38,03/06/20 12:37:20 PM,22.77,0.0,0.0123
39,03/06/20 12:37:30 PM,22.77,0.0,0.0123
40,03/06/20 12:37:40 PM,22.79,0.0,0.0123
41,03/06/20 12:37:50 PM,22.81,0.0,0.0123
42,03/06/20 12:38:00 PM,22.82,0.0,0.0123
43,03/06/20 12:38:10 PM,22.85,0.0,0.0123
44,03/06/20 12:38:20 PM,22.86,0.0,0.0123
