PST,Abs_Pressure_kPA,Temp_degC,Depth_m
2020-03-08T15:29:20Z,101.514,16.999,-1.431
2020-03-08T15:29:30Z,101.498,16.999,-1.433
2020-03-08T15:29:40Z,101.498,16.999,-1.433
2020-03-08T15:29:50Z,101.514,16.999,-1.431
2020-03-08T15:30:00Z,101.482,16.999,-1.434
2020-03-08T15:30:10Z,101.514,16.999,-1.431
2020-03-08T15:30:20Z,101.514,16.999,-1.431
2020-03-08T15:30:30Z,101.498,16.999,-1.433
2020-03-08T15:30:40Z,101.498,16.999,-1.433
2020-03-08T15:30:50Z,101.482,16.999,-1.434
2020-03-08T15:31:00Z,101.498,16.999,-1.433
2020-03-08T15:31:10Z,101.498,16.999,-1.433
2020-03-08T15:31:20Z,101.514,16.999,-1.431
2020-03-08T15:31:30Z,101.516,17.094,-1.431
2020-03-08T15:31:40Z,101.516,17.094,-1.431
2020-03-08T15:31:50Z,101.548,17.094,-1.428
2020-03-08T15:32:00Z,101.535,17.189,-1.429
2020-03-08T15:32:10Z,101.535,17.189,-1.429
2020-03-08T15:32:20Z,101.537,17.284,-1.429
2020-03-08T15:32:30Z,101.537,17.284,-1.429
2020-03-08T15:32:40Z,101.523,17.379,-1.43
2020-03-08T15:32:50Z,101.525,17.475,-1.43
2020-03-08T15:33:00Z,101.544,17.57,-1.428
2020-03-08T15:33:10Z,101.514,17.665,-1.431
2020-03-08T15:33:20Z,101.516,17.76,-1.431
2020-03-08T15:33:30Z,101.516,17.76,-1.431
2020-03-08T15:33:40Z,101.518,17.855,-1.431
2020-03-08T15:33:50Z,101.505,17.95,-1.432
2020-03-08T15:34:00Z,101.523,18.045,-1.43
2020-03-08T15:34:10Z,101.525,18.14,-1.43
2020-03-08T15:34:20Z,101.527,18.236,-1.43
2020-03-08T15:34:30Z,101.514,18.331,-1.431
2020-03-08T15:34:40Z,101.516,18.426,-1.431
2020-03-08T15:34:50Z,101.502,18.521,-1.432
2020-03-08T15:35:00Z,101.488,18.616,-1.434
2020-03-08T15:35:10Z,101.475,18.711,-1.435
2020-03-08T15:35:20Z,101.426,18.711,-1.44
2020-03-08T15:35:30Z,101.41,18.711,-1.442
2020-03-08T15:35:40Z,101.38,18.806,-1.445
2020-03-08T15:35:50Z,101.348,18.806,-1.448
2020-03-08T15:36:00Z,101.38,18.806,-1.445
2020-03-08T15:36:10Z,101.413,18.806,-1.441
2020-03-08T15:36:20Z,101.431,18.901,-1.439
2020-03-08T15:36:30Z,101.433,18.996,-1.439
2020-03-08T15:36:40Z,101.417,18.996,-1.441
2020-03-08T15:36:50Z,101.419,19.092,-1.441
2020-03-08T15:37:00Z,101.422,19.187,-1.44
2020-03-08T15:37:10Z,101.406,19.187,-1.442
2020-03-08T15:37:20Z,101.424,19.282,-1.44
2020-03-08T15:37:30Z,101.44,19.282,-1.439
2020-03-08T15:37:40Z,101.456,19.282,-1.437
2020-03-08T15:37:50Z,101.504,19.282,-1.432
2020-03-08T15:38:00Z,101.424,19.282,-1.44
2020-03-08T15:38:10Z,101.323,19.092,-1.45
2020-03-08T15:38:20Z,101.385,18.996,-1.444
2020-03-08T15:38:30Z,101.431,18.901,-1.439
2020-03-08T15:38:40Z,101.447,18.901,-1.438
2020-03-08T15:38:50Z,101.447,18.901,-1.438
2020-03-08T15:39:00Z,101.431,18.901,-1.439
2020-03-08T15:39:10Z,101.417,18.996,-1.441
2020-03-08T15:39:20Z,101.371,19.092,-1.445
2020-03-08T15:39:30Z,101.373,19.187,-1.445
2020-03-08T15:39:40Z,101.36,19.282,-1.447
2020-03-08T15:39:50Z,101.378,19.377,-1.445
2020-03-08T15:40:00Z,101.348,19.472,-1.448
2020-03-08T15:40:10Z,101.332,19.472,-1.449
2020-03-08T15:40:20Z,101.35,19.567,-1.447
2020-03-08T15:40:30Z,101.334,19.567,-1.449
2020-03-08T15:40:40Z,101.35,19.567,-1.447
2020-03-08T15:40:50Z,101.35,19.567,-1.447
2020-03-08T15:41:00Z,101.35,19.567,-1.447
2020-03-08T15:41:10Z,101.334,19.567,-1.449
2020-03-08T15:41:20Z,101.334,19.567,-1.449
2020-03-08T15:41:30Z,101.332,19.472,-1.449
2020-03-08T15:41:40Z,101.332,19.472,-1.449
2020-03-08T15:41:50Z,101.348,19.472,-1.448
2020-03-08T15:42:00Z,101.348,19.472,-1.448
2020-03-08T15:42:10Z,101.364,19.472,-1.446
2020-03-08T15:42:20Z,101.348,19.472,-1.448
2020-03-08T15:42:30Z,101.332,19.472,-1.449
2020-03-08T15:42:40Z,101.35,19.567,-1.447
2020-03-08T15:42:50Z,101.35,19.567,-1.447
2020-03-08T15:43:00Z,101.337,19.662,-1.449
2020-03-08T15:43:10Z,101.337,19.662,-1.449
2020-03-08T15:43:20Z,101.321,19.662,-1.45
2020-03-08T15:43:30Z,101.321,19.662,-1.45
2020-03-08T15:43:40Z,101.339,19.758,-1.449
2020-03-08T15:43:50Z,101.339,19.758,-1.449
2020-03-08T15:44:00Z,101.323,19.758,-1.45
2020-03-08T15:44:10Z,101.339,19.758,-1.449
2020-03-08T15:44:20Z,101.325,19.853,-1.45
2020-03-08T15:44:30Z,101.325,19.853,-1.45
2020-03-08T15:44:40Z,101.325,19.853,-1.45
2020-03-08T15:44:50Z,101.341,19.853,-1.448
2020-03-08T15:45:00Z,101.325,19.853,-1.45
2020-03-08T15:45:10Z,101.327,19.948,-1.45
2020-03-08T15:45:20Z,101.327,19.948,-1.45
2020-03-08T15:45:30Z,101.311,19.948,-1.451
2020-03-08T15:45:40Z,101.327,19.948,-1.45
2020-03-08T15:45:50Z,101.311,19.948,-1.451
2020-03-08T15:46:00Z,101.311,19.948,-1.451
2020-03-08T15:46:10Z,101.33,20.043,-1.449
2020-03-08T15:46:20Z,101.33,20.043,-1.449
2020-03-08T15:46:30Z,101.33,20.043,-1.449
2020-03-08T15:46:40Z,101.33,20.043,-1.449
2020-03-08T15:46:50Z,101.346,20.043,-1.448
2020-03-08T15:47:00Z,101.33,20.043,-1.449
2020-03-08T15:47:10Z,101.332,20.138,-1.449
2020-03-08T15:47:20Z,101.332,20.138,-1.449
2020-03-08T15:47:30Z,101.316,20.138,-1.451
2020-03-08T15:47:40Z,101.332,20.138,-1.449
2020-03-08T15:47:50Z,101.332,20.138,-1.449
2020-03-08T15:48:00Z,101.332,20.138,-1.449
2020-03-08T15:48:10Z,101.332,20.138,-1.449
2020-03-08T15:48:20Z,101.334,20.234,-1.449
2020-03-08T15:48:30Z,101.334,20.234,-1.449
2020-03-08T15:48:40Z,101.35,20.234,-1.447
2020-03-08T15:48:50Z,101.334,20.234,-1.449
2020-03-08T15:49:00Z,101.334,20.234,-1.449
2020-03-08T15:49:10Z,101.334,20.234,-1.449
2020-03-08T15:49:20Z,101.334,20.234,-1.449
2020-03-08T15:49:30Z,101.35,20.234,-1.447
2020-03-08T15:49:40Z,101.35,20.234,-1.447
2020-03-08T15:49:50Z,101.353,20.329,-1.447
2020-03-08T15:50:00Z,101.337,20.329,-1.449
