date,AbsPressure,TempInSitu,Depth,Serial
2020-03-06T14:36:00Z,101.429,22.142,0,872
2020-03-06T14:36:10Z,101.427,22.046,0,872
2020-03-06T14:36:20Z,101.427,22.046,0,872
2020-03-06T14:36:30Z,101.44,21.951,0.001,872
2020-03-06T14:36:40Z,101.438,21.855,0.001,872
2020-03-06T14:36:50Z,101.403,21.76,-0.002,872
2020-03-06T14:37:00Z,101.608,21.569,0.018,872
2020-03-06T14:37:10Z,103.793,21.378,0.235,872
2020-03-06T14:37:20Z,105.011,21.091,0.357,872
2020-03-06T14:37:30Z,104.73,20.805,0.329,872
2020-03-06T14:37:40Z,104.048,20.615,0.261,872
2020-03-06T14:37:50Z,103.222,20.424,0.179,872
2020-03-06T14:38:00Z,104.407,20.138,0.296,872
2020-03-06T14:38:10Z,104.566,20.043,0.312,872
2020-03-06T14:38:20Z,104.609,19.853,0.317,872
2020-03-06T14:38:30Z,105.091,19.758,0.365,872
2020-03-06T14:38:40Z,104.602,19.567,0.316,872
2020-03-06T14:38:50Z,105.745,19.472,0.43,872
2020-03-06T14:39:00Z,104.34,19.377,0.29,872
2020-03-06T14:39:10Z,105.208,19.282,0.376,872
2020-03-06T14:39:20Z,105.447,19.187,0.4,872
2020-03-06T14:39:30Z,105.964,19.187,0.451,872
2020-03-06T14:39:40Z,105.848,19.092,0.44,872
2020-03-06T14:39:50Z,105.83,18.996,0.438,872
2020-03-06T14:40:00Z,106.927,18.996,0.547,872
2020-03-06T14:40:10Z,109.123,18.901,0.766,872
2020-03-06T14:40:20Z,108.991,18.806,0.753,872
2020-03-06T14:40:30Z,109.751,18.806,0.828,872
2020-03-06T14:40:40Z,108.118,18.806,0.666,872
2020-03-06T14:40:50Z,108.713,18.711,0.725,872
2020-03-06T14:41:00Z,110.493,18.711,0.902,872
2020-03-06T14:41:10Z,109.568,18.616,0.81,872
2020-03-06T14:41:20Z,108.97,18.616,0.75,872
2020-03-06T14:41:30Z,109.859,18.616,0.839,872
2020-03-06T14:41:40Z,109.679,18.521,0.821,872
2020-03-06T14:41:50Z,113.941,18.521,1.245,872
2020-03-06T14:42:00Z,124.373,18.521,2.283,872
2020-03-06T14:42:10Z,128.632,18.426,2.706,872
2020-03-06T14:42:20Z,128.38,18.236,2.681,872
2020-03-06T14:42:30Z,129.083,18.14,2.751,872
2020-03-06T14:42:40Z,125.619,18.045,2.407,872
2020-03-06T14:42:50Z,128.338,17.95,2.677,872
2020-03-06T14:43:00Z,132.052,17.95,3.047,872
2020-03-06T14:43:10Z,134.817,17.855,3.322,872
2020-03-06T14:43:20Z,135.722,17.76,3.412,872
2020-03-06T14:43:30Z,135.141,17.665,3.354,872
2020-03-06T14:43:40Z,136.277,17.57,3.467,872
2020-03-06T14:43:50Z,138.623,17.57,3.7,872
2020-03-06T14:44:00Z,138.918,17.475,3.73,872
2020-03-06T14:44:10Z,139.924,17.379,3.83,872
2020-03-06T14:44:20Z,139.808,17.379,3.818,872
2020-03-06T14:44:30Z,140.997,17.284,3.937,872
2020-03-06T14:44:40Z,140.713,17.189,3.908,872
2020-03-06T14:44:50Z,140.183,17.189,3.856,872
2020-03-06T14:45:00Z,144.146,17.189,4.25,872
2020-03-06T14:45:10Z,148.084,17.094,4.642,872
2020-03-06T14:45:20Z,147.667,17.094,4.6,872
2020-03-06T14:45:30Z,147.634,17.094,4.597,872
2020-03-06T14:45:40Z,145.734,16.999,4.408,872
2020-03-06T14:45:50Z,149.763,16.999,4.809,872
2020-03-06T14:46:00Z,149.313,16.999,4.764,872
2020-03-06T14:46:10Z,149.313,16.999,4.764,872
2020-03-06T14:46:20Z,149.51,16.903,4.784,872
2020-03-06T14:46:30Z,149.11,16.903,4.744,872
2020-03-06T14:46:40Z,148.993,16.903,4.732,872
2020-03-06T14:46:50Z,146.163,16.903,4.451,872
2020-03-06T14:47:00Z,147.391,16.808,4.573,872
2020-03-06T14:47:10Z,147.408,16.808,4.574,872
2020-03-06T14:47:20Z,147.458,16.808,4.579,872
2020-03-06T14:47:30Z,147.574,16.808,4.591,872
2020-03-06T14:47:40Z,148.49,16.808,4.682,872
2020-03-06T14:47:50Z,147.338,16.713,4.567,872
2020-03-06T14:48:00Z,147.205,16.713,4.554,872
2020-03-06T14:48:10Z,148.17,16.713,4.65,872
2020-03-06T14:48:20Z,148.503,16.713,4.683,872
2020-03-06T14:48:30Z,148.687,16.713,4.702,872
2020-03-06T14:48:40Z,148.537,16.713,4.687,872
2020-03-06T14:48:50Z,148.653,16.713,4.698,872
2020-03-06T14:49:00Z,148.837,16.713,4.717,872
2020-03-06T14:49:10Z,148.737,16.713,4.707,872
2020-03-06T14:49:20Z,148.8,16.618,4.713,872
2020-03-06T14:49:30Z,148.5,16.618,4.683,872
2020-03-06T14:49:40Z,148.55,16.618,4.688,872
2020-03-06T14:49:50Z,148.283,16.618,4.661,872
2020-03-06T14:50:00Z,148.317,16.618,4.665,872
2020-03-06T14:50:10Z,147.318,16.618,4.565,872
2020-03-06T14:50:20Z,147.351,16.618,4.569,872
2020-03-06T14:50:30Z,147.501,16.618,4.584,872
2020-03-06T14:50:40Z,147.451,16.618,4.579,872
2020-03-06T14:50:50Z,147.251,16.618,4.559,872
2020-03-06T14:51:00Z,147.767,16.618,4.61,872
2020-03-06T14:51:10Z,147.468,16.618,4.58,872
2020-03-06T14:51:20Z,147.484,16.618,4.582,872
2020-03-06T14:51:30Z,147.368,16.618,4.57,872
2020-03-06T14:51:40Z,147.301,16.618,4.564,872
2020-03-06T14:51:50Z,147.118,16.618,4.546,872
2020-03-06T14:52:00Z,147.617,16.618,4.595,872
2020-03-06T14:52:10Z,147.548,16.523,4.588,872
2020-03-06T14:52:20Z,147.714,16.523,4.605,872
2020-03-06T14:52:30Z,147.814,16.523,4.615,872
2020-03-06T14:52:40Z,147.797,16.523,4.613,872
2020-03-06T14:52:50Z,147.714,16.523,4.605,872
2020-03-06T14:53:00Z,147.481,16.523,4.582,872
2020-03-06T14:53:10Z,147.464,16.523,4.58,872
2020-03-06T14:53:20Z,147.381,16.523,4.572,872
2020-03-06T14:53:30Z,147.265,16.523,4.56,872
2020-03-06T14:53:40Z,147.364,16.523,4.57,872
2020-03-06T14:53:50Z,147.281,16.523,4.562,872
2020-03-06T14:54:00Z,147.215,16.523,4.555,872
2020-03-06T14:54:10Z,147.181,16.523,4.552,872
2020-03-06T14:54:20Z,147.198,16.523,4.554,872
2020-03-06T14:54:30Z,147.281,16.523,4.562,872
2020-03-06T14:54:40Z,147.514,16.523,4.585,872
2020-03-06T14:54:50Z,147.731,16.523,4.607,872
2020-03-06T14:55:00Z,147.747,16.523,4.608,872
2020-03-06T14:55:10Z,147.647,16.523,4.598,872
2020-03-06T14:55:20Z,147.631,16.523,4.597,872
2020-03-06T14:55:30Z,147.564,16.523,4.59,872
2020-03-06T14:55:40Z,147.631,16.523,4.597,872
2020-03-06T14:55:50Z,147.784,16.618,4.612,872
2020-03-06T14:56:00Z,147.751,16.618,4.609,872
2020-03-06T14:56:10Z,147.584,16.618,4.592,872
2020-03-06T14:56:20Z,147.651,16.618,4.599,872
2020-03-06T14:56:30Z,147.568,16.618,4.59,872
