Machine,Replicate,Volume,DyeVolume,Absorbance
Gen 5,1,30,6,0.343
Gen 5,1,33,6,0.31
Gen 5,1,36,6,0.295
Gen 5,1,39,6,0.262
Gen 5,1,42,6,0.244
Gen 5,1,45,6,0.222
Gen 5,1,50,6,0.204
Gen 5,1,60,6,0.172
Gen 5,1,70,6,0.148
Gen 5,1,84,6,0.126
Gen 5,2,5,6,1.527
Gen 5,2,15,6,0.63
Gen 5,2,20,6,0.491
Gen 5,2,30,6,0.349
Gen 5,2,33,6,0.308
Gen 5,2,36,6,0.296
Gen 5,2,39,6,0.261
Gen 5,2,42,6,0.234
Gen 5,2,45,6,0.224
Gen 5,2,50,6,0.205
Gen 5,2,60,6,0.171
Gen 5,2,70,6,0.152
Gen 5,2,84,6,0.125
Gen 5,3,5,6,1.85
Gen 5,3,15,6,0.64
Gen 5,3,20,6,0.489
Gen 5,3,30,6,0.346
Gen 5,3,33,6,0.32
Gen 5,3,36,6,0.294
Gen 5,3,39,6,0.273
Gen 5,3,42,6,0.239
Gen 5,3,45,6,0.223
Gen 5,3,50,6,0.203
Gen 5,3,60,6,0.172
Gen 5,3,70,6,0.148
Gen 5,3,84,6,0.123
SS3000,1,260,15,0.082
SS3000,1,240,15,0.098
SS3000,1,220,15,0.102
SS3000,1,200,15,0.096
SS3000,1,180,15,0.15
SS3000,1,160,15,0.171
SS3000,1,120,15,0.179
SS3000,1,100,15,0.219
SS3000,1,80,15,0.272
SS3000,1,60,15,0.376
SS3000,1,40,15,0.506
SS3000,1,20,15,1.037
SS3000,1,10,15,1.63
SS3000,2,260,15,0.091
SS3000,2,240,15,0.092
SS3000,2,220,15,0.101
SS3000,2,200,15,0.105
SS3000,2,180,15,0.122
SS3000,2,160,15,0.166
SS3000,2,120,15,0.176
SS3000,2,100,15,0.22
SS3000,2,80,15,0.232
SS3000,2,60,15,0.392
SS3000,2,40,15,0.424
SS3000,2,20,15,1.038
SS3000,2,10,15,1.598
SS3000,3,260,15,0.089
SS3000,3,240,15,0.098
SS3000,3,220,15,0.102
SS3000,3,200,15,0.115
SS3000,3,180,15,0.117
SS3000,3,160,15,0.16
SS3000,3,120,15,0.18
SS3000,3,100,15,0.2
SS3000,3,80,15,0.27
SS3000,3,60,15,0.378
SS3000,3,40,15,0.414
SS3000,3,20,15,1.03
SS3000,3,10,15,1.637
SS3000,1,160,9,0.09
SS3000,1,140,9,0.095
SS3000,1,120,9,0.108
SS3000,1,100,9,0.137
SS3000,1,60,9,0.24
SS3000,1,40,9,0.35
SS3000,1,30,9,0.347
SS3000,1,20,9,0.675
SS3000,1,10,9,1.213
SS3000,2,160,9,0.086
SS3000,2,140,9,0.091
SS3000,2,120,9,0.114
SS3000,2,100,9,0.135
SS3000,2,60,9,0.225
SS3000,2,40,9,0.343
SS3000,2,30,9,0.353
SS3000,2,20,9,0.668
SS3000,2,10,9,1.186
SS3000,3,160,9,0.086
SS3000,3,140,9,0.091
SS3000,3,120,9,0.113
SS3000,3,100,9,0.134
SS3000,3,60,9,0.23
SS3000,3,40,9,0.34
SS3000,3,30,9,0.389
SS3000,3,20,9,0.694
SS3000,3,10,9,1.179
