date,TTris,mVTris
3/3/20,23.19,-83.7175
3/3/20,24.4225,-83.535
3/3/20,25.06917,-82.81583
3/3/20,25.85,-82.10917
3/3/20,27.03833,-80.68333
3/3/20,27.945,-79.285
10/28/20,25.319,-92.63
10/28/20,26.15,-91.96
10/28/20,27.07,-90.21
10/28/20,28.127,-89.01
10/28/20,29.08,-87.61
10/28/20,29.977,-86.32
10/29/20,24.424,-91.27
10/29/20,25.125,-90.47
10/29/20,26.9,-88.33
10/29/20,28.975,-85.85
