"Plot Title: 20739353"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739353, SEN S/N: 20739353)","Temp, °C (LGR S/N: 20739353, SEN S/N: 20739353)"
1,11/18/20 03:07:10 PM,0.0,21.98
2,11/18/20 03:07:20 PM,0.0,21.98
3,11/18/20 03:07:30 PM,0.0,21.99
4,11/18/20 03:07:40 PM,0.0,21.99
5,11/18/20 03:07:50 PM,0.0,22.01
6,11/18/20 03:08:00 PM,0.0,22.09
7,11/18/20 03:08:10 PM,44630.8,21.88
8,11/18/20 03:08:20 PM,44277.2,21.89
9,11/18/20 03:08:30 PM,44140.4,21.89
10,11/18/20 03:08:40 PM,44046.8,21.89
11,11/18/20 03:08:50 PM,43923.9,21.89
12,11/18/20 03:09:00 PM,43881.7,21.89
13,11/18/20 03:09:10 PM,43746.9,21.90
14,11/18/20 03:09:20 PM,43612.8,21.88
15,11/18/20 03:09:30 PM,43500.2,21.88
16,11/18/20 03:09:40 PM,43546.0,21.89
17,11/18/20 03:09:50 PM,43516.9,21.89
18,11/18/20 03:10:00 PM,43442.0,21.89
19,11/18/20 03:10:10 PM,43421.2,21.89
20,11/18/20 03:10:20 PM,43375.6,21.89
21,11/18/20 03:10:30 PM,43334.2,21.89
22,11/18/20 03:10:40 PM,43346.7,21.89
23,11/18/20 03:10:50 PM,43280.5,21.89
24,11/18/20 03:11:00 PM,43280.5,21.89
25,11/18/20 03:11:10 PM,43272.3,21.89
26,11/18/20 03:11:20 PM,43297.0,21.89
27,11/18/20 03:11:30 PM,43231.0,21.89
28,11/18/20 03:11:40 PM,43189.9,21.88
29,11/18/20 03:11:50 PM,43210.4,21.89
30,11/18/20 03:12:00 PM,43136.5,21.88
31,11/18/20 03:12:10 PM,43189.9,21.89
32,11/18/20 03:12:20 PM,43169.3,21.89
33,11/18/20 03:12:30 PM,43136.5,21.89
34,11/18/20 03:12:40 PM,43115.9,21.89
35,11/18/20 03:12:50 PM,43140.6,21.89
36,11/18/20 03:13:00 PM,43095.4,21.89
37,11/18/20 03:13:10 PM,43128.2,21.89
38,11/18/20 03:13:20 PM,43128.2,21.89
39,11/18/20 03:13:30 PM,43128.2,21.89
40,11/18/20 03:13:40 PM,43034.0,21.89
41,11/18/20 03:13:50 PM,43042.2,21.89
42,11/18/20 03:14:00 PM,43013.6,21.88
43,11/18/20 03:14:10 PM,43013.6,21.88
44,11/18/20 03:14:20 PM,43046.3,21.88
45,11/18/20 03:14:30 PM,43005.4,21.89
46,11/18/20 03:14:40 PM,43005.4,21.89
47,11/18/20 03:14:50 PM,43046.3,21.89
48,11/18/20 03:15:00 PM,42993.2,21.89
49,11/18/20 03:15:10 PM,42985.0,21.90
50,11/18/20 03:15:20 PM,43025.9,21.90
51,11/18/20 03:15:30 PM,43005.4,21.90
52,11/18/20 03:15:40 PM,43038.1,21.90
53,11/18/20 03:15:50 PM,42985.0,21.90
54,11/18/20 03:16:00 PM,42997.3,21.90
55,11/18/20 03:16:10 PM,43058.6,21.90
56,11/18/20 03:16:20 PM,42964.6,21.90
57,11/18/20 03:16:30 PM,42985.0,21.90
58,11/18/20 03:16:40 PM,43017.7,21.92
59,11/18/20 03:16:50 PM,43017.7,21.90
60,11/18/20 03:17:00 PM,43017.7,21.93
61,11/18/20 03:17:10 PM,43017.7,21.92
62,11/18/20 03:17:20 PM,43029.9,21.92
63,11/18/20 03:17:30 PM,43009.5,21.93
64,11/18/20 03:17:40 PM,43198.1,21.98
65,11/18/20 03:17:50 PM,43206.3,21.98
66,11/18/20 03:18:00 PM,43185.8,21.98
67,11/18/20 03:18:10 PM,43218.7,21.97
68,11/18/20 03:18:20 PM,43198.1,21.97
69,11/18/20 03:18:30 PM,43206.3,21.97
70,11/18/20 03:18:40 PM,43152.9,21.98
71,11/18/20 03:18:50 PM,43198.1,21.97
72,11/18/20 03:19:00 PM,43185.8,21.98
73,11/18/20 03:19:10 PM,43152.9,21.97
74,11/18/20 03:19:20 PM,43206.3,21.98
75,11/18/20 03:19:30 PM,43198.1,21.98
76,11/18/20 03:19:40 PM,43198.1,21.98
77,11/18/20 03:19:50 PM,43231.0,21.99
78,11/18/20 03:20:00 PM,43210.4,21.98
79,11/18/20 03:20:10 PM,43210.4,21.99
80,11/18/20 03:20:20 PM,43210.4,21.99
81,11/18/20 03:20:30 PM,43198.1,21.99
82,11/18/20 03:20:40 PM,43189.9,21.99
83,11/18/20 03:20:50 PM,43177.5,21.99
84,11/18/20 03:21:00 PM,43165.2,21.99
85,11/18/20 03:21:10 PM,43210.4,21.98
86,11/18/20 03:21:20 PM,43218.7,21.98
87,11/18/20 03:21:30 PM,43177.5,21.99
88,11/18/20 03:21:40 PM,43189.9,21.99
89,11/18/20 03:21:50 PM,43210.4,21.99
90,11/18/20 03:22:00 PM,43210.4,21.99
91,11/18/20 03:22:10 PM,43198.1,21.99
92,11/18/20 03:22:20 PM,43177.5,21.98
93,11/18/20 03:22:30 PM,43189.9,21.98
94,11/18/20 03:22:40 PM,0.0,21.97
95,11/18/20 03:22:50 PM,0.0,21.68
96,11/18/20 03:23:00 PM,0.0,21.97
97,11/18/20 03:23:10 PM,0.0,21.94
98,11/18/20 03:23:20 PM,0.0,22.43
99,11/18/20 03:23:30 PM,0.0,22.10
100,11/18/20 03:23:40 PM,0.0,22.09
101,11/18/20 03:23:50 PM,0.0,22.11
102,11/18/20 03:24:00 PM,0.0,22.14
103,11/18/20 03:24:10 PM,0.0,22.16
104,11/18/20 03:24:20 PM,0.0,22.20
105,11/18/20 03:24:30 PM,0.0,22.22
106,11/18/20 03:24:40 PM,0.0,22.26
107,11/18/20 03:24:50 PM,0.0,22.28
108,11/18/20 03:25:00 PM,0.0,22.31
109,11/18/20 03:25:10 PM,0.0,22.32
110,11/18/20 03:25:20 PM,1385.0,21.99
111,11/18/20 03:25:30 PM,1385.0,21.99
112,11/18/20 03:25:40 PM,1385.5,22.00
113,11/18/20 03:25:50 PM,1386.1,22.03
114,11/18/20 03:26:00 PM,1386.6,22.04
115,11/18/20 03:26:10 PM,1387.1,22.04
116,11/18/20 03:26:20 PM,1387.1,22.06
117,11/18/20 03:26:30 PM,1387.7,22.06
118,11/18/20 03:26:40 PM,1387.7,22.06
119,11/18/20 03:26:50 PM,1387.7,22.08
120,11/18/20 03:27:00 PM,1387.7,22.08
121,11/18/20 03:27:10 PM,1387.7,22.08
122,11/18/20 03:27:20 PM,1387.7,22.08
123,11/18/20 03:27:30 PM,1388.2,22.08
124,11/18/20 03:27:40 PM,1388.2,22.08
125,11/18/20 03:27:50 PM,1388.2,22.09
126,11/18/20 03:28:00 PM,1388.2,22.08
127,11/18/20 03:28:10 PM,1387.7,22.09
128,11/18/20 03:28:20 PM,1388.2,22.09
129,11/18/20 03:28:30 PM,1387.7,22.09
130,11/18/20 03:28:40 PM,1388.2,22.09
131,11/18/20 03:28:50 PM,0.0,22.14
132,11/18/20 03:29:00 PM,0.0,22.16
133,11/18/20 03:29:10 PM,37270.0,21.38
134,11/18/20 03:29:20 PM,37447.2,21.39
135,11/18/20 03:29:30 PM,37586.8,21.39
136,11/18/20 03:29:40 PM,37733.8,21.39
137,11/18/20 03:29:50 PM,37865.4,21.40
138,11/18/20 03:30:00 PM,37881.9,21.41
139,11/18/20 03:30:10 PM,38044.2,21.41
140,11/18/20 03:30:20 PM,38090.8,21.41
141,11/18/20 03:30:30 PM,38160.9,21.40
142,11/18/20 03:30:40 PM,38160.9,21.39
143,11/18/20 03:30:50 PM,38227.8,21.38
144,11/18/20 03:31:00 PM,38247.9,21.37
145,11/18/20 03:31:10 PM,38247.9,21.35
146,11/18/20 03:31:20 PM,38305.0,21.34
