date,TempInSitu,mV,pH,Serial
2020-03-03T10:43:00Z,23.08,-86.74,8.18,197
2020-03-03T10:43:05Z,23.05,-86.74,8.18,197
2020-03-03T10:43:10Z,23.05,-86.78,8.18,197
2020-03-03T10:43:15Z,23.05,-86.75,8.18,197
2020-03-03T10:43:20Z,23.05,-86.74,8.18,197
2020-03-03T10:43:25Z,23.05,-86.74,8.18,197
2020-03-03T10:43:30Z,23.05,-86.74,8.18,197
2020-03-03T10:43:35Z,23.05,-86.74,8.18,197
2020-03-03T10:43:40Z,23.03,-86.74,8.18,197
2020-03-03T10:43:45Z,23.03,-86.72,8.18,197
2020-03-03T10:43:50Z,23.03,-86.74,8.18,197
2020-03-03T10:43:55Z,23.03,-86.74,8.18,197
2020-03-03T10:44:00Z,23.03,-86.74,8.18,197
2020-03-03T10:44:05Z,23.03,-86.72,8.18,197
2020-03-03T10:44:10Z,23.03,-86.74,8.18,197
2020-03-03T10:44:15Z,23,-86.72,8.18,197
2020-03-03T10:44:20Z,23,-86.74,8.18,197
2020-03-03T10:44:25Z,23,-86.75,8.18,197
2020-03-03T10:44:30Z,23,-86.74,8.18,197
2020-03-03T10:44:35Z,23,-86.74,8.18,197
2020-03-03T10:44:40Z,23,-86.74,8.18,197
2020-03-03T10:44:45Z,23,-86.77,8.18,197
2020-03-03T10:44:50Z,23,-86.75,8.18,197
2020-03-03T10:44:55Z,23,-86.74,8.18,197
2020-03-03T10:45:00Z,23,-86.72,8.18,197
2020-03-03T10:45:05Z,23,-86.71,8.18,197
2020-03-03T10:45:10Z,23,-86.72,8.18,197
2020-03-03T10:45:15Z,23,-86.71,8.18,197
2020-03-03T10:45:20Z,23,-86.71,8.18,197
2020-03-03T10:45:25Z,23,-86.69,8.18,197
2020-03-03T10:45:30Z,23,-86.69,8.18,197
2020-03-03T10:45:35Z,23,-86.69,8.18,197
2020-03-03T10:45:40Z,23,-86.67,8.18,197
2020-03-03T10:45:45Z,23,-86.67,8.18,197
2020-03-03T10:45:50Z,23,-86.69,8.18,197
2020-03-03T10:45:55Z,23,-86.67,8.18,197
2020-03-03T10:46:00Z,23,-87.02,8.18,197
2020-03-03T10:46:05Z,23,-87.13,8.18,197
2020-03-03T10:46:10Z,23,-86.77,8.18,197
2020-03-03T10:46:15Z,23.03,-86.94,8.18,197
2020-03-03T10:46:20Z,23.03,-86.61,8.17,197
2020-03-03T10:46:25Z,23.03,-86.58,8.17,197
2020-03-03T10:46:30Z,23.03,-86.57,8.17,197
2020-03-03T10:46:35Z,23.03,-86.61,8.17,197
2020-03-03T10:46:40Z,23.03,-86.55,8.17,197
2020-03-03T10:46:45Z,23.05,-86.53,8.17,197
2020-03-03T10:46:50Z,23.05,-86.52,8.17,197
2020-03-03T10:46:55Z,23.05,-86.5,8.17,197
2020-03-03T10:47:00Z,23.05,-86.49,8.17,197
2020-03-03T10:47:05Z,23.05,-86.49,8.17,197
2020-03-03T10:47:10Z,23.05,-86.49,8.17,197
2020-03-03T10:47:15Z,23.05,-86.47,8.17,197
2020-03-03T10:47:20Z,23.08,-86.47,8.17,197
2020-03-03T10:47:25Z,23.08,-86.47,8.17,197
2020-03-03T10:47:30Z,23.08,-86.46,8.17,197
2020-03-03T10:47:35Z,23.08,-86.46,8.17,197
2020-03-03T10:47:40Z,23.08,-86.46,8.17,197
2020-03-03T10:47:45Z,23.08,-86.44,8.17,197
2020-03-03T10:47:50Z,23.08,-86.44,8.17,197
2020-03-03T10:47:55Z,23.08,-86.42,8.17,197
2020-03-03T10:48:00Z,23.08,-86.44,8.17,197
2020-03-03T10:48:05Z,23.1,-86.42,8.17,197
2020-03-03T10:48:10Z,23.1,-86.42,8.17,197
2020-03-03T10:48:15Z,23.1,-86.41,8.17,197
2020-03-03T10:48:20Z,23.1,-86.42,8.17,197
2020-03-03T10:48:25Z,23.1,-86.41,8.17,197
2020-03-03T10:48:30Z,23.1,-86.41,8.17,197
2020-03-03T10:48:35Z,23.1,-86.41,8.17,197
2020-03-03T10:48:40Z,23.1,-86.41,8.17,197
2020-03-03T10:48:45Z,23.1,-86.39,8.17,197
2020-03-03T10:48:50Z,23.12,-86.39,8.17,197
2020-03-03T10:48:55Z,23.12,-86.38,8.17,197
2020-03-03T10:49:00Z,23.12,-86.38,8.17,197
2020-03-03T10:49:05Z,23.12,-86.38,8.17,197
2020-03-03T10:49:10Z,23.12,-86.38,8.17,197
2020-03-03T10:49:15Z,23.12,-86.38,8.17,197
2020-03-03T10:49:20Z,23.12,-86.36,8.17,197
2020-03-03T10:49:25Z,23.12,-86.36,8.17,197
2020-03-03T10:49:30Z,23.12,-86.36,8.17,197
2020-03-03T10:49:35Z,23.12,-86.36,8.17,197
2020-03-03T10:49:40Z,23.15,-86.35,8.17,197
2020-03-03T10:49:45Z,23.15,-86.35,8.17,197
2020-03-03T10:49:50Z,23.15,-86.35,8.17,197
2020-03-03T10:49:55Z,23.15,-86.33,8.17,197
2020-03-03T10:50:00Z,23.15,-86.35,8.17,197
2020-03-03T10:50:05Z,23.15,-86.33,8.17,197
2020-03-03T10:50:10Z,23.15,-86.33,8.17,197
2020-03-03T10:50:15Z,23.15,-86.33,8.17,197
2020-03-03T10:50:20Z,23.15,-86.33,8.17,197
2020-03-03T10:50:25Z,23.15,-86.32,8.17,197
2020-03-03T10:50:30Z,23.15,-86.33,8.17,197
2020-03-03T10:50:35Z,23.15,-86.32,8.17,197
2020-03-03T10:50:40Z,23.17,-86.32,8.17,197
2020-03-03T10:50:45Z,23.17,-86.3,8.17,197
2020-03-03T10:50:50Z,23.17,-86.32,8.17,197
2020-03-03T10:50:55Z,23.17,-86.32,8.17,197
2020-03-03T10:51:00Z,23.17,-86.3,8.17,197
2020-03-03T10:51:05Z,23.17,-86.3,8.17,197
2020-03-03T10:51:10Z,23.17,-86.3,8.17,197
2020-03-03T10:51:15Z,23.17,-86.3,8.17,197
2020-03-03T10:51:20Z,23.17,-86.3,8.17,197
2020-03-03T10:51:25Z,23.17,-86.28,8.17,197
2020-03-03T10:51:30Z,23.17,-86.28,8.17,197
2020-03-03T10:51:35Z,23.17,-86.28,8.17,197
2020-03-03T10:51:40Z,23.17,-86.28,8.17,197
2020-03-03T10:51:45Z,23.17,-86.28,8.17,197
2020-03-03T10:51:50Z,23.17,-86.28,8.17,197
2020-03-03T10:51:55Z,23.17,-86.28,8.17,197
2020-03-03T10:52:00Z,23.17,-86.27,8.17,197
2020-03-03T10:52:05Z,23.17,-86.27,8.17,197
2020-03-03T10:52:10Z,23.17,-86.27,8.17,197
2020-03-03T10:52:15Z,23.2,-86.27,8.17,197
2020-03-03T10:52:20Z,23.2,-86.27,8.17,197
2020-03-03T10:52:25Z,23.2,-86.27,8.17,197
2020-03-03T10:52:30Z,23.2,-86.25,8.17,197
2020-03-03T10:52:35Z,23.2,-86.25,8.17,197
2020-03-03T10:52:40Z,23.2,-86.25,8.17,197
2020-03-03T10:52:45Z,23.2,-86.25,8.17,197
2020-03-03T10:52:50Z,23.2,-86.25,8.17,197
2020-03-03T10:52:55Z,23.2,-86.24,8.17,197
2020-03-03T10:53:00Z,23.2,-86.25,8.17,197
2020-03-03T10:53:05Z,23.2,-86.24,8.17,197
2020-03-03T10:53:10Z,23.2,-86.24,8.17,197
2020-03-03T10:53:15Z,23.2,-86.24,8.17,197
2020-03-03T10:53:20Z,23.2,-86.22,8.17,197
2020-03-03T10:53:25Z,23.2,-86.38,8.17,197
2020-03-03T10:53:30Z,23.2,-86.24,8.17,197
2020-03-03T10:53:35Z,23.2,-86.24,8.17,197
2020-03-03T10:53:40Z,23.2,-86.24,8.17,197
2020-03-03T10:53:45Z,23.22,-86.24,8.17,197
2020-03-03T10:53:50Z,23.22,-86.22,8.17,197
