PST,Temp_degC,HOBO_Lux
2020-03-02T14:35:00Z,17.2,883
2020-03-02T14:36:00Z,17.2,888
2020-03-02T14:37:00Z,17.2,883
2020-03-02T14:38:00Z,17.2,887
2020-03-02T14:39:00Z,17.16,890
2020-03-02T14:40:00Z,17.16,1376
2020-03-02T14:41:00Z,17.2,1368
2020-03-02T14:42:00Z,17.16,1378
2020-03-02T14:43:00Z,17.16,1376
2020-03-02T14:44:00Z,17.16,1375
2020-03-02T14:45:00Z,17.2,1375
2020-03-02T14:46:00Z,17.2,1380
2020-03-02T14:47:00Z,17.2,1380
2020-03-02T14:48:00Z,17.16,1389
2020-03-02T14:49:00Z,17.2,1378
2020-03-02T14:50:00Z,17.16,1646
2020-03-02T14:51:00Z,17.2,1647
2020-03-02T14:52:00Z,17.2,1620
2020-03-02T14:53:00Z,17.2,1654
2020-03-02T14:54:00Z,17.2,1633
2020-03-02T14:55:00Z,17.11,1651
2020-03-02T14:56:00Z,17.16,1651
2020-03-02T14:57:00Z,17.16,1653
2020-03-02T14:58:00Z,17.2,1654
2020-03-02T14:59:00Z,17.2,1663
2020-03-02T15:00:00Z,17.2,1656
2020-03-02T15:01:00Z,17.16,1653
2020-03-02T15:02:00Z,17.16,1675
2020-03-02T15:03:00Z,17.2,1644
2020-03-02T15:04:00Z,17.16,1662
2020-03-02T15:05:00Z,17.16,1656
2020-03-02T15:06:00Z,17.11,1632
2020-03-02T15:07:00Z,17.16,1649
2020-03-02T15:08:00Z,17.16,1638
2020-03-02T15:09:00Z,17.16,1647
2020-03-02T15:10:00Z,17.16,1654
2020-03-02T15:11:00Z,17.24,2122
2020-03-02T15:12:00Z,17.2,2150
2020-03-02T15:13:00Z,17.2,2143
2020-03-02T15:14:00Z,17.2,2146
2020-03-02T15:15:00Z,17.2,2130
2020-03-02T15:16:00Z,17.2,2132
2020-03-02T15:17:00Z,17.2,2136
2020-03-02T15:18:00Z,17.2,2134
2020-03-02T15:19:00Z,17.2,2114
2020-03-02T15:20:00Z,17.2,2118
2020-03-02T15:21:00Z,17.11,2137
2020-03-02T15:22:00Z,17.16,2139
2020-03-02T15:23:00Z,17.16,2143
2020-03-02T15:24:00Z,17.16,2801
2020-03-02T15:25:00Z,17.2,2828
2020-03-02T15:26:00Z,17.24,2836
2020-03-02T15:27:00Z,17.24,2824
2020-03-02T15:28:00Z,17.2,2829
2020-03-02T15:29:00Z,17.24,2838
2020-03-02T15:30:00Z,17.24,2828
2020-03-02T15:31:00Z,17.24,3122
2020-03-02T15:32:00Z,17.2,3128
2020-03-02T15:33:00Z,17.2,3123
2020-03-02T15:34:00Z,17.24,3124
2020-03-02T15:35:00Z,17.2,3110
2020-03-02T15:36:00Z,17.24,3118
2020-03-02T15:37:00Z,17.2,3136
2020-03-02T15:38:00Z,17.2,3091
2020-03-02T15:39:00Z,17.2,3124
2020-03-02T15:40:00Z,17.24,3117
2020-03-02T15:41:00Z,17.2,3110
2020-03-02T15:42:00Z,17.24,3432
2020-03-02T15:43:00Z,17.29,3425
2020-03-02T15:44:00Z,17.29,3407
2020-03-02T15:45:00Z,17.24,3462
2020-03-02T15:46:00Z,17.24,3444
2020-03-02T15:47:00Z,17.24,3469
2020-03-02T15:48:00Z,17.24,3430
2020-03-02T15:49:00Z,17.24,3476
2020-03-02T15:50:00Z,17.24,4140
2020-03-02T15:51:00Z,17.29,4101
2020-03-02T15:52:00Z,17.16,4147
2020-03-02T15:53:00Z,17.2,4133
2020-03-02T15:54:00Z,17.29,4154
2020-03-02T15:55:00Z,17.29,4147
2020-03-02T15:56:00Z,17.29,4150
2020-03-02T15:57:00Z,17.29,4193
2020-03-02T15:58:00Z,17.24,4108
2020-03-02T15:59:00Z,17.29,4090
2020-03-02T16:00:00Z,17.29,4115
2020-03-02T16:01:00Z,17.24,4161
2020-03-02T16:02:00Z,17.2,4157
2020-03-02T16:03:00Z,17.24,4150
2020-03-02T16:04:00Z,17.24,4140
2020-03-02T16:05:00Z,17.16,4136
2020-03-02T16:06:00Z,17.24,4097
2020-03-02T16:07:00Z,17.2,4136
2020-03-02T16:08:00Z,17.24,4111
2020-03-02T16:09:00Z,17.29,4143
2020-03-02T16:10:00Z,17.24,4796
2020-03-02T16:11:00Z,17.29,4814
2020-03-02T16:12:00Z,17.29,4760
2020-03-02T16:13:00Z,17.24,4796
2020-03-02T16:14:00Z,17.29,4792
2020-03-02T16:15:00Z,17.29,4732
2020-03-02T16:16:00Z,17.29,4778
2020-03-02T16:17:00Z,17.24,4803
2020-03-02T16:18:00Z,17.24,4742
2020-03-02T16:19:00Z,17.29,4772
2020-03-02T16:20:00Z,17.24,4786
2020-03-02T16:21:00Z,17.24,4800
2020-03-02T16:22:00Z,17.29,4824
2020-03-02T16:23:00Z,17.29,4764
2020-03-02T16:24:00Z,17.33,4806
2020-03-02T16:25:00Z,17.29,4786
2020-03-02T16:26:00Z,17.29,4800
2020-03-02T16:27:00Z,17.29,4800
2020-03-02T16:28:00Z,17.29,4820
2020-03-02T16:29:00Z,17.29,4810
2020-03-02T16:30:00Z,17.24,4814
2020-03-02T16:31:00Z,17.29,4810
2020-03-02T16:32:00Z,17.2,3372
2020-03-02T16:33:00Z,17.24,3388
2020-03-02T16:34:00Z,17.24,3396
2020-03-02T16:35:00Z,17.16,3375
2020-03-02T16:36:00Z,17.2,3395
2020-03-02T16:37:00Z,17.24,3386
2020-03-02T16:38:00Z,17.24,3411
2020-03-02T16:39:00Z,17.24,3412
2020-03-02T16:40:00Z,17.29,3419
2020-03-02T16:41:00Z,17.24,3384
2020-03-02T16:42:00Z,17.24,3379
2020-03-02T16:43:00Z,17.24,3845
2020-03-02T16:44:00Z,17.24,3827
2020-03-02T16:45:00Z,17.29,3827
2020-03-02T16:46:00Z,17.24,3841
2020-03-02T16:47:00Z,17.29,3873
2020-03-02T16:48:00Z,17.24,3831
2020-03-02T16:49:00Z,17.24,3845
2020-03-02T16:50:00Z,17.2,3799
2020-03-02T16:51:00Z,17.29,3835
2020-03-02T16:52:00Z,17.29,3803
2020-03-02T16:53:00Z,17.29,3839
2020-03-02T16:54:00Z,17.29,3849
2020-03-02T16:55:00Z,17.29,3859
2020-03-02T16:56:00Z,17.29,3867
2020-03-02T16:57:00Z,17.29,3873
2020-03-02T16:58:00Z,17.29,3803
2020-03-02T16:59:00Z,17.24,3845
2020-03-02T17:00:00Z,17.24,3871
2020-03-02T17:01:00Z,17.24,3131
2020-03-02T17:02:00Z,17.24,3124
2020-03-02T17:03:00Z,17.2,3095
2020-03-02T17:04:00Z,17.24,3004
2020-03-02T17:05:00Z,17.2,2995
2020-03-02T17:06:00Z,17.24,3013
2020-03-02T17:07:00Z,17.2,3000
2020-03-02T17:08:00Z,17.24,3017
2020-03-02T17:09:00Z,17.29,3016
2020-03-02T17:10:00Z,17.24,3018
2020-03-02T17:11:00Z,17.24,3003
2020-03-02T17:12:00Z,17.24,3027
2020-03-02T17:13:00Z,17.2,2999
2020-03-02T17:14:00Z,17.24,3050
2020-03-02T17:15:00Z,17.2,3027
2020-03-02T17:16:00Z,17.16,3003
2020-03-02T17:17:00Z,17.2,3013
2020-03-02T17:18:00Z,17.2,3030
2020-03-02T17:19:00Z,17.2,3039
2020-03-02T17:20:00Z,17.24,3018
2020-03-02T17:21:00Z,17.24,3040
2020-03-02T17:22:00Z,17.2,3026
2020-03-02T17:23:00Z,17.24,3030
2020-03-02T17:24:00Z,17.24,3009
2020-03-02T17:25:00Z,17.2,3035
2020-03-02T17:26:00Z,17.24,3023
2020-03-02T17:27:00Z,17.2,2976
2020-03-02T17:28:00Z,17.2,3036
2020-03-02T17:29:00Z,17.2,3030
2020-03-02T17:30:00Z,17.2,3050
2020-03-02T17:31:00Z,17.24,3050
2020-03-02T17:32:00Z,17.2,3027
2020-03-02T17:33:00Z,17.24,3064
2020-03-02T17:34:00Z,17.24,3076
2020-03-02T17:35:00Z,17.24,3053
2020-03-02T17:36:00Z,17.24,3055
2020-03-02T17:37:00Z,17.2,3036
2020-03-02T17:38:00Z,17.24,3109
2020-03-02T17:39:00Z,17.2,3027
2020-03-02T17:40:00Z,17.24,3073
2020-03-02T17:41:00Z,17.2,3022
2020-03-02T17:42:00Z,17.24,3041
2020-03-02T17:43:00Z,17.24,3031
2020-03-02T17:44:00Z,17.24,3022
2020-03-02T17:45:00Z,17.16,3022
2020-03-02T17:46:00Z,17.2,3054
2020-03-02T17:47:00Z,17.24,3045
2020-03-02T17:48:00Z,17.24,3041
2020-03-02T17:49:00Z,17.29,3032
2020-03-02T17:50:00Z,17.24,3073
2020-03-02T17:51:00Z,17.2,3016
2020-03-02T17:52:00Z,17.24,3004
2020-03-02T17:53:00Z,17.24,2980
2020-03-02T17:54:00Z,17.24,2985
2020-03-02T17:55:00Z,17.24,2984
2020-03-02T17:56:00Z,17.2,2962
2020-03-02T17:57:00Z,17.2,3000
2020-03-02T17:58:00Z,17.16,2998
2020-03-02T17:59:00Z,17.2,2966
2020-03-02T18:00:00Z,17.24,2975
2020-03-02T18:01:00Z,17.2,2279
2020-03-02T18:02:00Z,17.24,2290
2020-03-02T18:03:00Z,17.24,2304
2020-03-02T18:04:00Z,17.2,2269
2020-03-02T18:05:00Z,17.2,2313
2020-03-02T18:06:00Z,17.16,2281
2020-03-02T18:07:00Z,17.16,2269
2020-03-02T18:08:00Z,17.2,2283
2020-03-02T18:09:00Z,17.2,2244
2020-03-02T18:10:00Z,17.16,2281
2020-03-02T18:11:00Z,17.2,2272
2020-03-02T18:12:00Z,17.2,2276
2020-03-02T18:13:00Z,17.16,2262
2020-03-02T18:14:00Z,17.24,2283
2020-03-02T18:15:00Z,17.2,2276
2020-03-02T18:16:00Z,17.16,2269
2020-03-02T18:17:00Z,17.16,2277
2020-03-02T18:18:00Z,17.2,2277
2020-03-02T18:19:00Z,17.16,2247
2020-03-02T18:20:00Z,17.16,2295
2020-03-02T18:21:00Z,17.2,2270
2020-03-02T18:22:00Z,17.16,2286
2020-03-02T18:23:00Z,17.2,2251
2020-03-02T18:24:00Z,17.24,2269
2020-03-02T18:25:00Z,17.2,2281
2020-03-02T18:26:00Z,17.2,2315
2020-03-02T18:27:00Z,17.16,2262
2020-03-02T18:28:00Z,17.24,2270
2020-03-02T18:29:00Z,17.16,2258
2020-03-02T18:30:00Z,17.16,2270
2020-03-02T18:31:00Z,17.24,2277
2020-03-02T18:32:00Z,17.16,2274
2020-03-02T18:33:00Z,17.2,2260
2020-03-02T18:34:00Z,17.2,2277
2020-03-02T18:35:00Z,17.2,2254
2020-03-02T18:36:00Z,17.2,2272
2020-03-02T18:37:00Z,17.2,2260
2020-03-02T18:38:00Z,17.2,2274
2020-03-02T18:39:00Z,17.2,2262
2020-03-02T18:40:00Z,17.2,2237
