Unix_Timestamp_second,UTC_Date_Time,PST,Battery_volts,Temp_degC,PAR,Ax_g,Ay_g,Az_g
1581450000,           2020-02-11 19:40:00,2020-02-11T11:40:00Z,3.49,22.132,6.47093,1027,96,296
1581450060,           2020-02-11 19:41:00,2020-02-11T11:41:00Z,3.49,22.216,6.3161,1032,102,291
1581450120,           2020-02-11 19:42:00,2020-02-11T11:42:00Z,3.49,22.3,6.36565,1004,92,295
1581450180,           2020-02-11 19:43:00,2020-02-11T11:43:00Z,3.49,22.358,6.45545,1120,124,112
1581450240,           2020-02-11 19:44:00,2020-02-11T11:44:00Z,3.49,22.383,6.33778,1116,112,128
1581450300,           2020-02-11 19:45:00,2020-02-11T11:45:00Z,3.49,22.392,6.45854,1112,128,112
1581450360,           2020-02-11 19:46:00,2020-02-11T11:46:00Z,3.49,22.417,6.2263,1116,136,112
1581450420,           2020-02-11 19:47:00,2020-02-11T11:47:00Z,3.49,22.425,6.34397,1116,112,120
1581450480,           2020-02-11 19:48:00,2020-02-11T11:48:00Z,3.49,22.45,6.33778,1095,136,166
1581450540,           2020-02-11 19:49:00,2020-02-11T11:49:00Z,3.49,22.45,6.30371,1104,140,124
1581450600,           2020-02-11 19:50:00,2020-02-11T11:50:00Z,3.49,22.45,6.25727,1113,96,143
1581450660,           2020-02-11 19:51:00,2020-02-11T11:51:00Z,3.49,22.434,6.24488,1000,94,292
1581450720,           2020-02-11 19:52:00,2020-02-11T11:52:00Z,3.49,22.434,6.50499,1008,92,296
1581450780,           2020-02-11 19:53:00,2020-02-11T11:53:00Z,3.49,22.425,9.23618,1136,12,156
1581450840,           2020-02-11 19:54:00,2020-02-11T11:54:00Z,3.49,22.417,21.4491,1112,152,160
1581450900,           2020-02-11 19:55:00,2020-02-11T11:55:00Z,3.48,22.425,21.74947,1120,38,163
1581450960,           2020-02-11 19:56:00,2020-02-11T11:56:00Z,3.48,22.425,21.58845,1112,80,134
1581451020,           2020-02-11 19:57:00,2020-02-11T11:57:00Z,3.48,22.434,21.57916,1120,78,124
1581451080,           2020-02-11 19:58:00,2020-02-11T11:58:00Z,3.48,22.425,21.57606,1116,80,124
1581451140,           2020-02-11 19:59:00,2020-02-11T11:59:00Z,3.48,22.417,21.542,1108,81,148
1581451200,           2020-02-11 20:00:00,2020-02-11T12:00:00Z,3.48,22.417,21.6318,1094,76,192
1581451260,           2020-02-11 20:01:00,2020-02-11T12:01:00Z,3.48,22.425,21.71541,1100,78,172
1581451320,           2020-02-11 20:02:00,2020-02-11T12:02:00Z,3.48,22.4,21.67825,1006,35,304
1581451380,           2020-02-11 20:03:00,2020-02-11T12:03:00Z,3.48,22.425,21.48936,1118,68,124
