7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
"Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)"
"1581450000, +3.49, +22.132,  +6.47093, +1027.000, +96.000, +296.000"
"1581450060, +3.49, +22.216,  +6.31610, +1032.000, +102.000, +291.000"
"1581450120, +3.49, +22.300,  +6.36565, +1004.000, +92.000, +295.000"
"1581450180, +3.49, +22.358,  +6.45545, +1120.000, +124.000, +112.000"
"1581450240, +3.49, +22.383,  +6.33778, +1116.000, +112.000, +128.000"
"1581450300, +3.49, +22.392,  +6.45854, +1112.000, +128.000, +112.000"
"1581450360, +3.49, +22.417,  +6.22630, +1116.000, +136.000, +112.000"
"1581450420, +3.49, +22.425,  +6.34397, +1116.000, +112.000, +120.000"
"1581450480, +3.49, +22.450,  +6.33778, +1095.000, +136.000, +166.000"
"1581450540, +3.49, +22.450,  +6.30371, +1104.000, +140.000, +124.000"
"1581450600, +3.49, +22.450,  +6.25727, +1113.000, +96.000, +143.000"
"1581450660, +3.49, +22.434,  +6.24488, +1000.000, +94.000, +292.000"
"1581450720, +3.49, +22.434,  +6.50499, +1008.000, +92.000, +296.000"
"1581450780, +3.49, +22.425,  +9.23618, +1136.000, +12.000, +156.000"
"1581450840, +3.49, +22.417, +21.44910, +1112.000, +152.000, +160.000"
"1581450900, +3.48, +22.425, +21.74947, +1120.000, +38.000, +163.000"
"1581450960, +3.48, +22.425, +21.58845, +1112.000, +80.000, +134.000"
"1581451020, +3.48, +22.434, +21.57916, +1120.000, +78.000, +124.000"
"1581451080, +3.48, +22.425, +21.57606, +1116.000, +80.000, +124.000"
"1581451140, +3.48, +22.417, +21.54200, +1108.000, +81.000, +148.000"
"1581451200, +3.48, +22.417, +21.63180, +1094.000, +76.000, +192.000"
"1581451260, +3.48, +22.425, +21.71541, +1100.000, +78.000, +172.000"
"1581451320, +3.48, +22.400, +21.67825, +1006.000, +35.000, +304.000"
"1581451380, +3.48, +22.425, +21.48936, +1118.000, +68.000, +124.000"
"1581451440, +3.48, +22.408, +21.74328, +1116.000, +76.000, +124.000"
"1581451500, +3.48, +22.408, +21.64109, +1118.000, +56.000, +132.000"
"1581451560, +3.48, +22.392, +21.73089, +1115.000, +32.000, +159.000"
"1581451620, +3.48, +22.417, +21.83618, +1118.000, +72.000, +124.000"
"1581451680, +3.48, +22.400, +21.42124, +1116.000, +35.000, +169.000"
"1581451740, +3.48, +22.425, +21.60393, +1107.000, +82.000, +152.000"
"1581451800, +3.48, +22.392, +21.45220, +1112.000, +81.000, +134.000"
"1581451860, +3.48, +22.392, +21.39646, +1008.000, +35.000, +304.000"
"1581451920, +3.48, +22.400, +21.05584, +1008.000, +39.000, +304.000"
"1581451980, +3.48, +22.400, +21.75567, +1120.000, +56.000, +132.000"
"1581452040, +3.48, +22.417, +21.62561, +1116.000, +38.000, +163.000"
"1581452100, +3.48, +22.408, +21.40885, +1008.000, +35.000, +305.000"
"1581452160, +3.48, +22.434, +21.83618, +1116.000, +32.000, +159.000"
"1581452220, +3.47, +22.434, +21.71851, +1118.000, +32.000, +175.000"
"1581452280, +3.47, +22.450, +21.48936, +1120.000, +64.000, +128.000"
"1581452340, +3.47, +22.408, +21.56677, +1007.000, +35.000, +307.000"
"1581452400, +3.47, +22.408, +21.62251, +1107.000, +79.000, +152.000"
"1581452460, +3.47, +22.425, +21.66587, +1112.000, +80.000, +136.000"
"1581452520, +3.47, +22.408, +21.79283, +1120.000, +33.000, +167.000"
"1581452580, +3.47, +22.450, +21.93527, +1112.000, +80.000, +136.000"
"1581452640, +3.47, +22.408, +21.64419, +1007.000, +35.000, +304.000"
"1581452700, +3.47, +22.442, +21.58845, +1091.000, +70.000, +200.000"
"1581452760, +3.47, +22.442, +21.43981, +1100.000, +76.000, +176.000"
"1581452820, +3.47, +22.434, +21.51413, +1108.000, +80.000, +140.000"
"1581452880, +3.47, +22.417, +21.36240, +1120.000, +32.000, +172.000"
"1581452940, +3.47, +22.450, +21.69373, +1008.000, +33.000, +304.000"
"1581453000, +3.47, +22.425, +21.47388, +1120.000, +56.000, +129.000"
"1581453060, +3.47, +22.425, +21.51723, +1112.000, +78.000, +134.000"
"1581453120, +3.47, +22.434, +21.56058, +1116.000, +64.000, +120.000"
"1581453180, +3.47, +22.434, +21.70922, +1105.000, +76.000, +158.000"
"1581453240, +3.47, +22.408, +21.43672, +1100.000, +76.000, +172.000"
"1581453300, +3.47, +22.417, +21.62561, +1120.000, +52.000, +130.000"
"1581453360, +3.47, +22.417, +21.71231, +1120.000, +32.000, +167.000"
"1581453420, +3.47, +22.442, +21.67206, +1113.000, +78.000, +131.000"
"1581453480, +3.47, +22.442, +21.57606, +1103.000, +78.000, +166.000"
"1581453540, +3.47, +22.425, +21.84856, +1104.000, +80.000, +156.000"
"1581453600, +3.47, +22.408, +21.89501, +1112.000, +80.000, +134.000"
"1581453660, +3.47, +22.425, +21.51413, +1120.000, +76.000, +120.000"
"1581453720, +3.47, +22.434, +21.45839, +1112.000, +80.000, +136.000"
"1581453780, +3.47, +22.434, +21.74328, +1118.000, +70.000, +120.000"
"1581453840, +3.47, +22.417, +21.58845, +1112.000, +80.000, +134.000"
"1581453900, +3.47, +22.434, +21.60084, +1104.000, +78.000, +160.000"
"1581453960, +3.47, +22.417, +21.52652, +1107.000, +80.000, +147.000"
"1581454020, +3.47, +22.442, +21.65967, +1108.000, +80.000, +147.000"
"1581454080, +3.47, +22.442, +21.70302, +1007.000, +32.000, +304.000"
"1581454140, +3.47, +22.400, +21.63800, +1118.000, +32.000, +164.000"
"1581454200, +3.47, +22.442, +21.46459, +1112.000, +78.000, +124.000"
"1581454260, +3.47, +22.442, +21.58226, +1116.000, +76.000, +124.000"
"1581454320, +3.47, +22.417, +21.57297, +1008.000, +32.000, +304.000"
"1581454380, +3.47, +22.442, +21.56677, +1088.000, +68.000, +206.000"
"1581454440, +3.47, +22.450, +21.26641, +1107.000, +80.000, +144.000"
"1581454500, +3.47, +22.442, +21.71231, +1092.000, +70.000, +199.000"
"1581454560, +3.47, +22.450, +21.48317, +1116.000, +78.000, +128.000"
"1581454620, +3.47, +22.425, +21.78973, +1108.000, +80.000, +145.000"
"1581454680, +3.47, +22.442, +21.72780, +1006.000, +35.000, +304.000"
"1581454740, +3.47, +22.425, +21.85785, +1120.000, +64.000, +128.000"
"1581454800, +3.47, +22.425, +21.51104, +1120.000, +54.000, +128.000"
"1581454860, +3.47, +22.459, +21.26021, +1116.000, +76.000, +120.000"
"1581454920, +3.47, +22.459, +22.44001, +1110.000, +78.000, +176.000"
"1581454980, +3.47, +22.467, +22.41214, +1104.000, +76.000, +184.000"
"1581455040, +3.47, +22.517, +22.43691, +1107.000, +78.000, +164.000"
"1581455100, +3.47, +22.517, +22.26041, +1084.000, +64.000, +246.000"
"1581455160, +3.46, +22.542, +22.25112, +1095.000, +71.000, +206.000"
"1581455220, +3.47, +22.534, +22.17990, +1096.000, +72.000, +198.000"
"1581455280, +3.47, +22.576, +22.19538, +1112.000, +76.000, +156.000"
"1581455340, +3.46, +22.584, +22.24802, +1084.000, +64.000, +240.000"
"1581455400, +3.47, +22.567, +22.17061, +1091.000, +70.000, +220.000"
