MiniDOT Logger Concatenated Data File
Sensor:             7530-428102
Concatenation Date: 2020Feb11 14:16:36 PST


            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1581450000,           2020-02-11 19:40:00,           2020-02-11 11:40:00,      3.490000,     22.132000,      6.470930,     1027.000000,       96.000000,      296.000000
                1581450060,           2020-02-11 19:41:00,           2020-02-11 11:41:00,      3.490000,     22.216000,      6.316100,     1032.000000,      102.000000,      291.000000
                1581450120,           2020-02-11 19:42:00,           2020-02-11 11:42:00,      3.490000,     22.300000,      6.365650,     1004.000000,       92.000000,      295.000000
                1581450180,           2020-02-11 19:43:00,           2020-02-11 11:43:00,      3.490000,     22.358000,      6.455450,     1120.000000,      124.000000,      112.000000
                1581450240,           2020-02-11 19:44:00,           2020-02-11 11:44:00,      3.490000,     22.383000,      6.337780,     1116.000000,      112.000000,      128.000000
                1581450300,           2020-02-11 19:45:00,           2020-02-11 11:45:00,      3.490000,     22.392000,      6.458540,     1112.000000,      128.000000,      112.000000
                1581450360,           2020-02-11 19:46:00,           2020-02-11 11:46:00,      3.490000,     22.417000,      6.226300,     1116.000000,      136.000000,      112.000000
                1581450420,           2020-02-11 19:47:00,           2020-02-11 11:47:00,      3.490000,     22.425000,      6.343970,     1116.000000,      112.000000,      120.000000
                1581450480,           2020-02-11 19:48:00,           2020-02-11 11:48:00,      3.490000,     22.450000,      6.337780,     1095.000000,      136.000000,      166.000000
                1581450540,           2020-02-11 19:49:00,           2020-02-11 11:49:00,      3.490000,     22.450000,      6.303710,     1104.000000,      140.000000,      124.000000
                1581450600,           2020-02-11 19:50:00,           2020-02-11 11:50:00,      3.490000,     22.450000,      6.257270,     1113.000000,       96.000000,      143.000000
