wavelength,intensity
443.18,962
443.53,1018
443.88,1004
444.23,1071
444.58,1104
444.93,1155
445.28,1156
445.63,1242
445.98,1265
446.33,1326
446.68,1357
447.03,1431
447.38,1453
447.73,1488
448.08,1585
448.43,1572
448.78,1645
449.13,1733
449.48,1746
449.83,1719
450.18,1893
450.53,1815
450.88,1869
451.23,1911
451.58,1963
451.93,2009
452.28,1993
452.63,2049
452.98,2128
453.33,2074
453.67,2170
454.02,2092
454.37,2117
454.72,2170
455.07,2200
455.42,2179
455.77,2214
456.12,2239
456.47,2262
456.82,2258
457.17,2234
457.52,2327
457.86,2374
458.21,2293
458.56,2319
458.91,2356
459.26,2242
459.61,2265
459.96,2346
460.31,2267
460.65,2271
461,2265
461.35,2212
461.7,2131
462.05,2249
462.4,2130
462.74,2111
463.09,2080
463.44,2047
463.79,2012
464.14,1906
464.49,1871
464.83,1886
465.18,1787
465.53,1783
465.88,1678
466.23,1659
466.57,1702
466.92,1585
467.27,1555
467.62,1460
467.97,1464
468.31,1448
468.66,1393
469.01,1382
469.36,1341
469.7,1320
470.05,1304
470.4,1268
470.75,1230
471.09,1192
471.44,1199
471.79,1180
472.14,1149
472.48,1111
472.83,1134
473.18,1116
473.52,1069
473.87,1074
474.22,1029
474.57,1014
474.91,1015
475.26,996
475.61,991
475.95,954
476.3,937
476.65,935
476.99,938
477.34,911
477.69,893
478.03,879
478.38,857
478.73,860
479.07,821
479.42,814
479.77,789
480.11,788
480.46,787
480.8,749
481.15,753
481.5,742
481.84,729
482.19,725
482.54,709
482.88,694
483.23,687
483.57,659
483.92,657
484.27,650
484.61,631
484.96,638
485.3,604
485.65,611
485.99,583
486.34,583
486.69,581
487.03,583
487.38,572
487.72,582
488.07,569
488.41,565
488.76,563
489.1,547
489.45,546
489.79,534
490.14,543
490.48,548
490.83,544
491.17,545
491.52,533
491.86,520
492.21,529
492.55,549
492.9,519
493.24,529
493.59,531
493.93,533
494.28,543
494.62,543
494.97,532
495.31,521
495.66,537
496,543
496.35,547
496.69,537
497.04,571
497.38,555
497.72,553
498.07,562
498.41,567
498.76,574
499.1,591
499.44,573
499.79,583
500.13,600
500.48,598
500.82,599
501.16,624
501.51,632
501.85,623
502.2,631
502.54,650
502.88,656
503.23,685
503.57,671
503.91,704
504.26,698
504.6,702
504.95,718
505.29,732
505.63,754
505.98,772
506.32,776
506.66,794
507.01,805
507.35,797
507.69,826
508.03,848
508.38,843
508.72,870
509.06,882
509.41,899
509.75,931
510.09,947
510.44,969
510.78,963
511.12,989
511.46,1012
511.81,1030
512.15,1048
512.49,1059
512.83,1081
513.18,1080
513.52,1106
513.86,1133
514.2,1132
514.55,1164
514.89,1176
515.23,1218
515.57,1222
515.91,1255
516.26,1264
516.6,1285
516.94,1309
517.28,1328
517.62,1332
517.97,1364
518.31,1370
518.65,1363
518.99,1398
519.33,1424
519.68,1450
520.02,1459
520.36,1473
520.7,1516
521.04,1498
521.38,1512
521.73,1525
522.07,1542
522.41,1541
522.75,1558
523.09,1544
523.43,1583
523.77,1574
524.11,1593
524.46,1602
524.8,1601
525.14,1629
525.48,1624
525.82,1615
526.16,1643
526.5,1627
526.84,1610
527.18,1632
527.52,1636
527.86,1631
528.21,1606
528.55,1615
528.89,1632
529.23,1593
529.57,1584
529.91,1614
530.25,1603
530.59,1602
530.93,1595
531.27,1593
531.61,1599
531.95,1587
532.29,1546
532.63,1562
532.97,1574
533.31,1543
533.65,1554
533.99,1541
534.33,1538
534.67,1556
535.01,1524
535.35,1525
535.69,1527
536.03,1506
536.37,1513
536.71,1500
537.05,1474
537.39,1499
537.73,1488
538.07,1486
538.41,1480
538.75,1465
539.08,1444
539.42,1465
539.76,1456
540.1,1450
540.44,1449
540.78,1434
541.12,1418
541.46,1413
541.8,1402
542.14,1418
542.48,1443
542.81,1412
543.15,1410
543.49,1407
543.83,1366
544.17,1395
544.51,1398
544.85,1391
545.19,1405
545.52,1378
545.86,1384
546.2,1405
546.54,1393
546.88,1375
547.22,1364
547.55,1357
547.89,1343
548.23,1387
548.57,1376
548.91,1358
549.25,1340
549.58,1371
549.92,1363
550.26,1359
550.6,1355
550.94,1347
551.27,1349
551.61,1349
551.95,1359
552.29,1372
552.62,1359
552.96,1349
553.3,1340
553.64,1379
553.97,1348
554.31,1362
554.65,1331
554.99,1361
555.32,1362
555.66,1339
556,1339
556.34,1355
556.67,1338
557.01,1348
557.35,1339
557.68,1339
558.02,1350
558.36,1348
558.69,1352
559.03,1353
559.37,1351
559.71,1365
560.04,1350
560.38,1356
560.72,1375
561.05,1356
561.39,1366
561.72,1355
562.06,1344
562.4,1337
562.73,1362
563.07,1352
563.41,1346
563.74,1372
564.08,1355
564.42,1359
564.75,1353
565.09,1376
565.42,1372
565.76,1363
