wavelength,intensity
354,0
354.36,127
354.72,129
355.08,131
355.44,133
355.8,132
356.16,131
356.52,136
356.88,136
357.24,134
357.6,135
357.96,137
358.32,134
358.68,134
359.04,133
359.4,137
359.76,137
360.11,134
360.47,133
360.83,135
361.19,134
361.55,134
361.91,138
362.27,137
362.63,135
362.99,140
363.35,133
363.71,132
364.06,133
364.42,134
364.78,136
365.14,139
365.5,140
365.86,135
366.22,135
366.58,138
366.93,133
367.29,132
367.65,134
368.01,136
368.37,136
368.73,134
369.09,133
369.44,132
369.8,137
370.16,142
370.52,140
370.88,138
371.24,135
371.59,137
371.95,140
372.31,139
372.67,136
373.03,135
373.38,135
373.74,138
374.1,138
374.46,140
374.82,137
375.17,135
375.53,140
375.89,140
376.25,138
376.6,140
376.96,139
377.32,141
377.68,136
378.03,137
378.39,140
378.75,138
379.11,139
379.46,139
379.82,136
380.18,138
380.54,137
380.89,135
381.25,142
381.61,139
381.96,140
382.32,136
382.68,137
383.04,139
383.39,139
383.75,138
384.11,135
384.46,140
384.82,143
385.18,133
385.53,137
385.89,139
386.25,138
386.6,137
386.96,143
387.32,144
387.67,139
388.03,138
388.39,140
388.74,138
389.1,141
389.45,139
389.81,142
390.17,140
390.52,141
390.88,139
391.24,140
391.59,141
391.95,135
392.3,144
392.66,140
393.02,139
393.37,135
393.73,139
394.08,140
394.44,142
394.79,138
395.15,137
395.51,139
395.86,138
396.22,137
396.57,139
396.93,139
397.28,141
397.64,139
398,139
398.35,139
398.71,143
399.06,141
399.42,138
399.77,136
400.13,138
400.48,137
400.84,140
401.19,138
401.55,137
401.9,137
402.26,138
402.61,140
402.97,141
403.32,141
403.68,142
404.03,145
404.39,140
404.74,137
405.1,139
405.45,140
405.8,135
406.16,139
406.51,142
406.87,146
407.22,143
407.58,145
407.93,145
408.29,145
408.64,143
408.99,145
409.35,145
409.7,143
410.06,139
410.41,142
410.77,148
411.12,144
411.47,145
411.83,148
412.18,148
412.53,147
412.89,151
413.24,155
413.6,149
413.95,153
414.3,156
414.66,158
415.01,163
415.36,157
415.72,159
416.07,161
416.43,161
416.78,165
417.13,162
417.49,168
417.84,169
418.19,174
418.55,170
418.9,170
419.25,181
419.6,179
419.96,183
420.31,180
420.66,188
421.02,194
421.37,194
421.72,202
422.08,213
422.43,214
422.78,215
423.13,222
423.49,226
423.84,234
424.19,237
424.54,255
424.9,255
425.25,263
425.6,255
425.95,279
426.31,284
426.66,299
427.01,313
427.36,317
427.72,338
428.07,356
428.42,365
428.77,381
429.12,404
429.48,416
429.83,439
430.18,446
430.53,474
430.88,500
431.24,507
431.59,562
431.94,578
432.29,622
432.64,611
432.99,654
433.35,698
433.7,733
434.05,757
434.4,782
434.75,817
435.1,826
435.46,863
435.81,894
436.16,934
436.51,955
436.86,990
437.21,1009
437.56,1028
437.91,1052
438.27,1054
438.62,1104
438.97,1133
439.32,1142
439.67,1121
440.02,1165
440.37,1161
440.72,1157
441.07,1187
441.42,1157
441.77,1198
442.12,1161
