wavelength,intensity
442.48,1188
442.83,1159
443.18,1193
443.53,1205
443.88,1155
444.23,1216
444.58,1178
444.93,1200
445.28,1182
445.63,1212
445.98,1217
446.33,1251
446.68,1258
447.03,1284
447.38,1294
447.73,1356
448.08,1385
448.43,1394
448.78,1468
449.13,1546
449.48,1551
449.83,1548
450.18,1703
450.53,1658
450.88,1736
451.23,1796
451.58,1857
451.93,1983
452.28,2002
452.63,2158
452.98,2227
453.33,2264
453.67,2414
454.02,2414
454.37,2482
454.72,2626
455.07,2681
455.42,2779
455.77,2879
456.12,2967
456.47,3020
456.82,3107
457.17,3129
457.52,3312
457.86,3442
458.21,3305
458.56,3431
458.91,3568
459.26,3402
459.61,3471
459.96,3614
460.31,3510
460.65,3513
461,3521
461.35,3461
461.7,3324
462.05,3500
462.4,3349
462.74,3338
463.09,3246
463.44,3204
463.79,3163
464.14,3046
464.49,2926
464.83,2967
465.18,2794
465.53,2765
465.88,2657
466.23,2570
466.57,2635
466.92,2461
467.27,2418
467.62,2302
467.97,2261
468.31,2218
468.66,2110
469.01,2090
469.36,2033
469.7,2034
470.05,1935
470.4,1881
470.75,1843
471.09,1823
471.44,1843
471.79,1811
472.14,1750
472.48,1691
472.83,1671
473.18,1680
473.52,1650
473.87,1617
474.22,1593
474.57,1541
474.91,1536
475.26,1531
475.61,1519
475.95,1477
476.3,1446
476.65,1427
476.99,1401
477.34,1376
477.69,1313
478.03,1311
478.38,1280
478.73,1263
479.07,1220
479.42,1189
479.77,1187
480.11,1146
480.46,1118
480.8,1059
481.15,1070
481.5,1038
481.84,999
482.19,969
482.54,943
482.88,913
483.23,909
483.57,881
483.92,841
484.27,827
484.61,793
484.96,786
485.3,767
485.65,743
485.99,725
486.34,706
486.69,696
487.03,685
487.38,650
487.72,644
488.07,640
488.41,613
488.76,604
489.1,592
489.45,585
489.79,567
490.14,557
490.48,545
490.83,532
491.17,524
491.52,499
491.86,502
492.21,486
492.55,477
492.9,470
493.24,465
493.59,441
493.93,446
494.28,431
494.62,420
494.97,417
495.31,398
495.66,386
496,384
496.35,366
496.69,358
497.04,349
497.38,352
497.72,355
498.07,338
498.41,322
498.76,310
499.1,310
499.44,315
499.79,294
500.13,294
500.48,291
500.82,281
501.16,269
501.51,268
501.85,269
502.2,261
502.54,263
502.88,252
503.23,256
503.57,249
503.91,235
504.26,237
504.6,237
504.95,228
505.29,227
505.63,223
505.98,220
506.32,220
506.66,220
507.01,220
507.35,210
507.69,212
508.03,208
508.38,212
508.72,205
509.06,193
509.41,200
509.75,199
510.09,203
510.44,191
510.78,193
511.12,190
511.46,191
511.81,187
512.15,186
512.49,182
512.83,195
513.18,178
513.52,181
513.86,176
514.2,181
514.55,171
514.89,182
515.23,176
515.57,171
515.91,175
516.26,170
516.6,166
516.94,169
517.28,175
517.62,169
517.97,173
518.31,165
518.65,160
518.99,164
519.33,162
519.68,163
520.02,158
520.36,158
520.7,170
521.04,162
521.38,156
521.73,167
522.07,158
522.41,157
522.75,158
523.09,157
523.43,159
523.77,151
524.11,157
524.46,156
524.8,153
525.14,149
525.48,148
525.82,150
526.16,149
526.5,151
526.84,145
527.18,150
527.52,149
527.86,149
528.21,151
528.55,149
528.89,149
529.23,149
529.57,149
529.91,146
530.25,149
530.59,146
530.93,150
531.27,149
531.61,146
531.95,146
532.29,146
532.63,146
532.97,148
533.31,147
533.65,148
533.99,145
534.33,142
534.67,144
535.01,143
535.35,144
535.69,147
536.03,148
536.37,148
536.71,148
537.05,147
537.39,143
537.73,142
538.07,145
538.41,141
538.75,142
539.08,141
539.42,145
539.76,140
540.1,145
540.44,142
540.78,144
541.12,141
541.46,139
541.8,144
542.14,148
542.48,146
542.81,145
543.15,141
543.49,142
543.83,142
544.17,142
544.51,141
544.85,136
545.19,141
545.52,140
545.86,141
546.2,140
546.54,138
546.88,139
547.22,139
547.55,140
547.89,141
548.23,141
548.57,144
548.91,150
549.25,146
549.58,139
549.92,136
550.26,135
550.6,140
550.94,137
551.27,138
551.61,138
551.95,142
552.29,142
552.62,141
552.96,137
553.3,138
553.64,139
553.97,141
554.31,145
554.65,138
554.99,137
555.32,144
555.66,142
556,144
556.34,146
556.67,140
557.01,136
557.35,140
557.68,142
558.02,139
558.36,144
558.69,141
559.03,141
559.37,138
559.71,136
560.04,145
560.38,140
560.72,137
561.05,138
561.39,139
561.72,144
562.06,139
562.4,136
562.73,140
563.07,139
563.41,137
563.74,139
564.08,138
564.42,144
564.75,144
565.09,141
565.42,143
565.76,142
566.1,143
566.43,146
566.77,142
567.1,139
567.44,140
567.77,141
568.11,140
568.45,139
568.78,136
569.12,139
569.45,141
569.79,144
570.12,144
570.46,139
570.79,138
571.13,136
571.47,135
571.8,138
572.14,141
572.47,138
572.81,138
573.14,137
573.48,139
573.81,142
574.15,143
574.48,146
574.82,143
575.15,142
575.49,139
575.82,140
576.15,143
576.49,141
576.82,139
577.16,134
577.49,133
577.83,137
578.16,139
578.5,139
578.83,138
579.16,143
579.5,139
579.83,137
580.17,132
580.5,133
580.84,136
581.17,138
581.5,143
581.84,140
582.17,137
582.51,139
582.84,137
583.17,141
583.51,140
583.84,139
584.17,141
584.51,142
584.84,138
585.17,139
585.51,144
585.84,142
586.17,144
586.51,140
586.84,135
587.17,135
587.51,142
587.84,140
588.17,139
588.51,137
588.84,142
589.17,145
589.51,144
589.84,138
590.17,138
590.5,142
590.84,146
591.17,143
591.5,140
591.84,141
592.17,135
592.5,134
592.83,138
593.17,142
593.5,140
593.83,140
594.16,137
594.5,138
594.83,144
595.16,139
595.49,137
595.82,136
596.16,138
596.49,138
596.82,138
597.15,143
597.48,141
597.82,138
598.15,141
598.48,136
598.81,137
599.14,136
599.47,138
599.81,141
600.14,139
600.47,140
600.8,142
601.13,141
601.46,142
601.79,142
602.13,141
602.46,138
602.79,138
603.12,137
603.45,137
603.78,140
604.11,141
604.44,135
604.77,137
605.11,139
605.44,138
605.77,136
606.1,135
606.43,140
606.76,136
607.09,140
607.42,136
607.75,133
608.08,137
608.41,137
608.74,137
609.07,137
609.4,140
609.73,143
610.06,143
610.39,138
610.72,139
611.05,139
611.38,140
611.71,137
612.04,137
612.37,133
612.7,138
613.03,138
613.36,137
613.69,137
614.02,144
614.35,139
614.68,140
615.01,137
615.34,139
615.67,137
616,134
616.33,139
616.66,138
616.99,136
617.32,139
617.65,139
617.98,139
618.3,139
618.63,139
618.96,140
619.29,135
619.62,138
619.95,144
620.28,138
620.61,139
620.94,137
621.26,143
621.59,140
621.92,137
622.25,141
622.58,137
622.91,135
623.24,142
623.56,140
623.89,138
624.22,132
624.55,134
624.88,139
625.21,139
625.53,137
625.86,138
626.19,141
626.52,140
626.85,136
627.17,135
627.5,136
627.83,140
628.16,140
628.49,138
628.81,137
629.14,142
629.47,141
629.8,135
630.12,136
630.45,141
630.78,142
631.11,144
631.43,143
631.76,139
632.09,137
632.41,137
632.74,138
633.07,134
633.4,133
633.72,133
634.05,138
634.38,136
634.7,137
635.03,139
635.36,138
635.68,137
636.01,135
636.34,137
636.66,140
636.99,141
637.32,143
637.64,140
637.97,137
638.3,137
638.62,138
638.95,137
639.28,139
639.6,139
639.93,138
640.25,138
640.58,135
640.91,136
641.23,134
641.56,135
641.88,136
642.21,138
642.54,137
642.86,135
643.19,136
643.51,136
643.84,138
644.16,138
644.49,136
644.82,139
645.14,138
645.47,138
645.79,138
646.12,141
646.44,141
646.77,140
647.09,138
647.42,136
647.74,136
648.07,137
648.39,139
648.72,144
649.04,137
649.37,136
649.69,133
650.02,134
650.34,135
650.67,138
650.99,139
651.32,140
651.64,140
651.96,139
652.29,137
652.61,137
652.94,135
653.26,139
653.59,138
653.91,141
654.23,138
654.56,140
654.88,140
655.21,138
655.53,138
655.85,137
656.18,135
656.5,138
656.83,140
657.15,138
657.47,139
657.8,138
658.12,135
658.44,138
658.77,134
659.09,133
659.41,137
659.74,140
660.06,141
660.39,136
660.71,133
661.03,136
661.35,137
661.68,134
662,138
662.32,137
662.65,137
662.97,138
663.29,137
663.62,139
663.94,140
664.26,141
664.58,141
664.91,138
665.23,139
665.55,142
665.87,137
666.2,143
666.52,139
666.84,139
667.16,138
667.49,140
667.81,143
668.13,140
668.45,139
668.77,138
669.1,137
669.42,137
669.74,138
670.06,138
670.38,138
670.71,140
671.03,138
671.35,138
671.67,135
671.99,136
672.31,137
672.64,141
672.96,141
673.28,141
673.6,137
673.92,136
674.24,137
674.56,136
674.89,141
675.21,140
675.53,135
675.85,137
676.17,139
676.49,136
676.81,135
677.13,136
677.45,135
677.77,138
678.1,133
678.42,137
678.74,142
679.06,144
679.38,138
679.7,136
680.02,137
680.34,142
680.66,140
680.98,140
681.3,137
681.62,138
681.94,141
682.26,139
682.58,136
682.9,141
683.22,143
683.54,138
683.86,139
684.18,138
684.5,135
684.82,136
685.14,140
685.46,138
685.78,140
686.1,141
686.42,134
686.74,137
687.06,139
687.38,137
687.7,134
688.02,135
688.34,135
688.65,137
688.97,140
689.29,141
689.61,138
689.93,137
690.25,136
690.57,137
690.89,140
691.21,140
691.53,135
691.84,135
692.16,138
692.48,139
692.8,140
693.12,136
693.44,139
693.76,141
694.07,139
694.39,136
694.71,139
695.03,139
695.35,138
695.67,138
695.98,141
696.3,140
696.62,135
696.94,133
697.26,133
697.57,137
697.89,141
698.21,140
698.53,136
698.84,136
699.16,139
699.48,140
699.8,137
700.12,142
700.43,141
700.75,141
701.07,140
701.38,138
701.7,138
702.02,137
702.34,136
702.65,137
702.97,134
703.29,137
703.61,137
703.92,143
704.24,137
704.56,135
704.87,137
705.19,141
705.51,139
705.82,136
706.14,138
706.46,139
706.77,139
707.09,138
707.41,138
707.72,136
708.04,136
708.35,139
708.67,137
708.99,141
709.3,137
709.62,137
709.94,144
710.25,139
710.57,138
710.88,137
711.2,138
711.51,134
711.83,135
712.15,141
712.46,139
712.78,138
713.09,138
713.41,141
713.72,139
714.04,141
714.36,140
714.67,138
714.99,136
715.3,139
715.62,140
715.93,141
716.25,138
716.56,137
716.88,136
717.19,137
717.51,135
717.82,136
718.14,138
718.45,136
718.77,135
719.08,136
719.4,134
719.71,139
720.02,139
720.34,138
720.65,137
720.97,133
721.28,136
721.6,134
721.91,135
722.22,139
722.54,138
722.85,138
723.17,136
723.48,138
723.79,139
724.11,137
724.42,138
724.74,135
725.05,141
725.36,137
725.68,139
725.99,136
726.3,136
726.62,134
726.93,135
727.25,133
727.56,135
727.87,134
728.19,137
728.5,135
728.81,137
729.12,138
729.44,138
729.75,138
730.06,138
730.38,136
730.69,134
731,139
731.32,140
731.63,139
731.94,139
732.25,138
732.57,140
732.88,140
733.19,136
733.5,139
733.82,138
734.13,139
734.44,139
734.75,138
735.07,136
735.38,134
735.69,135
736,138
736.31,137
736.63,136
736.94,141
737.25,140
737.56,135
737.87,136
738.18,134
738.5,136
738.81,135
739.12,137
739.43,137
739.74,138
740.05,139
740.37,137
740.68,135
740.99,134
741.3,139
741.61,135
741.92,134
742.23,133
742.54,137
742.86,135
743.17,136
743.48,139
743.79,138
744.1,135
744.41,138
744.72,141
745.03,144
745.34,138
745.65,135
745.96,136
746.27,137
746.58,141
746.89,137
747.2,136
747.51,137
747.82,135
748.13,139
748.45,141
748.76,140
749.07,136
749.38,136
749.69,135
749.99,132
750.3,136
750.61,140
750.92,140
751.23,138
751.54,141
751.85,140
752.16,139
752.47,137
752.78,136
753.09,138
753.4,132
753.71,136
754.02,139
754.33,138
754.64,132
754.95,140
755.26,139
755.56,137
755.87,137
756.18,134
756.49,136
756.8,134
757.11,134
757.42,137
757.73,140
758.03,141
758.34,136
758.65,133
758.96,134
759.27,136
759.58,135
759.89,142
760.19,146
760.5,143
760.81,134
761.12,134
761.43,139
761.73,140
762.04,136
762.35,138
762.66,136
762.97,134
763.27,135
763.58,136
763.89,136
764.2,132
764.5,134
764.81,135
765.12,136
765.43,136
765.73,136
766.04,135
766.35,135
766.66,136
766.96,137
767.27,137
767.58,140
767.88,139
768.19,135
768.5,134
768.81,131
769.11,136
769.42,133
769.73,132
770.03,134
770.34,140
770.65,136
770.95,133
771.26,136
771.56,137
771.87,138
772.18,140
772.48,136
772.79,139
773.1,138
773.4,141
773.71,136
774.01,136
774.32,139
774.63,136
774.93,135
775.24,134
775.54,134
775.85,136
776.16,137
776.46,133
776.77,137
777.07,136
777.38,135
777.68,139
777.99,137
778.29,136
778.6,134
778.9,135
779.21,136
779.51,138
779.82,134
780.12,131
780.43,135
780.73,140
781.04,140
781.34,136
781.65,134
781.95,138
782.26,138
782.56,136
782.87,136
783.17,136
783.48,139
783.78,136
784.09,137
784.39,142
784.69,135
785,134
785.3,136
785.61,137
785.91,135
786.21,139
786.52,138
786.82,136
787.13,135
787.43,136
787.73,137
788.04,137
788.34,129
788.65,130
788.95,138
789.25,139
789.56,137
789.86,138
790.16,141
790.47,138
790.77,141
791.07,137
791.38,138
791.68,137
791.98,134
792.29,136
792.59,138
792.89,137
793.19,135
793.5,136
793.8,134
794.1,134
794.4,136
794.71,137
795.01,134
795.31,135
795.62,135
795.92,137
796.22,137
796.52,133
796.82,137
797.13,139
797.43,137
797.73,138
798.03,136
798.34,136
798.64,136
798.94,137
799.24,141
799.54,134
799.84,133
800.15,136
800.45,137
800.75,136
801.05,140
801.35,136
801.65,135
801.96,133
802.26,136
802.56,139
802.86,137
803.16,136
803.46,139
803.76,137
804.06,134
804.36,136
804.67,140
804.97,139
805.27,140
805.57,137
805.87,137
806.17,138
806.47,137
806.77,139
807.07,137
807.37,138
807.67,136
807.97,137
808.27,137
808.57,135
808.87,137
809.17,138
809.47,138
809.77,132
810.07,130
810.37,136
810.67,141
810.97,144
811.27,134
811.57,136
811.87,136
812.17,134
812.47,140
812.77,137
813.07,137
813.37,138
813.67,141
813.97,135
814.27,136
814.57,136
814.87,136
815.17,133
815.47,135
815.76,137
816.06,137
816.36,135
816.66,139
816.96,139
817.26,138
817.56,135
817.86,135
818.16,136
818.45,137
818.75,140
819.05,141
819.35,140
819.65,134
819.95,133
820.24,135
820.54,135
820.84,134
821.14,136
821.44,140
821.74,138
822.03,140
822.33,138
822.63,136
822.93,138
823.22,137
823.52,139
823.82,136
824.12,136
824.42,137
824.71,137
825.01,134
825.31,133
825.61,134
825.9,135
826.2,135
826.5,135
826.79,137
827.09,135
827.39,138
827.69,135
827.98,133
828.28,138
828.58,136
828.87,134
829.17,135
829.47,136
829.76,136
830.06,133
830.36,136
830.65,137
830.95,139
831.25,137
831.54,139
831.84,138
832.13,139
832.43,138
832.73,137
833.02,138
833.32,138
833.61,139
833.91,140
834.21,139
834.5,136
834.8,135
835.09,138
835.39,135
835.68,136
835.98,133
836.28,132
836.57,136
836.87,136
837.16,136
837.46,137
837.75,136
838.05,137
838.34,138
838.64,138
838.93,142
839.23,139
839.52,139
839.82,144
840.11,144
840.41,138
840.7,137
841,139
841.29,139
841.59,139
841.88,137
842.17,137
842.47,142
842.76,139
843.06,139
843.35,140
843.65,139
843.94,138
844.23,137
844.53,138
844.82,140
845.12,142
845.41,143
845.7,139
846,136
846.29,138
846.58,137
846.88,135
847.17,138
847.47,144
847.76,140
848.05,139
848.35,137
848.64,139
848.93,139
849.23,137
849.52,140
849.81,141
850.1,143
850.4,138
850.69,136
850.98,138
851.28,137
851.57,136
851.86,135
852.15,140
852.45,142
852.74,142
853.03,144
853.32,144
853.62,144
853.91,140
854.2,142
854.49,146
854.79,142
855.08,141
855.37,144
855.66,141
855.95,143
856.25,144
856.54,144
856.83,144
857.12,143
857.41,143
857.71,141
858,146
858.29,149
858.58,144
858.87,144
859.16,145
859.45,144
859.75,141
860.04,143
860.33,146
860.62,143
860.91,140
861.2,147
861.49,148
861.78,146
862.07,145
862.36,148
862.66,147
862.95,148
863.24,148
863.53,149
863.82,148
864.11,143
864.4,143
864.69,144
864.98,145
865.27,144
865.56,143
865.85,147
866.14,148
866.43,145
866.72,148
867.01,149
867.3,150
867.59,151
867.88,148
868.17,151
868.46,149
868.75,149
869.04,152
869.33,150
869.62,151
869.91,150
870.2,154
870.49,153
870.77,157
871.06,152
871.35,150
871.64,156
871.93,153
872.22,152
872.51,153
872.8,158
873.09,152
873.38,149
873.66,154
873.95,155
874.24,151
874.53,153
874.82,154
875.11,160
875.4,159
875.68,151
875.97,152
876.26,156
876.55,156
876.84,154
877.13,155
877.41,159
877.7,155
877.99,154
878.28,157
878.57,155
878.85,153
879.14,154
879.43,151
879.72,157
880,157
880.29,154
880.58,156
880.87,155
881.15,154
881.44,156
881.73,151
882.01,151
882.3,150
882.59,157
882.88,151
883.16,154
883.45,154
883.74,154
884.02,159
884.31,154
884.6,148
884.88,153
885.17,152
885.46,157
885.74,155
886.03,151
886.32,153
886.6,155
886.89,156
887.17,155
887.46,154
887.75,150
888.03,151
888.32,152
888.61,151
888.89,148
889.18,154
889.46,154
889.75,152
890.03,151
890.32,155
890.61,156
890.89,149
891.18,149
891.46,152
891.75,152
892.03,153
892.32,158
892.6,156
892.89,151
893.17,153
893.46,154
893.74,154
894.03,156
894.31,158
894.6,152
894.88,151
895.17,150
895.45,151
895.74,147
896.02,149
896.31,154
896.59,151
896.87,153
897.16,153
897.44,152
897.73,151
898.01,153
898.29,155
898.58,153
898.86,148
899.15,150
899.43,154
899.71,153
900,157
900.28,154
900.57,155
900.85,157
901.13,156
901.42,157
901.7,159
901.98,158
902.27,156
902.55,150
902.83,157
903.12,156
903.4,155
903.68,158
903.97,163
904.25,155
904.53,154
904.81,157
905.1,153
905.38,152
905.66,160
905.95,155
906.23,157
906.51,160
906.79,156
907.07,158
907.36,158
907.64,159
907.92,164
908.2,157
908.49,161
908.77,162
909.05,159
909.33,157
909.61,158
909.9,159
910.18,159
910.46,161
910.74,164
911.02,166
911.3,162
911.59,164
911.87,158
912.15,163
912.43,164
912.71,161
912.99,159
913.27,158
913.56,158
913.84,164
914.12,159
914.4,167
914.68,159
914.96,162
915.24,158
915.52,165
915.8,160
916.08,161
916.36,160
916.64,166
916.92,160
917.21,161
917.49,165
917.77,165
918.05,157
918.33,166
918.61,162
918.89,160
919.17,160
919.45,155
919.73,157
920.01,156
920.29,157
920.57,154
920.85,158
921.13,155
921.4,153
921.68,157
921.96,158
922.24,156
922.52,158
922.8,161
923.08,164
923.36,162
923.64,159
923.92,157
924.2,156
924.48,156
924.76,157
925.03,154
925.31,155
925.59,156
925.87,149
926.15,151
926.43,156
926.71,160
926.99,155
927.26,155
927.54,158
927.82,151
928.1,154
928.38,152
928.65,149
928.93,152
929.21,146
929.49,145
929.77,152
930.04,153
930.32,149
930.6,153
930.88,147
931.16,147
931.43,154
931.71,149
931.99,152
932.27,148
932.54,147
932.82,150
933.1,150
933.38,148
933.65,148
933.93,150
934.21,149
934.48,153
934.76,146
935.04,144
935.31,148
935.59,142
935.87,143
936.14,144
936.42,145
936.7,145
936.97,147
937.25,142
937.53,145
937.8,143
938.08,147
938.36,150
938.63,146
938.91,148
939.18,146
939.46,146
939.74,148
940.01,146
940.29,147
940.56,142
940.84,143
941.11,142
941.39,139
941.67,141
941.94,145
942.22,144
942.49,142
942.77,146
943.04,144
943.32,143
943.59,144
943.87,143
944.14,142
944.42,143
944.69,142
944.97,142
945.24,146
945.52,143
945.79,139
946.07,143
946.34,143
946.62,141
946.89,142
947.16,139
947.44,135
947.71,141
947.99,141
948.26,140
948.54,139
948.81,143
949.08,144
949.36,142
949.63,141
949.91,142
950.18,143
950.45,139
950.73,135
951,137
951.27,140
951.55,137
951.82,138
952.09,138
952.37,138
952.64,137
952.91,140
953.19,138
953.46,140
953.73,142
954.01,139
954.28,136
954.55,139
954.82,138
955.1,135
955.37,135
955.64,138
955.92,137
956.19,141
956.46,141
956.73,144
957.01,138
957.28,138
957.55,138
957.82,138
958.09,137
958.37,134
958.64,133
958.91,135
959.18,139
959.45,139
959.73,137
960,138
960.27,140
960.54,141
960.81,137
961.08,136
961.36,139
961.63,136
961.9,141
962.17,140
962.44,140
962.71,138
962.98,138
963.25,140
963.53,141
963.8,140
964.07,140
964.34,133
964.61,132
964.88,139
965.15,141
965.42,139
965.69,138
965.96,141
966.23,140
966.5,136
966.77,136
967.04,133
967.31,134
967.58,138
967.85,137
968.12,141
968.39,138
968.66,138
968.93,139
969.2,137
969.47,136
969.74,132
970.01,135
970.28,139
970.55,140
970.82,142
971.09,141
971.36,140
971.63,137
971.9,141
972.17,140
972.44,139
972.71,141
972.97,134
973.24,131
973.51,137
973.78,138
974.05,136
974.32,138
974.59,135
974.86,136
975.12,138
975.39,139
975.66,135
975.93,137
976.2,136
976.47,139
976.73,136
977,138
977.27,136
977.54,136
977.81,135
978.07,137
978.34,136
978.61,138
978.88,140
979.15,135
979.41,138
979.68,140
979.95,134
980.22,136
980.48,140
980.75,136
981.02,135
981.29,135
981.55,136
981.82,136
982.09,140
982.35,142
982.62,138
982.89,138
983.15,140
983.42,135
983.69,137
983.95,137
984.22,136
984.49,137
984.75,135
985.02,135
985.29,133
985.55,135
985.82,135
986.09,131
986.35,136
986.62,139
986.88,136
987.15,133
987.42,136
987.68,136
987.95,138
988.21,137
988.48,136
988.74,138
989.01,133
989.27,135
989.54,137
989.81,139
990.07,141
990.34,138
990.6,136
990.87,139
991.13,137
991.4,138
991.66,137
991.93,138
992.19,143
992.46,139
992.72,138
992.99,138
993.25,138
993.51,141
993.78,137
994.04,135
994.31,139
994.57,134
994.84,134
995.1,135
995.36,137
995.63,137
995.89,137
996.16,136
996.42,138
996.68,141
996.95,134
997.21,135
997.48,138
997.74,137
998,132
998.27,137
998.53,138
998.79,138
999.06,137
999.32,138
999.58,136
