wavelength,intensity
354,0
354.36,127
354.72,128
355.08,130
355.44,133
355.8,130
356.16,131
356.52,131
356.88,131
357.24,132
357.6,132
357.96,133
358.32,136
358.68,135
359.04,135
359.4,137
359.76,134
360.11,133
360.47,134
360.83,130
361.19,131
361.55,129
361.91,134
362.27,137
362.63,134
362.99,135
363.35,133
363.71,134
364.06,131
364.42,132
364.78,133
365.14,137
365.5,136
365.86,136
366.22,136
366.58,136
366.93,134
367.29,138
367.65,137
368.01,136
368.37,136
368.73,136
369.09,135
369.44,138
369.8,135
370.16,135
370.52,134
370.88,134
371.24,135
371.59,136
371.95,137
372.31,134
372.67,138
373.03,140
373.38,137
373.74,137
374.1,139
374.46,135
374.82,137
375.17,133
375.53,134
375.89,139
376.25,137
376.6,132
376.96,136
377.32,138
377.68,139
378.03,138
378.39,139
378.75,136
379.11,137
379.46,140
379.82,141
380.18,137
380.54,133
380.89,133
381.25,137
381.61,140
381.96,138
382.32,140
382.68,137
383.04,142
383.39,137
383.75,136
384.11,135
384.46,136
384.82,135
385.18,131
385.53,137
385.89,137
386.25,134
386.6,134
386.96,134
387.32,135
387.67,141
388.03,137
388.39,138
388.74,135
389.1,139
389.45,140
389.81,138
390.17,138
390.52,136
390.88,134
391.24,137
391.59,142
391.95,138
392.3,140
392.66,137
393.02,137
393.37,137
393.73,139
394.08,137
394.44,137
394.79,141
395.15,141
395.51,140
395.86,144
396.22,140
396.57,139
396.93,137
397.28,137
397.64,137
398,135
398.35,137
398.71,138
399.06,137
399.42,135
399.77,135
400.13,138
400.48,139
400.84,137
401.19,134
401.55,138
401.9,137
402.26,139
402.61,142
402.97,141
403.32,142
403.68,140
404.03,141
404.39,138
404.74,138
405.1,139
405.45,140
405.8,140
406.16,136
406.51,140
406.87,142
407.22,142
407.58,139
407.93,143
408.29,139
408.64,141
408.99,142
409.35,147
409.7,147
410.06,147
410.41,144
410.77,143
411.12,148
411.47,148
411.83,146
412.18,145
412.53,150
412.89,146
413.24,150
413.6,153
413.95,151
414.3,152
414.66,151
415.01,153
415.36,155
415.72,157
416.07,156
416.43,157
416.78,164
417.13,164
417.49,166
417.84,167
418.19,169
418.55,173
418.9,176
419.25,176
419.6,179
419.96,185
420.31,193
420.66,192
421.02,188
421.37,195
421.72,207
422.08,202
422.43,208
422.78,221
423.13,215
423.49,221
423.84,232
424.19,246
424.54,237
424.9,247
425.25,259
425.6,268
425.95,289
426.31,285
426.66,283
427.01,313
427.36,321
427.72,330
428.07,352
428.42,357
428.77,374
429.12,391
429.48,412
429.83,432
430.18,428
430.53,472
430.88,486
431.24,507
431.59,552
431.94,559
432.29,588
432.64,588
432.99,639
433.35,678
433.7,700
434.05,750
434.4,773
434.75,773
435.1,797
435.46,855
435.81,888
436.16,895
436.51,916
436.86,976
437.21,992
437.56,1018
437.91,1037
438.27,1058
438.62,1086
438.97,1114
439.32,1144
439.67,1139
440.02,1156
440.37,1160
440.72,1191
441.07,1224
441.42,1183
441.77,1258
442.12,1228
