date,SampleID,TA_Raw,Salinity_lab,mV,TempInSitu,Notes
2020-03-03T10:43:00Z,SN197,,34,-86.74,23.08,
2020-03-03T10:43:05Z,SN197,,34,-86.74,23.05,
2020-03-03T10:43:10Z,SN197,,34,-86.78,23.05,
2020-03-03T10:43:15Z,SN197,,34,-86.75,23.05,
2020-03-03T10:43:20Z,SN197,,34,-86.74,23.05,
2020-03-03T10:43:25Z,SN197,,34,-86.74,23.05,
2020-03-03T10:43:30Z,SN197,,34,-86.74,23.05,
2020-03-03T10:43:35Z,SN197,,34,-86.74,23.05,
2020-03-03T10:43:40Z,SN197,,34,-86.74,23.03,
2020-03-03T10:43:45Z,SN197,,34,-86.72,23.03,
2020-03-03T10:43:50Z,SN197,,34,-86.74,23.03,
2020-03-03T10:43:55Z,SN197,,34,-86.74,23.03,
2020-03-03T10:44:00Z,SN197,,34,-86.74,23.03,
2020-03-03T10:44:05Z,SN197,,34,-86.72,23.03,
2020-03-03T10:44:10Z,SN197,,34,-86.74,23.03,
2020-03-03T10:44:15Z,SN197,,34,-86.72,23,
2020-03-03T10:44:20Z,SN197,,34,-86.74,23,
2020-03-03T10:44:25Z,SN197,,34,-86.75,23,
2020-03-03T10:44:30Z,SN197,,34,-86.74,23,
2020-03-03T10:44:35Z,SN197,,34,-86.74,23,
2020-03-03T10:44:40Z,SN197,,34,-86.74,23,
2020-03-03T10:44:45Z,SN197,,34,-86.77,23,
2020-03-03T10:44:50Z,SN197,,34,-86.75,23,
2020-03-03T10:44:55Z,SN197,,34,-86.74,23,
2020-03-03T10:45:00Z,SN197,,34,-86.72,23,
2020-03-03T10:45:05Z,SN197,,34,-86.71,23,
2020-03-03T10:45:10Z,SN197,,34,-86.72,23,
2020-03-03T10:45:15Z,SN197,,34,-86.71,23,
2020-03-03T10:45:20Z,SN197,,34,-86.71,23,
2020-03-03T10:45:25Z,SN197,,34,-86.69,23,
2020-03-03T10:45:30Z,SN197,,34,-86.69,23,
2020-03-03T10:45:35Z,SN197,,34,-86.69,23,
2020-03-03T10:45:40Z,SN197,,34,-86.67,23,
2020-03-03T10:45:45Z,SN197,,34,-86.67,23,
2020-03-03T10:45:50Z,SN197,,34,-86.69,23,
2020-03-03T10:45:55Z,SN197,,34,-86.67,23,
2020-03-03T10:46:00Z,SN197,,34,-87.02,23,
2020-03-03T10:46:05Z,SN197,,34,-87.13,23,
2020-03-03T10:46:10Z,SN197,,34,-86.77,23,
2020-03-03T10:46:15Z,SN197,,34,-86.94,23.03,
2020-03-03T10:46:20Z,SN197,,34,-86.61,23.03,
2020-03-03T10:46:25Z,SN197,,34,-86.58,23.03,
2020-03-03T10:46:30Z,SN197,,34,-86.57,23.03,
2020-03-03T10:46:35Z,SN197,,34,-86.61,23.03,
2020-03-03T10:46:40Z,SN197,,34,-86.55,23.03,
2020-03-03T10:46:45Z,SN197,,34,-86.53,23.05,
2020-03-03T10:46:50Z,SN197,,34,-86.52,23.05,
2020-03-03T10:46:55Z,SN197,,34,-86.5,23.05,
2020-03-03T10:47:00Z,SN197,,34,-86.49,23.05,
2020-03-03T10:47:05Z,SN197,,34,-86.49,23.05,
2020-03-03T10:47:10Z,SN197,,34,-86.49,23.05,
2020-03-03T10:47:15Z,SN197,,34,-86.47,23.05,
2020-03-03T10:47:20Z,SN197,,34,-86.47,23.08,
