7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1583271600, +3.43, +16.894, +166.74390, +1039.000, -32.000, +244.000
1583271660, +3.43, +16.911, +166.52094, +1038.000, -32.000, +246.000
1583271720, +3.43, +16.903, +166.84918, +1033.000, -29.000, +244.000
1583271780, +3.43, +16.920, +166.04407, +1039.000, -32.000, +243.000
1583271840, +3.43, +16.903, +166.41566, +1036.000, -32.000, +246.000
1583271900, +3.43, +16.903, +166.37540, +1039.000, -29.000, +248.000
1583271960, +3.43, +16.903, +166.14626, +1033.000, -32.000, +246.000
1583272020, +3.43, +16.877, +166.35682, +1036.000, -29.000, +248.000
1583272080, +3.43, +16.903, +166.03168, +1039.000, -28.000, +243.000
1583272140, +3.43, +16.920, +166.58597, +1040.000, -29.000, +240.000
1583272200, +3.43, +16.894, +166.76557, +1038.000, -31.000, +240.000
1583272260, +3.43, +16.911, +166.40947, +1039.000, -29.000, +248.000
1583272320, +3.43, +16.911, +166.42805, +1038.000, -32.000, +248.000
1583272380, +3.43, +16.869, +166.94518, +1043.000, -29.000, +240.000
1583272440, +3.43, +16.860, +166.85228, +1036.000, -32.000, +246.000
1583272500, +3.43, +16.877, +166.48069, +1040.000, -32.000, +244.000
1583272560, +3.43, +16.903, +166.43114, +1043.000, -29.000, +240.000
1583272620, +3.43, +16.894, +166.27941, +1032.000, -32.000, +244.000
1583272680, +3.43, +16.894, +166.20819, +1033.000, -32.000, +248.000
1583272740, +3.43, +16.894, +166.44972, +1036.000, -31.000, +243.000
1583272800, +3.43, +16.894, +163.66899, +1032.000, -29.000, +248.000
1583272860, +3.43, +16.869, +148.64746, +1046.000, -31.000, +243.000
1583272920, +3.43, +16.911, +148.87971, +1036.000, -32.000, +248.000
1583272980, +3.43, +16.886, +149.55167, +1036.000, -32.000, +246.000
1583273040, +3.43, +16.903, +149.05312, +1040.000, -29.000, +243.000
1583273100, +3.43, +16.928, +149.08408, +1039.000, -32.000, +243.000
1583273160, +3.43, +16.911, +148.83326, +1039.000, -29.000, +243.000
1583273220, +3.43, +16.911, +149.47115, +1038.000, -31.000, +246.000
1583273280, +3.43, +16.911, +149.11814, +1038.000, -29.000, +246.000
1583273340, +3.43, +16.920, +149.34110, +1039.000, -32.000, +243.000
1583273400, +3.43, +16.937, +149.92635, +1036.000, -32.000, +246.000
1583273460, +3.43, +16.945, +150.61689, +1038.000, -32.000, +246.000
1583273520, +3.43, +16.979, +149.43709, +1039.000, -26.000, +243.000
1583273580, +3.43, +16.962, +149.37826, +1040.000, -25.000, +248.000
1583273640, +3.43, +16.971, +149.03454, +1032.000, -32.000, +248.000
1583273700, +3.43, +16.971, +149.33181, +1038.000, -32.000, +248.000
1583273760, +3.43, +16.979, +148.72488, +1027.000, -32.000, +254.000
