date,"Low Range, μS/cm (LGR S/N: 20494738, SEN S/N: 20494738, LBL: <Conduct_Lo>100)",E_Conductivity,TempInSitu,Serial,SalinityInSitu,a,Sp_Conductance,AbsPressure_bar,at,bt,Sp_Cond_mS.cm,SalinityInSitu_2pCal
2020-10-19T15:53:00Z,1600.9,1601.9,22.96,738,0.8419094143873342,2.0184119531394855,1670.6917412846556,0,1.4129778596321605,12.879036918269723,1.6707350304752668,0.8798765332546141
2020-10-19T15:53:10Z,1601.9,1602.9,23,738,0.841716687220214,2.018643413492817,1670.3362660349947,0,1.4129778901738952,12.879036887727988,1.670379496881078,0.8789034309317526
2020-10-19T15:53:20Z,1602.9,1604,23.01,738,0.8421362505299412,2.0187001419521424,1671.1329758748263,0,1.4129778217221518,12.87903695617973,1.6711763374804678,0.8791490230907165
2020-10-19T15:53:30Z,1603.4,1604,23.02,738,0.8419504658270266,2.0187583008207794,1670.7835828913735,0,1.41297785174131,12.879036926160571,1.670826887155429,0.8787622518660997
2020-10-19T15:53:40Z,1603.4,1604,23.02,738,0.8419504658270266,2.0187583008207794,1670.7835828913735,0,1.41297785174131,12.879036926160571,1.670826887155429,0.8787622518660997
2020-10-19T15:53:50Z,1604,1604,23.02,738,0.8419504658270266,2.0187583008207794,1670.7835828913735,0,1.41297785174131,12.879036926160571,1.670826887155429,0.8787622518660997
2020-10-19T15:54:00Z,1604,1604,23.03,738,0.8417647507890141,2.018816449994965,1670.4343154093126,0,1.4129778817496856,12.879036896152197,1.6704775623487216,0.8783757110114753
2020-10-19T15:54:10Z,1603.4,1604.5,23.03,738,0.8420397653573457,2.0188157956897523,1670.955001930132,0,1.4129778370133232,12.87903694088856,1.6709983343275496,0.8786628792409417
2020-10-19T15:54:20Z,1605,1605.1,23.03,738,0.8423697898835469,2.0188150105100924,1671.579825736203,0,1.4129777833296902,12.879036994572193,1.6716232606724994,0.8790074885222078
2020-10-19T15:54:30Z,1604.5,1605.6,23.04,738,0.842458974820387,2.018872495986047,1671.7510223182599,0,1.4129777686208165,12.879037009281067,1.6717944853473228,0.878907949899718
2020-10-19T15:54:40Z,1605,1605.6,23.04,738,0.842458974820387,2.018872495986047,1671.7510223182599,0,1.4129777686208165,12.879037009281067,1.6717944853473228,0.878907949899718
2020-10-19T15:54:50Z,1605.5,1605.6,23.04,738,0.842458974820387,2.018872495986047,1671.7510223182599,0,1.4129777686208165,12.879037009281067,1.6717944853473228,0.878907949899718
2020-10-19T15:55:00Z,1605.5,1605.6,23.04,738,0.842458974820387,2.018872495986047,1671.7510223182599,0,1.4129777686208165,12.879037009281067,1.6717944853473228,0.878907949899718
2020-10-19T15:55:10Z,1606,1605.6,23.05,738,0.8422732031186171,2.0189306260950888,1671.4016579156023,0,1.4129777986375192,12.879036979264363,1.671445063614243,0.8785214609831993
2020-10-19T15:55:20Z,1606,1606.7,23.05,738,0.8428780103553021,2.0189291869838106,1672.5466899127305,0,1.4129777002586208,12.879037077643261,1.6725902834965607,0.8791527163690831
2020-10-19T15:57:40Z,12992.5,12587.4,23,738,7.536620268904507,2.0034712071612804,13112.823277626372,0,1.411994774183553,12.880020003718329,13.112782461537352,7.877167203701054
2020-10-19T15:57:50Z,12989.5,12585.7,23.01,738,7.533830928553498,2.003533899297149,13108.333512037743,0,1.4119951599353864,12.880019617966497,13.108293498404738,7.872485729500651
2020-10-19T15:58:00Z,12989.5,12588.2,23.01,738,7.535447775018728,2.003530416638902,13110.936380600082,0,1.4119949363020363,12.880019841599847,13.110895901829833,7.874175513809129
2020-10-19T15:58:10Z,12998.5,12588.2,23.01,738,7.535447775018728,2.003530416638902,13110.936380600082,0,1.4119949363020363,12.880019841599847,13.110895901829833,7.874175513809129
2020-10-19T15:58:20Z,12993.5,12592.4,23.01,738,7.538164147428625,2.003524565819261,13115.309198951449,0,1.4119945605980797,12.880020217303803,13.115267938293801,7.877014424812361
2020-10-19T15:58:30Z,13007.6,12594.1,23.02,738,7.537573424594079,2.003582512427179,13114.358861517283,0,1.4119946422492038,12.880020135652678,13.114317770834667,7.874631183818488
2020-10-19T15:58:40Z,13011.6,12596.6,23.02,738,7.539190011451308,2.0035790302796577,13116.96119411241,0,1.411994418661903,12.88002035923998,13.116919637918539,7.876320315117317
2020-10-19T15:58:50Z,13014.6,12598.3,23.02,738,7.540289308352433,2.0035766624310765,13118.730780066831,0,1.4119942666225564,12.880020511279326,13.118688907209442,7.877468942999251
2020-10-19T15:59:00Z,13014.6,12600.8,23.03,738,7.540215372237489,2.0036334859522156,13118.61235268146,0,1.4119942767976046,12.880020501104278,13.118570501019322,7.8756258538750075
2020-10-19T15:59:10Z,13017.6,12600.8,23.03,738,7.540215372237489,2.0036334859522156,13118.61235268146,0,1.4119942767976046,12.880020501104278,13.118570501019322,7.8756258538750075
2020-10-19T15:59:20Z,13017.6,12608.4,23.03,738,7.5451290394495105,2.003622901797164,13126.521814657104,0,1.41199359723218,12.880021180669702,13.126478546495289,7.880758862420632
2020-10-19T15:59:30Z,13026.7,12607.5,23.04,738,7.54285622422126,2.003684451661474,13122.863937274777,0,1.4119939115098141,12.88002086639207,13.122821324432492,7.8766187911637795
2020-10-19T15:59:40Z,13026.7,12611.7,23.04,738,7.54557116461048,2.0036786033336913,13127.234056811496,0,1.4119935360377343,12.880021241864148,13.127190661002764,7.879454283467444
2020-10-19T15:59:50Z,13035.7,12614.2,23.04,738,7.547187242351284,2.003675122213757,13129.835317952773,0,1.4119933125424906,12.880021465359391,13.129791455820998,7.881142120061412
