Unix_Timestamp_second,UTC_Date_Time,PST,Battery_volts,Temp_degC,PAR,Ax_g,Ay_g,Az_g
1581365640,           2020-02-10 20:14:00,2020-02-10T12:14:00Z,3.55,23.203,5.9538,1084,-26,172
1581365700,           2020-02-10 20:15:00,2020-02-10T12:15:00Z,3.55,23.47,5.42429,1063,-36,208
1581365760,           2020-02-10 20:16:00,2020-02-10T12:16:00Z,3.55,23.771,6.35016,1012,33,275
1581365820,           2020-02-10 20:17:00,2020-02-10T12:17:00Z,3.54,24.046,5.89806,1011,12,235
1581365880,           2020-02-10 20:18:00,2020-02-10T12:18:00Z,3.54,24.271,6.02193,1105,60,88
1581365940,           2020-02-10 20:19:00,2020-02-10T12:19:00Z,3.54,24.422,5.78968,1104,60,96
1581366000,           2020-02-10 20:20:00,2020-02-10T12:20:00Z,3.54,24.563,6.17985,1103,67,80
1581366060,           2020-02-10 20:21:00,2020-02-10T12:21:00Z,3.54,24.672,5.52647,1103,24,92
1581366120,           2020-02-10 20:22:00,2020-02-10T12:22:00Z,3.54,24.747,7.57331,1103,3,208
1581366180,           2020-02-10 20:23:00,2020-02-10T12:23:00Z,3.54,24.83,7.53925,1089,12,262
1581366240,           2020-02-10 20:24:00,2020-02-10T12:24:00Z,3.54,24.888,7.31939,1063,-32,312
