date,E_Conductivity,TempInSitu,Serial,SalinityInSitu,a,Sp_Conductance,AbsPressure_bar,at,bt,Sp_Cond_mS.cm,SalinityInSitu_2pCal
2020-11-16T23:18:00Z,36855.2,15.03,352,29.51305955493945,1.9187543051656673,45573.378357700785,0,12.895013220641378,49.99932438619623,45.57456822403927,37.40842549249074
2020-11-16T23:18:10Z,36849.3,15.06,352,29.485207655574154,1.9189729760102292,45534.89519433211,0,12.895019094140059,49.99931851269755,45.53609399161653,37.34421789694812
2020-11-16T23:18:20Z,36858.2,15.08,352,29.47806035505335,1.9191039661181437,45525.03339732668,0,12.895020599298332,49.999317007539275,45.526234479357505,37.31599322797897
2020-11-16T23:18:30Z,36879,15.08,352,29.49653932368817,1.9190800746897898,45550.5909661346,0,12.895016698570492,49.999320908267116,45.5517861237785,37.339502172207176
2020-11-16T23:18:40Z,36876,15.1,352,29.478820443990365,1.919224694826606,45526.10829945968,0,12.89502043524123,49.999317171596374,45.527309132538655,37.29784840363529
2020-11-16T23:18:50Z,36911.7,15.12,352,29.495466107308093,1.9193248365213758,45549.1538869752,0,12.895016917904918,49.99932068893269,45.55034937802716,37.29990677610278
2020-11-16T23:19:00Z,36870,15.11,352,29.46597189800168,1.9193021605716996,45508.34845217103,0,12.895023145840634,49.99931446099697,45.50955339606813,37.27196552167549
2020-11-16T23:19:10Z,37064.1,15.33,352,29.472697115428044,1.920629565412646,45517.907944138686,0,12.895021686821712,49.999315920015896,45.519110675973856,37.07145530672983
2020-11-16T23:19:20Z,37022.1,15.3,352,29.45806929485879,1.920466615414872,45497.639722158085,0,12.895024780262187,49.99931282657542,45.498847142265056,37.08134946429674
2020-11-16T23:19:30Z,37043.1,15.31,352,29.469134213803645,1.920512914080455,45512.95660738743,0,12.89502244252024,49.999315164317366,45.51416048514726,37.085876893393205
2020-11-16T23:19:40Z,37052.1,15.35,352,29.44711698383526,1.9207840031904804,45482.547429315026,0,12.895027083725685,49.99931052311192,45.48375833605273,37.02023090469735
2020-11-16T23:19:50Z,37028.1,15.33,352,29.440896948023358,1.9206708361872367,45473.91971713658,0,12.895028400531572,49.99930920630604,45.475132615370406,37.03126415516837
2020-11-16T23:20:00Z,37037.1,15.33,352,29.448846545601935,1.9206605158849062,45484.91680021979,0,12.89502672210009,49.99931088473752,45.48612715983192,37.0413113178165
2020-11-16T23:20:10Z,37019.2,15.36,352,29.4105937502364,1.920892061676768,45432.03059461011,0,12.895034793865292,49.99930281297232,45.43325314451747,36.96466592416985
2020-11-16T23:20:20Z,37031.1,15.37,352,29.413619129597667,1.920948731650978,45436.227995011526,0,12.895034153236415,49.99930345360119,45.43744957909703,36.95906005825912
2020-11-16T23:20:30Z,37061.1,15.37,352,29.44009193611212,1.9209143316904267,45472.85241037002,0,12.895028563429431,49.999309043408175,45.474065554880376,36.99248261914667
2020-11-16T23:20:40Z,37055.1,15.36,352,29.44227987371672,1.9208508917850775,45475.8675808709,0,12.895028103238573,49.99930950359904,45.47708002959509,37.00468087813209
2020-11-16T23:20:50Z,37031.1,15.33,352,29.44354678097224,1.9206673958932583,45477.585413449335,0,12.895027841054114,49.999309765783494,45.478797465696516,37.03461316307085
2020-11-16T23:21:00Z,36887.9,15.23,352,29.391806125998887,1.9201277416726852,45405.884032125636,0,12.895038784488381,49.999298822349225,45.40711259183165,37.06374463800291
2020-11-16T23:21:10Z,36819.6,15.05,352,29.46633655171891,1.9189364845342904,45508.78197970311,0,12.895023079673427,49.99931452716418,45.50998682331469,37.3297631840078
2020-11-16T23:21:20Z,36798.8,15.01,352,29.477958318902065,1.9186778043355832,45524.809387758076,0,12.895020633487828,49.99931697334978,45.526010521668084,37.382877443645725
2020-11-16T23:21:30Z,36719,14.97,352,29.43705333859665,1.918486853847769,45468.1794941873,0,12.895029276633977,49.99930833020363,45.469393716732704,37.36906925608612
2020-11-16T23:21:40Z,36539.6,14.66,352,29.510950724792696,1.9164968565554017,45570.017915528544,0,12.895013733529376,49.99932387330823,45.57120856270943,37.76332188417975
2020-11-16T23:21:50Z,36489.8,14.51,352,29.58021501658106,1.9154880302546418,45665.60422918147,0,12.894999144653665,49.99933846218394,45.66677259313363,37.99931956976987
2020-11-16T23:22:00Z,36416.9,14.4,352,29.598405806924895,1.9147888289492203,45690.61524355458,0,12.89499532734378,49.999342279493824,45.691777752092115,38.131191543844885
2020-11-16T23:22:10Z,36408.2,14.35,352,29.628765525733247,1.9144424372230144,45732.51686694099,0,12.894988932102116,49.999348674735494,45.733669542684815,38.21999812836565
2020-11-16T23:22:20Z,36387.8,14.35,352,29.61033031541015,1.9144659805954765,45707.03628301177,0,12.894992821080127,49.99934478575748,45.7081949415674,38.19608584579605
2020-11-16T23:22:30Z,36408.2,14.35,352,29.628765525733247,1.9144424372230144,45732.51686694099,0,12.894988932102116,49.999348674735494,45.733669542684815,38.21999812836565
2020-11-16T23:22:40Z,36390.7,14.36,352,29.60530628955738,1.9145339395226266,45700.10422066828,0,12.8949938790872,49.99934372775041,45.70126450501616,38.17967315628702
2020-11-16T23:22:50Z,36411.1,14.36,352,29.623736897469865,1.9145103960452186,45725.579066278224,0,12.894989990985001,49.999347615852606,45.72673337206777,38.20357303477583
2020-11-16T23:23:00Z,36402.3,14.36,352,29.615786245516894,1.9145205509026422,45714.5899298097,0,12.894991668203632,49.99934593863398,45.71574681589151,38.193262999102956
2020-11-16T23:23:10Z,36411.1,14.37,352,29.61609063336278,1.9145816916490759,45715.02303408381,0,12.894991602101026,49.99934600473658,45.71617981850865,38.18376204809493
2020-11-16T23:23:20Z,36411.1,14.37,352,29.61609063336278,1.9145816916490759,45715.02303408381,0,12.894991602101026,49.99934600473658,45.71617981850865,38.18376204809493
2020-11-16T23:23:30Z,36405.3,14.4,352,29.587936176429043,1.9148022170114853,45676.14258267489,0,12.894997536235856,49.999340070601754,45.6773084807113,38.117629670869
2020-11-16T23:23:40Z,36454.8,14.41,352,29.62497230480287,1.914816363339754,45727.34839894596,0,12.894989720940332,49.99934788589727,45.728502289103595,38.155722735155905
2020-11-16T23:23:50Z,36554.2,14.63,352,29.546820119047894,1.916266950115399,45619.580909682816,0,12.895006168969829,49.99933143786778,45.62076002142355,37.838735819337856
2020-11-16T23:24:00Z,36527.9,14.55,352,29.584031946097493,1.9157286468141863,45670.929853638256,0,12.89499833182942,49.99933927500819,45.672096971652415,37.96498229325951
2020-11-16T23:24:10Z,36536.7,14.58,352,29.569110118391496,1.9159318066760833,45650.33772652576,0,12.895001474705964,49.999336132131646,45.65150965951393,37.91633820248344
2020-11-16T23:24:20Z,36610,14.65,352,29.581705026510974,1.9163447246439669,45667.83508759926,0,12.89499880416856,49.999338802669044,45.66900292969547,37.86410618479607
2020-11-16T23:24:30Z,36583.6,14.66,352,29.550419249118647,1.916446143433994,45624.59373092135,0,12.895005403887222,49.999332202950384,45.625771673712855,37.81409426987106
2020-11-16T23:24:40Z,36574.8,14.65,352,29.550117907071233,1.916385268640373,45624.16492758951,0,12.895005469333396,49.99933213750421,45.62534297039064,37.82346085588276
2020-11-16T23:24:50Z,36586.5,14.65,352,29.560616519013763,1.9163717893114762,45638.68032598582,0,12.895003253918501,49.99933435291911,45.63985498168481,37.8369700615256
2020-11-16T23:25:00Z,36574.8,14.68,352,29.527348519816993,1.916598282574921,45592.71782763276,0,12.895010268951827,49.99932733788578,45.59390319658337,37.764935093968276
2020-11-16T23:25:10Z,36615.9,14.68,352,29.564201698028523,1.9165509371203497,45643.6734784448,0,12.895002491837845,49.99933511499976,45.64484696821321,37.81231842659839
2020-11-16T23:25:20Z,36624.7,14.7,352,29.556906053371048,1.9166827605987644,45633.611021530174,0,12.895004027621868,49.99933357921574,45.63478686052214,37.78345339532034
2020-11-16T23:25:30Z,36624.7,14.71,352,29.549317188073697,1.916753724519078,45623.13064500958,0,12.895005627190933,49.999331979646676,45.62430892902356,37.76396756847292
2020-11-16T23:25:40Z,36633.5,14.72,352,29.54961506630743,1.916814546073055,45623.55461340825,0,12.895005562482691,49.999332044354915,45.624732798547484,37.75462050841496
2020-11-16T23:25:50Z,36648.2,14.72,352,29.562784905697793,1.9167976231270245,45641.76318345668,0,12.895002783396908,49.9993348234407,45.64293711933869,37.77153559654494
2020-11-16T23:26:00Z,36642.3,14.75,352,29.53474833530607,1.9170172189329748,45603.03480259857,0,12.895008694321948,49.99932891251566,45.60421776982326,37.7063762734088
2020-11-16T23:26:10Z,36813.6,15.01,352,29.491127273959282,1.918660791349981,45543.023115931064,0,12.895017853614785,49.99931975322282,45.544220028964595,37.399661827964216
2020-11-16T23:26:20Z,36775.1,14.93,352,29.51719858946063,1.918139407758096,45578.9831688111,0,12.895012365206226,49.99932524163138,45.58017173238561,37.509822393160306
2020-11-16T23:26:30Z,36902.8,15.05,352,29.54030762650789,1.9188409218305884,45611.080588192985,0,12.895007466332693,49.99933014050492,45.612261681194944,37.423944262477285
2020-11-16T23:26:40Z,36819.6,15.01,352,29.49646627049328,1.91865389555531,45550.407045630716,0,12.895016726641387,49.99932088019622,45.5516022459468,37.40646663757152
2020-11-16T23:26:50Z,36704.2,15.01,352,29.3938029386239,1.918786662347483,45408.38803016731,0,12.895038402315299,49.99929920452231,45.40961601481523,37.27562079441808
2020-11-16T23:27:00Z,36724.9,15.02,352,29.404699401403743,1.91883349324667,45423.47686013924,0,12.89503609938032,49.99930150745729,45.42470137736389,37.27994736201535
2020-11-16T23:27:10Z,36719,15.03,352,29.391942023274776,1.9189109451357815,45405.836792202565,0,12.895038791698383,49.99929881513923,45.40706536275651,37.25414006601664
2020-11-16T23:27:20Z,36748.5,15.05,352,29.403143563700667,1.9190182687212936,45421.35969495572,0,12.89503642251298,49.99930118432463,45.42258469893222,37.2493079825984
2020-11-16T23:27:30Z,36733.7,15.05,352,29.389991817752332,1.919035306541868,45403.16194464003,0,12.8950391999474,49.999298406890205,45.40439112937269,37.23256397218725
2020-11-16T23:27:40Z,36721.9,15.07,352,29.36450531210391,1.9191901451188256,45367.91719723794,0,12.89504457918235,49.999293027655256,45.369154463616304,37.181057372052656
2020-11-16T23:27:50Z,36721.9,15.07,352,29.36450531210391,1.9191901451188256,45367.91719723794,0,12.89504457918235,49.999293027655256,45.369154463616304,37.181057372052656
2020-11-16T23:28:00Z,36742.6,15.07,352,29.382889778509504,1.9191663085620938,45393.358183210505,0,12.895040696247984,49.99929691058962,45.3945896180041,37.20445077304693
2020-11-16T23:28:10Z,36772.2,15.08,352,29.401673882036775,1.9192028478023684,45419.36164731394,0,12.895036727465307,49.9993008793723,45.42058711058869,37.218816896424315
2020-11-16T23:28:20Z,36751.5,15.12,352,29.353311709206718,1.9195090167380304,45352.484980540394,0,12.89504693452678,49.99929067231083,45.35372577910467,37.11925411297049
2020-11-16T23:28:30Z,36902.8,15.3,352,29.35264196965643,1.9206035736816656,45351.76857303257,0,12.895047043868585,49.99929056296902,45.353009535475834,36.948002438500936
2020-11-16T23:28:40Z,36956.4,15.41,352,29.317905570107808,1.9213156756533734,45303.81742715529,0,12.895054362419543,49.999283244418066,45.3050693392805,36.80068254403791
2020-11-16T23:28:50Z,36879,15.3,352,29.331615763773485,1.9206309330205078,45322.6673343955,0,12.895051485449574,49.99928612138803,45.32391494664138,36.92140888123661
2020-11-16T23:29:00Z,36867.1,15.28,352,29.336029385662695,1.920503816161062,45328.75298905842,0,12.895050556625602,49.999287050212004,45.329999211848786,36.94585103684313
2020-11-16T23:29:10Z,36879,15.31,352,29.324154682236454,1.920701318739429,45312.35174444714,0,12.895053059868063,49.99928454696954,45.31360171052111,36.9025521219062
2020-11-16T23:29:20Z,36932.6,15.33,352,29.356561134101252,1.9207804531220545,45357.22736271549,0,12.895046210719977,49.99929139611763,45.35846707624181,36.924678272483
2020-11-16T23:29:30Z,36917.7,15.33,352,29.343405989480697,1.920797573294883,45339.02073257371,0,12.89504898950968,49.99928861732793,45.340264609687466,36.90805287465389
2020-11-16T23:29:40Z,36908.7,15.33,352,29.33546032244707,1.9208079166434429,45328.02341574023,0,12.895050667976841,49.99928693886076,45.32926980513638,36.898011241411055
2020-11-16T23:29:50Z,36938.5,15.35,352,29.34684265075392,1.9209143736146825,45343.80032814932,0,12.895048260023177,49.99928934681443,45.345043112767996,36.89356789250785
2020-11-16T23:30:00Z,36911.7,15.36,352,29.315740064418662,1.9210155070474684,45300.7621837077,0,12.89505482872654,49.999282778111066,45.30201479221841,36.84488355240257
2020-11-16T23:30:10Z,36926.6,15.37,352,29.321431185485515,1.9210687086032654,45308.65142865174,0,12.895053624629327,49.99928398220828,45.30990223864321,36.842674183530825
2020-11-16T23:30:20Z,36917.7,15.35,352,29.32848767067261,1.9209382741935854,45318.39562589253,0,12.895052137419736,49.99928546941787,45.31964421307616,36.87038325395234
2020-11-16T23:30:30Z,36813.6,15.22,352,29.33352839732515,1.9201427200047936,45325.22142929433,0,12.89505109563045,49.99928651120716,45.32646845847233,36.99935444714394
2020-11-16T23:30:40Z,36760.3,15.1,352,29.376105945668662,1.9193577327284275,45384.00617651104,0,12.895042123599435,49.99929548323817,45.385239756209884,37.16724796142153
2020-11-16T23:30:50Z,36902.8,15.25,352,29.390020633874272,1.92025151176213,45403.43676315544,0,12.895039158003181,49.99929844883442,45.404665884791726,37.04254746509626
2020-11-16T23:31:00Z,36660,14.96,352,29.392042308913094,1.9184840922738577,45405.89242402301,0,12.895038783207568,49.99929882363004,45.40712098180195,37.32121898279635
2020-11-16T23:31:10Z,36501.5,14.73,352,29.423837672925607,1.9170376751206284,45449.60841694398,0,12.895032111047476,49.99930549579013,45.45082692025979,37.58339795664393
2020-11-16T23:31:20Z,36486.9,14.71,352,29.425872865842248,1.916912613010902,45452.399867743785,0,12.895031685001872,49.999305921835735,45.453617727971874,37.60538244945692
2020-11-16T23:31:30Z,36449,14.65,352,29.43726785462469,1.9165303924039803,45468.091315117235,0,12.895029290092321,49.999308316745285,45.46930555800197,37.6782550465753
2020-11-16T23:31:40Z,36323.9,14.47,352,29.4612583150658,1.9153949043668905,45501.05760569612,0,12.89502425860719,49.999313348230416,45.50226423568121,37.88484904977077
2020-11-16T23:31:50Z,36242.8,14.31,352,29.50981153066122,1.9143482340620508,45568.012413619814,0,12.895014039619412,49.9993235672182,45.569203526716606,38.10520160130743
2020-11-16T23:32:00Z,36208.1,14.27,352,29.508931680323975,1.9141028877949773,45566.745903571085,0,12.895014232920701,49.99932337391691,45.56793731086797,38.14361786313561
2020-11-16T23:32:10Z,36237,14.3,352,29.512192269277975,1.914283583185122,45571.29231061783,0,12.895013539024632,49.99932406781298,45.57248266169832,38.11817732539576
2020-11-16T23:32:20Z,36237,14.3,352,29.512192269277975,1.914283583185122,45571.29231061783,0,12.895013539024632,49.99932406781298,45.57248266169832,38.11817732539576
2020-11-16T23:32:30Z,36248.6,14.3,352,29.522681929690556,1.9142701591520084,45585.79801106784,0,12.895011325089886,49.99932628174772,45.58698498992656,38.13180071551324
2020-11-16T23:32:40Z,36257.3,14.3,352,29.530549510950213,1.9142600931235787,45596.67726426361,0,12.895009664642206,49.9993279421954,45.59786171168968,38.14201875204834
2020-11-16T23:32:50Z,36265.9,14.31,352,29.530695965630883,1.9143215061493155,45596.892204441036,0,12.89500963183693,49.999327975000675,45.59807660183426,38.13231797532604
