"Plot Title: 20739352"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
1,11/17/20 10:49:50 AM,0.0,21.66
2,11/17/20 10:50:00 AM,30037.4,21.23
3,11/17/20 10:50:10 AM,29514.6,21.23
4,11/17/20 10:50:20 AM,29338.1,21.24
5,11/17/20 10:50:30 AM,29174.5,21.24
6,11/17/20 10:50:40 AM,29000.5,21.24
7,11/17/20 10:50:50 AM,28998.2,21.24
8,11/17/20 10:51:00 AM,28963.5,21.24
9,11/17/20 10:51:10 AM,28979.7,21.23
10,11/17/20 10:51:20 AM,28945.1,21.23
11,11/17/20 10:51:30 AM,28910.5,21.22
12,11/17/20 10:51:40 AM,28894.4,21.16
13,11/17/20 10:51:50 AM,28876.0,21.14
14,11/17/20 10:52:00 AM,28843.8,21.14
15,11/17/20 10:52:10 AM,28742.9,21.16
16,11/17/20 10:52:20 AM,28809.4,21.14
17,11/17/20 10:52:30 AM,28793.3,21.16
18,11/17/20 10:52:40 AM,28777.3,21.14
19,11/17/20 10:52:50 AM,28761.2,21.14
20,11/17/20 10:53:00 AM,28761.2,21.13
21,11/17/20 10:53:10 AM,28745.2,21.13
22,11/17/20 10:53:20 AM,28745.2,21.12
23,11/17/20 10:53:30 AM,28726.9,21.11
24,11/17/20 10:53:40 AM,28726.9,21.09
25,11/17/20 10:53:50 AM,28777.3,21.09
26,11/17/20 10:54:00 AM,28710.9,21.08
27,11/17/20 10:54:10 AM,28695.0,21.08
28,11/17/20 10:54:20 AM,28612.9,21.07
29,11/17/20 10:54:30 AM,28679.0,21.07
30,11/17/20 10:54:40 AM,28679.0,21.07
31,11/17/20 10:54:50 AM,28679.0,21.07
32,11/17/20 10:55:00 AM,28663.0,21.06
33,11/17/20 10:55:10 AM,28663.0,21.06
34,11/17/20 10:55:20 AM,28581.1,21.06
35,11/17/20 10:55:30 AM,28581.1,21.04
36,11/17/20 10:55:40 AM,28647.1,21.04
37,11/17/20 10:55:50 AM,28713.2,21.04
38,11/17/20 10:56:00 AM,28565.2,21.03
39,11/17/20 10:56:10 AM,28647.1,21.03
40,11/17/20 10:56:20 AM,28565.2,21.03
41,11/17/20 10:56:30 AM,28565.2,21.03
42,11/17/20 10:56:40 AM,28631.1,21.03
43,11/17/20 10:56:50 AM,28549.3,21.04
44,11/17/20 10:57:00 AM,28631.1,21.03
45,11/17/20 10:57:10 AM,28615.2,21.03
