"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
55,03/06/20 12:39:10 PM,22.89,0.0,0.0123
56,03/06/20 12:39:20 PM,22.90,0.0,0.0123
57,03/06/20 12:39:30 PM,22.91,0.0,0.0123
58,03/06/20 12:39:40 PM,22.92,0.0,0.0123
59,03/06/20 12:39:50 PM,22.94,0.0,0.0123
60,03/06/20 12:40:00 PM,22.95,0.0,0.0123
61,03/06/20 12:40:10 PM,22.96,0.0,0.0123
62,03/06/20 12:40:20 PM,22.99,0.0,0.0123
63,03/06/20 12:40:30 PM,23.01,0.0,0.0123
64,03/06/20 12:40:40 PM,23.02,0.0,0.0123
65,03/06/20 12:40:50 PM,23.03,0.0,0.0123
66,03/06/20 12:41:00 PM,23.11,0.0,0.0123
67,03/06/20 12:41:10 PM,23.14,0.0,0.0123
68,03/06/20 12:41:20 PM,23.13,0.0,0.0123
69,03/06/20 12:41:30 PM,23.13,0.0,0.0123
70,03/06/20 12:41:40 PM,23.13,0.0,0.0123
71,03/06/20 12:41:50 PM,23.13,0.0,0.0123
72,03/06/20 12:42:00 PM,23.16,0.0,0.0123
73,03/06/20 12:42:10 PM,23.17,0.0,0.0123
74,03/06/20 12:42:20 PM,23.19,0.0,0.0123
75,03/06/20 12:42:30 PM,23.24,0.0,0.0123
76,03/06/20 12:42:40 PM,23.28,0.0,0.0123
77,03/06/20 12:42:50 PM,23.36,0.0,0.0123
78,03/06/20 12:43:00 PM,23.43,0.0,0.0123
79,03/06/20 12:43:10 PM,23.50,0.0,0.0123
80,03/06/20 12:43:20 PM,23.59,0.0,0.0123
81,03/06/20 12:43:30 PM,23.67,0.0,0.0123
82,03/06/20 12:43:40 PM,23.74,0.0,0.0123
83,03/06/20 12:43:50 PM,23.82,0.0,0.0123
84,03/06/20 12:44:00 PM,23.89,0.0,0.0123
85,03/06/20 12:44:10 PM,23.98,0.0,0.0123
86,03/06/20 12:44:20 PM,24.04,0.0,0.0123
87,03/06/20 12:44:30 PM,24.11,0.0,0.0123
88,03/06/20 12:44:40 PM,24.20,0.0,0.0123
89,03/06/20 12:44:50 PM,24.41,0.0,0.0123
90,03/06/20 12:45:00 PM,24.48,0.0,0.0123
91,03/06/20 12:45:10 PM,24.53,0.0,0.0123
92,03/06/20 12:45:20 PM,24.63,0.0,0.0123
93,03/06/20 12:45:30 PM,24.69,0.0,0.0123
94,03/06/20 12:45:40 PM,24.75,0.0,0.0123
95,03/06/20 12:45:50 PM,24.82,0.0,0.0123
96,03/06/20 12:46:00 PM,24.86,0.0,0.0123
97,03/06/20 12:46:10 PM,24.93,0.0,0.0123
98,03/06/20 12:46:20 PM,24.94,0.0,0.0123
99,03/06/20 12:46:30 PM,24.96,0.0,0.0123
100,03/06/20 12:46:40 PM,24.99,0.0,0.0123
101,03/06/20 12:46:50 PM,25.09,0.0,0.0123
