date,E_Conductivity,TempInSitu,Serial,SalinityInSitu,a,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,C1_mS.cm,SalinityInSituC1
2020-03-05T17:06:58Z,50972.1,24.03,331,34.1787515511639,1.9633757158850027,51961.6972449102,NA,NA,NA,NA,NA,51.84466414631136,NA
2020-03-05T17:07:08Z,50775.4,24.08,331,33.99250661854815,1.9638714813577092,51709.67055528818,NA,NA,NA,NA,NA,51.59263745668934,NA
2020-03-05T17:07:18Z,50503,24.04,331,33.818117718319535,1.9638891824746765,51473.4461837924,NA,NA,NA,NA,NA,51.35641308519356,NA
2020-03-05T17:07:28Z,50367.7,24.02,331,33.731548353803255,1.9638974711572006,51356.109713142294,NA,NA,NA,NA,NA,51.23907661454345,NA
2020-03-05T17:07:38Z,50297.3,23.98,331,33.708868233237766,1.96372010819304,51325.34381911876,NA,NA,NA,NA,NA,51.20831072051992,NA
2020-03-05T17:07:48Z,50209.6,23.97,331,33.65045202618549,1.963743814332066,51246.13305090773,NA,NA,NA,NA,NA,51.129099952308884,NA
2020-03-05T17:07:58Z,50426.5,24.08,331,33.73034847460276,1.9642086374592833,51354.5129976225,NA,NA,NA,NA,NA,51.237479899023654,NA
2020-03-05T17:08:08Z,50256.4,24.1,331,33.587597528430926,1.9644963716040953,51160.94949689015,NA,NA,NA,NA,NA,51.0439163982913,NA
2020-03-05T17:08:18Z,50233,24.08,331,33.58509270523058,1.964396442057958,51157.54197973468,NA,NA,NA,NA,NA,51.040508881135835,NA
2020-03-05T17:08:28Z,50180.4,24.07,331,33.553143072142646,1.964386238807829,51114.19459028641,NA,NA,NA,NA,NA,50.997161491687564,NA
2020-03-05T17:08:38Z,50192.1,24.05,331,33.5769740176934,1.964252121801139,51146.514165231994,NA,NA,NA,NA,NA,51.02948106663315,NA
2020-03-05T17:08:48Z,50203.7,24.07,331,33.57062944606271,1.9643635766811827,51137.91719592115,NA,NA,NA,NA,NA,51.02088409732231,NA
2020-03-05T17:08:58Z,50197.9,24.07,331,33.566276482015404,1.9643692171089,51132.011998522285,NA,NA,NA,NA,NA,51.01497889992344,NA
2020-03-05T17:09:08Z,50145.4,24.07,331,33.52687865608783,1.964420296474046,51078.55976348061,NA,NA,NA,NA,NA,50.96152666488177,NA
2020-03-05T17:09:18Z,50157,24.07,331,33.53558307889326,1.9644090066830049,51090.37016474954,NA,NA,NA,NA,NA,50.9733370661507,NA
2020-03-05T17:09:28Z,50075.5,24.07,331,33.47443445769497,1.9644883714060515,51007.39188234006,NA,NA,NA,NA,NA,50.89035878374121,NA
2020-03-05T17:09:38Z,50186.2,24.08,331,33.54997578113755,1.9644419519662477,51109.90241548612,NA,NA,NA,NA,NA,50.99286931688727,NA
2020-03-05T17:09:48Z,50180.4,24.09,331,33.538107889917605,1.9645089411210905,51093.805564594695,NA,NA,NA,NA,NA,50.97677246599585,NA
2020-03-05T17:09:58Z,50162.9,24.09,331,33.52498131429915,1.9645259704727,51075.99508112186,NA,NA,NA,NA,NA,50.958961982523014,NA
2020-03-05T17:10:08Z,50127.9,24.1,331,33.49122621146149,1.9646213854454095,51030.19511361291,NA,NA,NA,NA,NA,50.91316201501406,NA
