PST,Temp_degC,Sp_Conductance,Salinity_ppt
2020-03-06T14:55:00Z,16.4,50164.6,32.8584
2020-03-06T14:55:10Z,16.41,50139.5,32.84
2020-03-06T14:55:20Z,16.41,50079.8,32.7961
2020-03-06T14:55:30Z,16.41,50079.8,32.7961
2020-03-06T14:55:40Z,16.41,50066.1,32.786
2020-03-06T14:55:50Z,16.47,50077.1,32.7941
2020-03-06T14:56:00Z,16.49,49967.6,32.7137
2020-03-06T14:56:10Z,16.46,49813.7,32.6007
2020-03-06T14:56:20Z,16.46,50060.7,32.7821
2020-03-06T14:56:30Z,16.45,49943.5,32.696
2020-03-06T14:56:40Z,16.45,49738.4,32.5455
2020-03-06T14:56:50Z,16.46,49768.2,32.5674
2020-03-06T14:57:00Z,16.46,50028.6,32.7585
2020-03-06T14:57:10Z,16.47,49903,32.6663
2020-03-06T14:57:20Z,16.47,49861.9,32.6361
2020-03-06T14:57:30Z,16.47,49971.6,32.7166
2020-03-06T14:57:40Z,16.46,49804.6,32.5941
2020-03-06T14:57:50Z,16.41,50038.5,32.7658
2020-03-06T14:58:00Z,16.41,49965.2,32.7119
2020-03-06T14:58:10Z,16.44,49577.5,32.4274
2020-03-06T14:58:20Z,16.42,49000.7,32.005
2020-03-06T14:58:30Z,16.45,47673.3,31.0358
2020-03-06T14:58:40Z,16.46,48173.1,31.4002
2020-03-06T14:58:50Z,16.46,48943.7,31.9633
2020-03-06T14:59:00Z,16.47,47563.6,30.9559
2020-03-06T14:59:10Z,16.47,46737,30.3549
2020-03-06T14:59:20Z,16.47,45979,29.8053
2020-03-06T14:59:30Z,16.49,49853.3,32.6298
2020-03-06T14:59:40Z,16.5,49924.3,32.682
2020-03-06T14:59:50Z,16.5,50016.1,32.7493
2020-03-06T15:00:00Z,16.5,50016.1,32.7493
2020-03-06T15:00:10Z,16.5,49974.8,32.719
2020-03-06T15:00:20Z,16.5,49933.5,32.6887
2020-03-06T15:00:30Z,16.5,49947.3,32.6988
2020-03-06T15:00:40Z,16.49,49972.1,32.7171
2020-03-06T15:00:50Z,16.49,49857.9,32.6332
2020-03-06T15:01:00Z,16.49,49803.1,32.593
2020-03-06T15:01:10Z,16.5,49833.1,32.615
2020-03-06T15:01:20Z,16.5,49929,32.6854
2020-03-06T15:01:30Z,16.52,49806.3,32.5953
2020-03-06T15:01:40Z,16.52,50025.9,32.7566
2020-03-06T15:01:50Z,16.51,50009.5,32.7445
2020-03-06T15:02:00Z,16.5,50075.7,32.7931
2020-03-06T15:02:10Z,16.53,50083.8,32.799
2020-03-06T15:02:20Z,16.53,50056.1,32.7787
2020-03-06T15:02:30Z,16.53,49859.1,32.6341
2020-03-06T15:02:40Z,16.55,50033.8,32.7623
2020-03-06T15:02:50Z,16.53,49859.1,32.6341
2020-03-06T15:03:00Z,16.55,49891.7,32.658
2020-03-06T15:03:10Z,16.55,49836.9,32.6178
2020-03-06T15:03:20Z,16.55,49754.7,32.5575
2020-03-06T15:03:30Z,16.55,49723,32.5342
2020-03-06T15:03:40Z,16.55,49768.4,32.5675
2020-03-06T15:03:50Z,16.55,49682.1,32.5042
2020-03-06T15:04:00Z,16.55,49641.2,32.4742
2020-03-06T15:04:10Z,16.55,49321.2,32.2396
2020-03-06T15:04:20Z,16.53,49379.1,32.282
2020-03-06T15:04:30Z,16.55,49227.1,32.1707
2020-03-06T15:04:40Z,16.53,49208.9,32.1573
2020-03-06T15:04:50Z,16.53,49231.2,32.1737
2020-03-06T15:05:00Z,16.55,49169.1,32.1282
2020-03-06T15:05:10Z,16.52,49724.4,32.5352
2020-03-06T15:05:20Z,16.53,49754.2,32.5571
2020-03-06T15:05:30Z,16.53,49672.4,32.4971
2020-03-06T15:05:40Z,16.53,49667.9,32.4937
2020-03-06T15:05:50Z,16.53,49627.1,32.4638
2020-03-06T15:06:00Z,16.53,49627.1,32.4638
2020-03-06T15:06:10Z,16.53,49667.9,32.4937
2020-03-06T15:06:20Z,16.53,49681.5,32.5038
2020-03-06T15:06:30Z,16.53,49654.3,32.4838
2020-03-06T15:06:40Z,16.55,49618.6,32.4576
2020-03-06T15:06:50Z,16.53,49613.5,32.4539
2020-03-06T15:07:00Z,16.53,49677,32.5005
2020-03-06T15:07:10Z,16.52,49728.9,32.5385
2020-03-06T15:07:20Z,16.53,49690.6,32.5104
2020-03-06T15:07:30Z,16.52,49715.3,32.5286
2020-03-06T15:07:40Z,16.53,49690.6,32.5104
2020-03-06T15:07:50Z,16.53,49699.6,32.517
2020-03-06T15:08:00Z,16.51,49753.7,32.5567
2020-03-06T15:08:10Z,16.52,49710.7,32.5252
2020-03-06T15:08:20Z,16.52,49738,32.5452
2020-03-06T15:08:30Z,16.52,49710.7,32.5252
2020-03-06T15:08:40Z,16.52,49665.4,32.4919
2020-03-06T15:08:50Z,16.52,49656.3,32.4853
2020-03-06T15:09:00Z,16.52,49747.1,32.5519
2020-03-06T15:09:10Z,16.55,49700.2,32.5174
2020-03-06T15:09:20Z,16.53,49708.8,32.5237
2020-03-06T15:09:30Z,16.53,49708.8,32.5237
2020-03-06T15:09:40Z,16.55,49709.3,32.5242
2020-03-06T15:09:50Z,16.56,49689.1,32.5093
2020-03-06T15:10:00Z,16.55,49682.1,32.5042
2020-03-06T15:10:10Z,16.56,49630.1,32.4661
2020-03-06T15:10:20Z,16.56,49684.6,32.506
2020-03-06T15:10:30Z,16.56,49698.2,32.516
2020-03-06T15:10:40Z,16.56,49684.6,32.506
2020-03-06T15:10:50Z,16.56,49684.6,32.506
2020-03-06T15:11:00Z,16.55,49709.3,32.5242
2020-03-06T15:11:10Z,16.56,49725.5,32.536
2020-03-06T15:11:20Z,16.55,49668.4,32.4942
2020-03-06T15:11:30Z,16.55,49650.2,32.4808
2020-03-06T15:11:40Z,16.56,49707.3,32.5227
2020-03-06T15:11:50Z,16.56,49720.9,32.5327
2020-03-06T15:12:00Z,16.55,49691.1,32.5108
2020-03-06T15:12:10Z,16.56,49680.1,32.5027
2020-03-06T15:12:20Z,16.56,49734.6,32.5427
2020-03-06T15:12:30Z,16.55,49732,32.5408
2020-03-06T15:12:40Z,16.57,49732.6,32.5412
2020-03-06T15:12:50Z,16.57,49691.7,32.5112
2020-03-06T15:13:00Z,16.57,49705.4,32.5213
2020-03-06T15:13:10Z,16.57,49746.2,32.5512
2020-03-06T15:13:20Z,16.57,49678,32.5012
2020-03-06T15:13:30Z,16.58,49694.3,32.5131
2020-03-06T15:13:40Z,16.61,49656.6,32.4855
2020-03-06T15:13:50Z,16.58,49717,32.5298
2020-03-06T15:14:00Z,16.58,49648.9,32.4798
2020-03-06T15:14:10Z,16.58,49717,32.5298
2020-03-06T15:14:20Z,16.58,49608,32.4499
2020-03-06T15:14:30Z,16.57,49673.5,32.4979
2020-03-06T15:14:40Z,16.6,49640.3,32.4736
2020-03-06T15:14:50Z,16.6,49649.5,32.4803
2020-03-06T15:15:00Z,16.6,49649.5,32.4803
2020-03-06T15:15:10Z,16.6,49649.5,32.4803
2020-03-06T15:15:20Z,16.6,49622.2,32.4602
2020-03-06T15:15:30Z,16.6,49622.2,32.4602
2020-03-06T15:15:40Z,16.6,49663,32.4902
2020-03-06T15:15:50Z,16.6,49676.7,32.5002
2020-03-06T15:16:00Z,16.6,49635.8,32.4702
2020-03-06T15:16:10Z,16.6,49649.5,32.4803
2020-03-06T15:16:20Z,16.6,49649.5,32.4803
2020-03-06T15:16:30Z,16.6,49608.6,32.4503
2020-03-06T15:16:40Z,16.6,49576.9,32.427
2020-03-06T15:16:50Z,16.61,49593.1,32.4389
2020-03-06T15:17:00Z,16.58,49599,32.4432
2020-03-06T15:17:10Z,16.56,49612.1,32.4528
2020-03-06T15:17:20Z,16.55,49645.7,32.4775
2020-03-06T15:17:30Z,16.58,49635.2,32.4698
2020-03-06T15:17:40Z,16.6,49672.2,32.4969
2020-03-06T15:17:50Z,16.61,49633.8,32.4688
2020-03-06T15:18:00Z,16.6,49626.8,32.4636
2020-03-06T15:18:10Z,16.6,49613.1,32.4536
2020-03-06T15:18:20Z,16.6,49585.9,32.4337
2020-03-06T15:18:30Z,16.58,49648.9,32.4798
2020-03-06T15:18:40Z,16.58,49662.4,32.4898
2020-03-06T15:18:50Z,16.57,49564.8,32.4181
2020-03-06T15:19:00Z,16.57,49673.5,32.4979
2020-03-06T15:19:10Z,16.57,49660,32.488
2020-03-06T15:19:20Z,16.57,49660,32.488
2020-03-06T15:19:30Z,16.57,49641.8,32.4746
2020-03-06T15:19:40Z,16.58,49562.8,32.4167
2020-03-06T15:19:50Z,16.57,49587.4,32.4347
2020-03-06T15:20:00Z,16.57,49614.6,32.4547
2020-03-06T15:20:10Z,16.58,49644.3,32.4764
2020-03-06T15:20:20Z,16.57,49605.5,32.448
2020-03-06T15:20:30Z,16.58,49576.3,32.4266
2020-03-06T15:20:40Z,16.57,49587.4,32.4347
2020-03-06T15:20:50Z,16.57,49601,32.4447
2020-03-06T15:21:00Z,16.57,49601,32.4447
2020-03-06T15:21:10Z,16.57,49610.1,32.4513
2020-03-06T15:21:20Z,16.57,49601,32.4447
2020-03-06T15:21:30Z,16.56,49621.1,32.4595
2020-03-06T15:21:40Z,16.57,49664.5,32.4913
2020-03-06T15:21:50Z,16.57,49637.3,32.4713
2020-03-06T15:22:00Z,16.57,49596.5,32.4414
2020-03-06T15:22:10Z,16.57,49605.5,32.448
2020-03-06T15:22:20Z,16.58,49585.5,32.4333
2020-03-06T15:22:30Z,16.58,49626.2,32.4632
2020-03-06T15:22:40Z,16.57,49596.5,32.4414
2020-03-06T15:22:50Z,16.58,49585.5,32.4333
2020-03-06T15:23:00Z,16.58,49594.5,32.4399
2020-03-06T15:23:10Z,16.58,49567.3,32.42
2020-03-06T15:23:20Z,16.58,49594.5,32.4399
2020-03-06T15:23:30Z,16.58,49621.7,32.4599
2020-03-06T15:23:40Z,16.57,49619.1,32.458
2020-03-06T15:23:50Z,16.57,49605.5,32.448
2020-03-06T15:24:00Z,16.57,49660,32.488
2020-03-06T15:24:10Z,16.57,49605.5,32.448
2020-03-06T15:24:20Z,16.57,49632.8,32.468
2020-03-06T15:24:30Z,16.57,49564.8,32.4181
2020-03-06T15:24:40Z,16.57,49564.8,32.4181
2020-03-06T15:24:50Z,16.56,49616.6,32.4561
2020-03-06T15:25:00Z,16.57,49632.8,32.468
2020-03-06T15:25:10Z,16.57,49546.7,32.4049
2020-03-06T15:25:20Z,16.57,49587.4,32.4347
2020-03-06T15:25:30Z,16.56,49584.9,32.4329
2020-03-06T15:25:40Z,16.57,49601,32.4447
2020-03-06T15:25:50Z,16.57,49628.1,32.4646
2020-03-06T15:26:00Z,16.57,49560.3,32.4148
2020-03-06T15:26:10Z,16.57,49601,32.4447
2020-03-06T15:26:20Z,16.57,49601,32.4447
2020-03-06T15:26:30Z,16.58,49522.1,32.3869
2020-03-06T15:26:40Z,16.57,49573.8,32.4248
2020-03-06T15:26:50Z,16.57,49596.5,32.4414
2020-03-06T15:27:00Z,16.58,49571.8,32.4233
2020-03-06T15:27:10Z,16.58,49504.1,32.3736
2020-03-06T15:27:20Z,16.58,49558.3,32.4134
2020-03-06T15:27:30Z,16.57,49578.3,32.4281
2020-03-06T15:27:40Z,16.57,49528.7,32.3917
2020-03-06T15:27:50Z,16.57,49555.7,32.4115
2020-03-06T15:28:00Z,16.57,49610.1,32.4513
2020-03-06T15:28:10Z,16.57,49619.1,32.458
2020-03-06T15:28:20Z,16.57,49578.3,32.4281
2020-03-06T15:28:30Z,16.58,49567.3,32.42
2020-03-06T15:28:40Z,16.58,49540.2,32.4001
2020-03-06T15:28:50Z,16.58,49567.3,32.42
2020-03-06T15:29:00Z,16.58,49513.1,32.3803
2020-03-06T15:29:10Z,16.58,49553.7,32.4101
2020-03-06T15:29:20Z,16.6,49558.7,32.4137
2020-03-06T15:29:30Z,16.6,49531.7,32.3939
2020-03-06T15:29:40Z,16.6,49567.9,32.4204
2020-03-06T15:29:50Z,16.6,49554.2,32.4104
2020-03-06T15:30:00Z,16.58,49576.3,32.4266
2020-03-06T15:30:10Z,16.58,49617.1,32.4565
2020-03-06T15:30:20Z,16.58,49644.3,32.4764
2020-03-06T15:30:30Z,16.6,49595,32.4403
2020-03-06T15:30:40Z,16.58,49603.5,32.4466
2020-03-06T15:30:50Z,16.61,49556.9,32.4123
2020-03-06T15:31:00Z,16.6,49581.4,32.4304
2020-03-06T15:31:10Z,16.61,49516.1,32.3825
2020-03-06T15:31:20Z,16.6,49567.9,32.4204
2020-03-06T15:31:30Z,16.6,49622.2,32.4602
2020-03-06T15:31:40Z,16.6,49590.5,32.437
2020-03-06T15:31:50Z,16.61,49611.1,32.4521
2020-03-06T15:32:00Z,16.6,49549.7,32.4071
2020-03-06T15:32:10Z,16.6,49549.7,32.4071
2020-03-06T15:32:20Z,16.58,49612.5,32.4532
2020-03-06T15:32:30Z,16.6,49563.4,32.4171
2020-03-06T15:32:40Z,16.6,49563.4,32.4171
2020-03-06T15:32:50Z,16.6,49563.4,32.4171
2020-03-06T15:33:00Z,16.6,49563.4,32.4171
2020-03-06T15:33:10Z,16.6,49576.9,32.427
2020-03-06T15:33:20Z,16.6,49549.7,32.4071
2020-03-06T15:33:30Z,16.61,49507.1,32.3759
2020-03-06T15:33:40Z,16.61,49547.7,32.4056
2020-03-06T15:33:50Z,16.61,49574.9,32.4256
2020-03-06T15:34:00Z,16.58,49680.6,32.5031
2020-03-06T15:34:10Z,16.6,49585.9,32.4337
2020-03-06T15:34:20Z,16.6,49585.9,32.4337
2020-03-06T15:34:30Z,16.6,49572.4,32.4237
2020-03-06T15:34:40Z,16.6,49585.9,32.4337
2020-03-06T15:34:50Z,16.6,49572.4,32.4237
2020-03-06T15:35:00Z,16.61,49615.7,32.4555
2020-03-06T15:35:10Z,16.62,49572.9,32.4241
2020-03-06T15:35:20Z,16.62,49572.9,32.4241
2020-03-06T15:35:30Z,16.62,49572.9,32.4241
2020-03-06T15:35:40Z,16.61,49583.9,32.4322
2020-03-06T15:35:50Z,16.62,49545.8,32.4043
2020-03-06T15:36:00Z,16.62,49545.8,32.4043
2020-03-06T15:36:10Z,16.63,49748.2,32.5527
2020-03-06T15:36:20Z,16.63,49761.8,32.5627
2020-03-06T15:36:30Z,16.63,49720.8,32.5326
2020-03-06T15:36:40Z,16.62,49772.9,32.5708
2020-03-06T15:36:50Z,16.61,49756.6,32.5588
2020-03-06T15:37:00Z,16.61,49784,32.5789
2020-03-06T15:37:10Z,16.61,49489.1,32.3626
2020-03-06T15:37:20Z,16.61,49434.9,32.323
2020-03-06T15:37:30Z,16.62,49423.9,32.3149
2020-03-06T15:37:40Z,16.62,49329.4,32.2456
2020-03-06T15:37:50Z,16.63,49771,32.5694
2020-03-06T15:38:00Z,16.66,49806.2,32.5952
2020-03-06T15:38:10Z,16.66,49737.8,32.545
2020-03-06T15:38:20Z,16.64,49705.2,32.5211
2020-03-06T15:38:30Z,16.66,49633,32.4682
2020-03-06T15:38:40Z,16.66,49642.2,32.4749
2020-03-06T15:38:50Z,16.66,49678.6,32.5016
2020-03-06T15:39:00Z,16.67,49644.8,32.4768
2020-03-06T15:39:10Z,16.66,49642.2,32.4749
2020-03-06T15:39:20Z,16.66,49628.5,32.4649
2020-03-06T15:39:30Z,16.67,49576.7,32.4269
2020-03-06T15:39:40Z,16.67,49590.3,32.4369
2020-03-06T15:39:50Z,16.67,49599.3,32.4435
2020-03-06T15:40:00Z,16.68,49574.7,32.4254
2020-03-06T15:40:10Z,16.67,49572.2,32.4236
2020-03-06T15:40:20Z,16.67,49572.2,32.4236
2020-03-06T15:40:30Z,16.67,49572.2,32.4236
2020-03-06T15:40:40Z,16.67,49544.9,32.4036
2020-03-06T15:40:50Z,16.67,49694.8,32.5135
2020-03-06T15:41:00Z,16.67,49667.5,32.4935
2020-03-06T15:41:10Z,16.68,49665.5,32.492
2020-03-06T15:41:20Z,16.68,49624.6,32.462
2020-03-06T15:41:30Z,16.67,49649.3,32.4801
2020-03-06T15:41:40Z,16.67,49622,32.4601
2020-03-06T15:41:50Z,16.67,49594.8,32.4402
