date,Sp_Conductance,TempInSitu,Serial,SalinityInSitu,C1,SalinityInSituC1,at,bt,C2,SalinityInSituC2
2020-03-05T17:06:58Z,50972.1,24.03,331,34.1787515511639,51.14567757715725,34.309533199013515,1.4077974910770523,12.88399875078732,50.93756339931495,34.152739427434774
2020-03-05T17:07:08Z,50775.4,24.08,331,33.99250661854815,50.94897757715726,34.12304866093632,1.4078181398278395,12.883978102036533,50.74117798416635,33.96677864523123
2020-03-05T17:07:18Z,50503,24.04,331,33.818117718319535,50.67657757715725,33.948656228576084,1.4078467352508923,12.88394950661348,50.46921130299748,33.79271619670638
2020-03-05T17:07:28Z,50367.7,24.02,331,33.731548353803255,50.54127757715725,33.86208543352606,1.4078609384841487,12.883935303380223,50.33412552317766,33.70630815296563
2020-03-05T17:07:38Z,50297.3,23.98,331,33.708868233237766,50.47087757715726,33.839493477551734,1.4078683287843796,12.883927913079992,50.26383672282445,33.683694640037835
2020-03-05T17:07:48Z,50209.6,23.97,331,33.65045202618549,50.383177577157255,33.781067394258656,1.4078775351669117,12.883918706697461,50.17627499525748,33.62538434625323
2020-03-05T17:07:58Z,50426.5,24.08,331,33.73034847460276,50.60007757715726,33.86073225213118,1.407854765903842,12.88394147596053,50.392832507435294,33.70506806740274
2020-03-05T17:08:08Z,50256.4,24.1,331,33.587597528430926,50.42997757715725,33.717844247557174,1.4078726222968718,12.8839236195675,50.22300124287896,33.562545267215555
2020-03-05T17:08:18Z,50233,24.08,331,33.58509270523058,50.40657757715726,33.71538867287475,1.4078750787318917,12.88392116313248,50.19963812906993,33.560058651278275
2020-03-05T17:08:28Z,50180.4,24.07,331,33.553143072142646,50.35397757715726,33.683445105489945,1.4078806004618938,12.883915641402478,50.14712097116296,33.52817001838449
2020-03-05T17:08:38Z,50192.1,24.05,331,33.5769740176934,50.36567757715725,33.70734128159706,1.4078793722443839,12.883916869619988,50.15880255305038,33.55197463614903
2020-03-05T17:08:48Z,50203.7,24.07,331,33.57062944606271,50.37727757715725,33.7009420587235,1.4078781545244594,12.883918087339913,50.17038428742064,33.54562683501784
2020-03-05T17:08:58Z,50197.9,24.07,331,33.566276482015404,50.37147757715726,33.69658646123599,1.4078787633844216,12.883917478479951,50.16459342084997,33.54128123038017
2020-03-05T17:09:08Z,50145.4,24.07,331,33.52687865608783,50.318977577157256,33.65716479701643,1.407884274616838,12.883911967247533,50.11217603822512,33.50194996547037
2020-03-05T17:09:18Z,50157,24.07,331,33.53558307889326,50.33057757715726,33.66587448712305,1.4078830568969138,12.883913184967458,50.123757792385504,33.510639689880655
2020-03-05T17:09:28Z,50075.5,24.07,331,33.47443445769497,50.24907757715725,33.60468885648922,1.4078916124291414,12.88390462943523,50.04238588107902,33.44959423650732
2020-03-05T17:09:38Z,50186.2,24.08,331,33.54997578113755,50.35977757715725,33.680250507009234,1.4078799916019316,12.883916250262441,50.15291184144161,33.52500111056783
2020-03-05T17:09:48Z,50180.4,24.09,331,33.538107889917605,50.35397757715726,33.66835005448993,1.4078806004618938,12.883915641402478,50.14712097116296,33.51314630847107
