date,E_Conductivity,TempInSitu,Serial,SalinityInSitu,a,Sp_Conductance,AbsPressure_bar,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2020-11-18T15:09:00Z,43881.7,21.89,353,30.343648287764985,1.9571315956631465,46725.746310963565,0,50.97862488672242,35.89277041106199
2020-11-18T15:09:10Z,43746.9,21.9,353,30.232654680969084,1.9573380969011582,46572.82149134051,0,50.82570006709937,35.76341369230847
2020-11-18T15:09:20Z,43612.8,21.88,353,30.143158467398962,1.9573527388812428,46449.43966390402,0,50.70231823966288,35.6823272640848
2020-11-18T15:09:30Z,43500.2,21.88,353,30.056333689222207,1.957472401728752,46329.70021819338,0,50.58257879395224,35.587593132477046
2020-11-18T15:09:40Z,43546,21.89,353,30.08470324360507,1.9574875212595702,46368.83556873534,0,50.6217141444942,35.61030232795543
2020-11-18T15:09:50Z,43516.9,21.89,353,30.062271873997354,1.9575184596991457,46337.89665975784,0,50.590775235516695,35.585833400351945
2020-11-18T15:10:00Z,43442,21.89,353,30.004547280940958,1.9575981540065381,46258.2633268729,0,50.511141902631756,35.52286548595515
2020-11-18T15:10:10Z,43421.2,21.89,353,29.988519798317625,1.9576203013335263,46236.148813088585,0,50.48902738884744,35.505382198646075
2020-11-18T15:10:20Z,43375.6,21.89,353,29.953386953045758,1.9576688793039725,46187.666917933035,0,50.44054549369189,35.46705821380071
2020-11-18T15:10:30Z,43334.2,21.89,353,29.92149517700745,1.9577130117777637,46143.65036938504,0,50.3965289451439,35.43226973257258
2020-11-18T15:10:40Z,43346.7,21.89,353,29.931123819936914,1.9576996838689797,46156.940399228595,0,50.40981897498745,35.44277293307843
2020-11-18T15:10:50Z,43280.5,21.89,353,29.88013561028018,1.9577702968657147,46086.55631105186,0,50.33943488681072,35.38715357260957
2020-11-18T15:11:00Z,43280.5,21.89,353,29.88013561028018,1.9577702968657147,46086.55631105186,0,50.33943488681072,35.38715357260957
2020-11-18T15:11:10Z,43272.3,21.89,353,29.87382072260432,1.9577790483616553,46077.838024831195,0,50.33071660059005,35.38026512465803
2020-11-18T15:11:20Z,43297,21.89,353,29.892842979300305,1.9577526904014149,46104.09919370905,0,50.35697776946791,35.401015114777614
2020-11-18T15:11:30Z,43231,21.89,353,29.842018175633104,1.9578231423311134,46033.92758008404,0,50.286806155842896,35.34557408294182
2020-11-18T15:11:40Z,43189.9,21.88,353,29.81725196982943,1.9578032157429857,45999.722206655606,0,50.25260078241446,35.326733863126606
2020-11-18T15:11:50Z,43210.4,21.89,353,29.82615722791238,1.9578451461048882,46012.02548561967,0,50.26490406137853,35.32827256591573
2020-11-18T15:12:00Z,43136.5,21.88,353,29.77613581722134,1.9578603011291473,45942.93529276389,0,50.19581386852275,35.281872752704835
2020-11-18T15:12:10Z,43189.9,21.89,353,29.810374480340926,1.9578670497823718,45990.22969054668,0,50.24310826630553,35.31105636165902
2020-11-18T15:12:20Z,43169.3,21.89,353,29.794515954983485,1.9578890670559208,45968.32755294407,0,50.22120612870293,35.293757507220235
2020-11-18T15:12:30Z,43136.5,21.89,353,29.769267993360984,1.9579241376421865,45933.454201786444,0,50.1863327775453,35.26621645431403
2020-11-18T15:12:40Z,43115.9,21.89,353,29.753412615845647,1.9579461724432998,45911.552008029124,0,50.16443058378798,35.24892105939773
2020-11-18T15:12:50Z,43140.6,21.89,353,29.772423820200785,1.9579197528815089,45937.813373685036,0,50.190691949443895,35.26965890089625
2020-11-18T15:13:00Z,43095.4,21.89,353,29.737635411852484,1.9579681069880914,45889.75611406363,0,50.142634689822486,35.2317109476109
2020-11-18T15:13:10Z,43128.2,21.89,353,29.762879515560957,1.9579330149286494,45924.629534094616,0,50.17750810985348,35.25924776087645
2020-11-18T15:13:20Z,43128.2,21.89,353,29.762879515560957,1.9579330149286494,45924.629534094616,0,50.17750810985348,35.25924776087645
2020-11-18T15:13:30Z,43128.2,21.89,353,29.762879515560957,1.9579330149286494,45924.629534094616,0,50.17750810985348,35.25924776087645
2020-11-18T15:13:40Z,43034,21.89,353,29.69038795864197,1.9580338436446367,45824.47462488375,0,50.077353200642605,35.18017247171178
2020-11-18T15:13:50Z,43042.2,21.89,353,29.696697254719478,1.958025061011544,45833.1930108375,0,50.08607158659636,35.187054774340005
2020-11-18T15:14:00Z,43013.6,21.88,353,29.681538084737902,1.9579918556549893,45812.23976105343,0,50.06511833681229,35.17865908678755
2020-11-18T15:14:10Z,43013.6,21.88,353,29.681538084737902,1.9579918556549893,45812.23976105343,0,50.06511833681229,35.17865908678755
2020-11-18T15:14:20Z,43046.3,21.88,353,29.706703478235536,1.9579568294641374,45847.01399378147,0,50.09989256954032,35.20611650280589
2020-11-18T15:14:30Z,43005.4,21.89,353,29.668383871571073,1.9580644841244137,45794.06656882672,0,50.04694514458558,35.156169998145266
2020-11-18T15:14:40Z,43005.4,21.89,353,29.668383871571073,1.9580644841244137,45794.06656882672,0,50.04694514458558,35.156169998145266
2020-11-18T15:14:50Z,43046.3,21.89,353,29.699851974942277,1.9580206700960938,45837.55220252143,0,50.090430778280286,35.19049600495874
2020-11-18T15:15:00Z,42993.2,21.89,353,29.658998225308704,1.9580775584960468,45781.0952873819,0,50.03397386314075,35.14593196352753
2020-11-18T15:15:10Z,42985,21.9,353,29.645852264512474,1.958150181396163,45762.931469292256,0,50.01581004505111,35.12346422348244
2020-11-18T15:15:20Z,43025.9,21.9,353,29.67731058488904,1.9581063522696263,45806.40839695901,0,50.059286972717864,35.15777139107056
