date,Tprobe,Probe,Salprobe
2020-11-18T15:28:00Z,21,Orion,31.9
2020-11-18T15:30:00Z,21,Orion,31.9
2020-11-18T15:48:00Z,21.2,Orion,30.27
2020-11-18T16:31:00Z,21.3,Orion,30.28
2020-11-18T16:32:00Z,21.3,Orion,28.84
2020-11-18T16:45:00Z,21.3,Orion,28.85
2020-11-18T16:46:30Z,21.3,Orion,27.97
2020-11-18T17:42:00Z,21.4,Orion,27.99
2020-11-18T17:43:00Z,21.4,Orion,26.5
2020-11-18T17:45:00Z,21.4,Orion,26.52
2020-11-18T17:46:00Z,21.4,Orion,25.72
2020-11-18T17:47:00Z,21.4,Orion,25.72
2020-11-18T17:49:00Z,21.4,Orion,24.28
2020-11-18T17:51:00Z,21.4,Orion,24.28
2020-11-18T17:54:00Z,21.3,Orion,22.37
2020-11-18T17:57:00Z,21.4,Orion,22.37
2020-11-18T17:58:00Z,21.3,Orion,20.59
2020-11-18T18:01:00Z,21.3,Orion,20.59
2020-11-18T18:03:00Z,21.3,Orion,18.73
2020-11-18T18:06:00Z,21.3,Orion,18.73
2020-11-18T18:07:00Z,21.3,Orion,15.83
2020-11-18T18:09:00Z,21.3,Orion,15.84
