date,E_Conductivity,TempInSitu,Serial,SalinityInSitu,a,Sp_Conductance,AbsPressure_bar,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2020-11-17T10:24:30Z,1325.9,21.47,352,0.7140615615428968,2.0099991862157554,1427.1613373731686,0,1.4176999732783337,0.7658605369050275
2020-11-17T10:24:40Z,1324.9,21.44,352,0.7139815467101213,2.0098216774013395,1427.001457264789,0,1.4175400931699542,0.7662889859267308
2020-11-17T10:24:50Z,1323.8,21.42,352,0.7136838256532003,2.0097038665520053,1426.427766863536,0,1.416966402768701,0.766310490096971
2020-11-17T10:25:00Z,1323.8,21.41,352,0.7138449585495493,2.00964421563635,1426.7334347381138,0,1.4172720706432789,0.7666566823999179
2020-11-17T10:25:10Z,1323.8,21.42,352,0.7136838256532003,2.0097038665520053,1426.427766863536,0,1.416966402768701,0.766310490096971
2020-11-17T10:25:20Z,1323.3,21.43,352,0.7132409722339598,2.0097641723881385,1425.5836003572958,0,1.416122236262461,0.7656597230713689
2020-11-17T10:25:30Z,1323.3,21.44,352,0.7130800268615115,2.0098238038335263,1425.278271842988,0,1.4158169077481533,0.7653140910814857
2020-11-17T10:25:40Z,1323.8,21.44,352,0.7133617448077705,2.009823139337061,1425.8167673182295,0,1.4163554032233947,0.7656187379961504
2020-11-17T10:25:50Z,1323.8,21.46,352,0.7130399103487711,2.0099423733940758,1425.2062156753518,0,1.4157448515805169,0.7649278281845635
2020-11-17T10:26:00Z,1323.8,21.47,352,0.7128790854355375,2.0100019758996797,1424.9011076789398,0,1.4154397435841048,0.7645826887436806
2020-11-17T10:26:10Z,1323.8,21.48,352,0.7127183220245759,2.0100615687234056,1424.5961114921433,0,1.4151347473973084,0.7642377594031213
2020-11-17T10:26:20Z,1323.8,21.48,352,0.7127183220245759,2.0100615687234056,1424.5961114921433,0,1.4151347473973084,0.7642377594031213
2020-11-17T10:26:30Z,1323.8,21.49,352,0.7125576200844844,2.0101211518652993,1424.2912270597042,0,1.4148298629648692,0.7638930400058458
2020-11-17T10:26:40Z,1323.8,21.49,352,0.7125576200844844,2.0101211518652993,1424.2912270597042,0,1.4148298629648692,0.7638930400058458
2020-11-17T10:26:50Z,1324.3,21.51,352,0.7125176758306289,2.0102396253367125,1424.2194831641357,0,1.4147581190693008,0.7635079158250824
2020-11-17T10:27:00Z,1324.3,21.51,352,0.7125176758306289,2.0102396253367125,1424.2194831641357,0,1.4147581190693008,0.7635079158250824
2020-11-17T10:27:10Z,1324.3,21.52,352,0.7123570940733823,2.010299179539195,1423.9148187574895,0,1.4144534546626546,0.7631636872934574
2020-11-17T10:27:20Z,1324.3,21.52,352,0.7123570940733823,2.010299179539195,1423.9148187574895,0,1.4144534546626546,0.7631636872934574
2020-11-17T10:27:30Z,1324.9,21.52,352,0.712694556020124,2.010298383129424,1424.5599087466057,0,1.415098544651771,0.7635279533887743
2020-11-17T10:27:40Z,1324.9,21.53,352,0.7125339588102494,2.0103579277771586,1424.255218078845,0,1.4147938539840101,0.7631837687261369
2020-11-17T10:27:50Z,1324.9,21.53,352,0.7125339588102494,2.0103579277771586,1424.255218078845,0,1.4147938539840101,0.7631837687261369
2020-11-17T10:28:00Z,1324.9,21.54,352,0.7123734229683496,2.0104174627432,1423.9506389820042,0,1.4144892748871694,0.7628397934087592
2020-11-17T10:28:10Z,1325.4,21.54,352,0.712654520229935,2.0104167992663577,1424.4879842570601,0,1.4150266201622252,0.7631430803673662
2020-11-17T10:28:20Z,1325.4,21.54,352,0.712654520229935,2.0104167992663577,1424.4879842570601,0,1.4150266201622252,0.7631430803673662
2020-11-17T10:28:30Z,1324.9,21.56,352,0.712052535263251,2.0105365036303873,1423.3418152807317,0,1.413880451185897,0.7621524701845235
2020-11-17T10:28:40Z,1325.4,21.56,352,0.7123335046060448,2.0105358403649376,1423.8789310378056,0,1.4144175669429708,0.7624554816694841
2020-11-17T10:28:50Z,1325.9,21.56,352,0.7126144802945541,2.0105351770871605,1424.4160467678998,0,1.414954682673065,0.7627585001281858
2020-11-17T10:29:00Z,1325.9,21.56,352,0.7126144802945541,2.0105351770871605,1424.4160467678998,0,1.414954682673065,0.7627585001281858
2020-11-17T10:29:10Z,1325.9,21.57,352,0.7124540005217248,2.010594683219678,1424.1115726612375,0,1.4146502085664026,0.7624148766837334
2020-11-17T10:29:20Z,1325.9,21.57,352,0.7124540005217248,2.010594683219678,1424.1115726612375,0,1.4146502085664026,0.7624148766837334
2020-11-17T10:29:30Z,1325.9,21.57,352,0.7124540005217248,2.010594683219678,1424.1115726612375,0,1.4146502085664026,0.7624148766837334
2020-11-17T10:29:40Z,1325.9,21.57,352,0.7124540005217248,2.010594683219678,1424.1115726612375,0,1.4146502085664026,0.7624148766837334
2020-11-17T10:29:50Z,1325.9,21.57,352,0.7124540005217248,2.010594683219678,1424.1115726612375,0,1.4146502085664026,0.7624148766837334
2020-11-17T10:30:00Z,1325.9,21.58,352,0.7122935820405795,2.0106541796706074,1423.8072099890924,0,1.4143458458942575,0.762071462127749
2020-11-17T10:54:00Z,40417.4,21.08,352,28.211640677639704,1.9556805083100628,43773.16820862106,0,43.763706844526226,30.826823512405273
2020-11-17T10:54:10Z,40379.5,21.08,352,28.18221096018787,1.9557225835887633,43732.199573139864,0,43.72273820904503,30.794606637161337
2020-11-17T10:54:20Z,40427.8,21.07,352,28.226298510723986,1.9556042504404008,43793.56527832944,0,43.78410391423461,30.850070124901702
