date,TempInSitu,mV,pH,Serial
2020-10-29T09:38:40Z,19.95,-93.21,8.27,195
2020-10-29T09:38:41Z,19.95,-93.27,8.27,195
2020-10-29T09:38:42Z,19.95,-93.32,8.27,195
2020-10-29T09:38:43Z,19.95,-93.35,8.27,195
2020-10-29T09:38:44Z,19.95,-93.71,8.28,195
2020-10-29T09:38:45Z,19.95,-93.49,8.28,195
2020-10-29T09:38:46Z,19.95,-93.47,8.27,195
2020-10-29T09:38:47Z,19.95,-93.47,8.27,195
2020-10-29T09:38:48Z,19.95,-93.49,8.28,195
2020-10-29T09:38:49Z,19.95,-93.74,8.28,195
2020-10-29T09:38:50Z,19.95,-93.58,8.28,195
2020-10-29T09:38:51Z,19.95,-93.55,8.28,195
2020-10-29T09:38:52Z,19.95,-93.53,8.28,195
2020-10-29T09:38:53Z,19.95,-93.53,8.28,195
2020-10-29T09:38:54Z,19.95,-94.32,8.29,195
2020-10-29T09:38:55Z,19.95,-93.66,8.28,195
2020-10-29T09:38:56Z,19.95,-93.6,8.28,195
2020-10-29T09:38:57Z,19.95,-93.58,8.28,195
2020-10-29T09:38:58Z,19.95,-93.57,8.28,195
2020-10-29T09:38:59Z,19.95,-93.57,8.28,195
2020-10-29T09:39:00Z,19.95,-93.57,8.28,195
2020-10-29T09:39:01Z,19.95,-93.57,8.28,195
2020-10-29T09:39:02Z,19.95,-93.57,8.28,195
2020-10-29T09:39:03Z,19.95,-93.57,8.28,195
2020-10-29T09:39:04Z,19.95,-93.58,8.28,195
2020-10-29T09:39:05Z,19.95,-93.88,8.28,195
2020-10-29T09:39:06Z,19.95,-93.66,8.28,195
2020-10-29T09:39:07Z,19.95,-93.61,8.28,195
2020-10-29T09:39:08Z,19.95,-93.61,8.28,195
2020-10-29T09:39:09Z,19.95,-93.6,8.28,195
2020-10-29T09:39:10Z,19.95,-94.3,8.29,195
2020-10-29T09:39:11Z,19.95,-93.77,8.28,195
2020-10-29T09:39:12Z,19.95,-93.66,8.28,195
2020-10-29T09:39:13Z,19.95,-93.61,8.28,195
2020-10-29T09:39:14Z,19.95,-93.61,8.28,195
2020-10-29T09:39:15Z,19.95,-93.61,8.28,195
2020-10-29T09:39:16Z,19.95,-93.6,8.28,195
2020-10-29T09:39:17Z,19.95,-93.6,8.28,195
2020-10-29T09:39:18Z,19.95,-93.6,8.28,195
2020-10-29T09:39:19Z,19.95,-93.6,8.28,195
2020-10-29T09:39:20Z,19.95,-93.6,8.28,195
2020-10-29T09:39:21Z,19.95,-93.6,8.28,195
2020-10-29T09:39:22Z,19.95,-93.6,8.28,195
2020-10-29T09:39:23Z,19.95,-93.6,8.28,195
2020-10-29T09:39:24Z,19.95,-93.58,8.28,195
2020-10-29T09:39:25Z,19.95,-93.6,8.28,195
2020-10-29T09:39:26Z,19.95,-93.6,8.28,195
2020-10-29T09:39:27Z,19.95,-93.6,8.28,195
2020-10-29T09:39:28Z,19.95,-93.6,8.28,195
2020-10-29T09:39:29Z,19.95,-93.6,8.28,195
2020-10-29T09:39:30Z,19.95,-93.6,8.28,195
2020-10-29T09:39:31Z,19.95,-93.6,8.28,195
2020-10-29T09:39:32Z,19.95,-93.6,8.28,195
2020-10-29T09:39:33Z,19.95,-93.6,8.28,195
2020-10-29T09:39:34Z,19.95,-93.6,8.28,195
2020-10-29T09:39:35Z,19.95,-93.6,8.28,195
2020-10-29T09:39:36Z,19.95,-93.6,8.28,195
2020-10-29T09:39:37Z,19.95,-93.6,8.28,195
