date,TempInSitu,mV,pH,Serial
2020-10-28T16:25:00Z,25,-92.6,8.23,196
2020-10-28T16:25:01Z,25,-92.6,8.23,196
2020-10-28T16:25:02Z,25,-92.61,8.23,196
2020-10-28T16:25:03Z,25,-92.61,8.23,196
2020-10-28T16:25:04Z,25,-92.6,8.23,196
2020-10-28T16:25:05Z,25,-92.61,8.23,196
2020-10-28T16:25:06Z,25,-92.61,8.23,196
2020-10-28T16:25:07Z,25,-92.61,8.23,196
2020-10-28T16:25:08Z,25,-92.61,8.23,196
2020-10-28T16:25:09Z,25,-92.61,8.23,196
2020-10-28T16:25:10Z,25,-92.61,8.23,196
2020-10-28T16:25:11Z,25,-92.61,8.23,196
2020-10-28T16:25:12Z,25,-92.61,8.23,196
2020-10-28T16:25:13Z,25,-92.61,8.23,196
2020-10-28T16:25:14Z,25,-92.61,8.23,196
2020-10-28T16:25:15Z,25,-92.61,8.23,196
2020-10-28T16:25:16Z,25,-92.61,8.23,196
2020-10-28T16:25:17Z,25,-92.61,8.23,196
2020-10-28T16:25:18Z,25,-92.61,8.23,196
2020-10-28T16:25:19Z,25,-92.61,8.23,196
2020-10-28T16:25:20Z,25,-92.61,8.23,196
2020-10-28T16:25:21Z,25,-92.61,8.23,196
2020-10-28T16:25:22Z,25,-92.61,8.23,196
2020-10-28T16:25:23Z,25,-92.61,8.23,196
2020-10-28T16:25:24Z,25,-92.61,8.23,196
2020-10-28T16:25:25Z,25,-92.61,8.23,196
2020-10-28T16:25:26Z,25,-92.61,8.23,196
2020-10-28T16:25:27Z,25,-92.61,8.23,196
2020-10-28T16:25:28Z,25,-92.63,8.23,196
2020-10-28T16:25:29Z,25,-92.35,8.23,196
2020-10-28T16:25:30Z,25,-92.64,8.23,196
2020-10-28T16:25:31Z,25,-92.64,8.23,196
2020-10-28T16:25:32Z,25,-92.61,8.23,196
2020-10-28T16:25:33Z,25,-92.63,8.23,196
2020-10-28T16:25:34Z,25,-92.61,8.23,196
2020-10-28T16:25:35Z,25.03,-92.61,8.23,196
2020-10-28T16:25:36Z,25.03,-93.21,8.24,196
2020-10-28T16:25:37Z,25.03,-92.77,8.24,196
2020-10-28T16:25:38Z,25.03,-92.69,8.23,196
2020-10-28T16:25:39Z,25.03,-92.66,8.23,196
2020-10-28T16:25:40Z,25.03,-92.64,8.23,196
2020-10-28T16:25:41Z,25.03,-92.63,8.23,196
2020-10-28T16:25:42Z,25.03,-92.63,8.23,196
2020-10-28T16:25:43Z,25.03,-92.61,8.23,196
2020-10-28T16:25:44Z,25.03,-92.64,8.23,196
2020-10-28T16:25:45Z,25.03,-92.63,8.23,196
2020-10-28T16:25:46Z,25.03,-92.58,8.23,196
2020-10-28T16:25:47Z,25.03,-92.61,8.23,196
2020-10-28T16:25:48Z,25.03,-92.63,8.23,196
2020-10-28T16:25:49Z,25.03,-92.49,8.23,196
2020-10-28T16:25:50Z,25.03,-92.74,8.24,196
2020-10-28T16:25:51Z,25.03,-92.64,8.23,196
2020-10-28T16:25:52Z,25.03,-92.64,8.23,196
2020-10-28T16:25:53Z,25.03,-92.6,8.23,196
2020-10-28T16:25:54Z,25.03,-92.6,8.23,196
2020-10-28T16:25:55Z,25.03,-92.58,8.23,196
2020-10-28T16:25:56Z,25.03,-92.6,8.23,196
2020-10-28T16:25:57Z,25.03,-92.6,8.23,196
2020-10-28T16:25:58Z,25.03,-92.8,8.24,196
2020-10-28T16:25:59Z,25.03,-92.49,8.23,196
2020-10-28T16:26:00Z,25.03,-92.61,8.23,196
2020-10-28T16:26:01Z,25.03,-92.61,8.23,196
2020-10-28T16:26:02Z,25.03,-92.61,8.23,196
2020-10-28T16:26:03Z,25.03,-92.63,8.23,196
2020-10-28T16:26:04Z,25.03,-92.63,8.23,196
2020-10-28T16:26:05Z,25.03,-92.63,8.23,196
2020-10-28T16:26:06Z,25.05,-92.63,8.23,196
2020-10-28T16:26:07Z,25.05,-92.63,8.23,196
2020-10-28T16:26:08Z,25.05,-92.63,8.23,196
2020-10-28T16:26:09Z,25.05,-92.63,8.23,196
2020-10-28T16:26:10Z,25.05,-92.63,8.23,196
2020-10-28T16:26:11Z,25.05,-92.63,8.23,196
2020-10-28T16:26:12Z,25.05,-92.63,8.23,196
2020-10-28T16:26:13Z,25.05,-92.63,8.23,196
2020-10-28T16:26:14Z,25.05,-92.63,8.23,196
2020-10-28T16:26:15Z,25.05,-92.63,8.23,196
2020-10-28T16:26:16Z,25.05,-92.64,8.23,196
2020-10-28T16:26:17Z,25.05,-92.63,8.23,196
2020-10-28T16:26:18Z,25.05,-92.63,8.23,196
2020-10-28T16:26:19Z,25.05,-92.64,8.23,196
2020-10-28T16:26:20Z,25.05,-92.64,8.23,196
2020-10-28T16:26:21Z,25.05,-92.63,8.23,196
2020-10-28T16:26:22Z,25.05,-92.64,8.23,196
2020-10-28T16:26:23Z,25.05,-92.64,8.23,196
2020-10-28T16:26:24Z,25.05,-92.63,8.23,196
2020-10-28T16:26:25Z,25.05,-92.64,8.23,196
2020-10-28T16:26:26Z,25.05,-92.64,8.23,196
2020-10-28T16:26:27Z,25.05,-92.63,8.23,196
2020-10-28T16:26:28Z,25.05,-92.64,8.23,196
2020-10-28T16:26:29Z,25.05,-92.63,8.23,196
2020-10-28T16:26:30Z,25.05,-92.64,8.23,196
2020-10-28T16:26:31Z,25.05,-92.64,8.23,196
2020-10-28T16:26:32Z,25.05,-92.64,8.23,196
2020-10-28T16:26:33Z,25.05,-92.64,8.23,196
2020-10-28T16:26:34Z,25.05,-92.64,8.23,196
2020-10-28T16:26:35Z,25.05,-92.64,8.23,196
2020-10-28T16:26:36Z,25.05,-92.64,8.23,196
2020-10-28T16:26:37Z,25.05,-92.64,8.23,196
2020-10-28T16:26:38Z,25.05,-92.69,8.23,196
2020-10-28T16:26:39Z,25.05,-92.67,8.23,196
2020-10-28T16:26:40Z,25.05,-92.67,8.23,196
2020-10-28T16:26:41Z,25.05,-92.66,8.23,196
2020-10-28T16:26:42Z,25.05,-92.66,8.23,196
2020-10-28T16:26:43Z,25.05,-92.52,8.23,196
2020-10-28T16:26:44Z,25.05,-92.61,8.23,196
2020-10-28T16:26:45Z,25.05,-92.67,8.23,196
2020-10-28T16:26:46Z,25.05,-92.71,8.23,196
2020-10-28T16:26:47Z,25.05,-92.74,8.23,196
2020-10-28T16:26:48Z,25.05,-92.67,8.23,196
2020-10-28T16:26:49Z,25.05,-92.39,8.23,196
2020-10-28T16:26:50Z,25.05,-92.67,8.23,196
2020-10-28T16:26:51Z,25.05,-92.66,8.23,196
2020-10-28T16:26:52Z,25.05,-92.66,8.23,196
2020-10-28T16:26:53Z,25.05,-92.78,8.24,196
2020-10-28T16:26:54Z,25.05,-92.67,8.23,196
2020-10-28T16:26:55Z,25.05,-92.67,8.23,196
2020-10-28T16:26:56Z,25.05,-92.67,8.23,196
