Serial Number:20555870 --

"Date Time, GMT -0800","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-02-11 12:28:00,73.69,76, , , , , 
2020-02-11 12:29:00,73.69,76, , , , , 
2020-02-11 12:30:00,73.69,76, , , , , 
2020-02-11 12:31:00,73.69,76, , , , , 
2020-02-11 12:32:00,73.69,76, , , , , 
2020-02-11 12:33:00,73.69,76, , , , , 
2020-02-11 12:34:00,73.62,76, , , , , 
2020-02-11 12:35:00,73.69,76, , , , , 
2020-02-11 12:36:00,73.62,76, , , , , 
2020-02-11 12:37:00,73.62,76, , , , , 
2020-02-11 12:38:00,73.62,76, , , , , 
2020-02-11 12:39:00,73.69,76, , , , , 
2020-02-11 12:40:00,73.62,76, , , , , 
2020-02-11 12:41:00,73.77,76, , , , , 
2020-02-11 12:42:00,73.62,76, , , , , 
2020-02-11 12:43:00,73.69,76, , , , , 
2020-02-11 12:44:00,73.62,76, , , , , 
2020-02-11 12:45:00,73.62,76, , , , , 
2020-02-11 12:46:00,73.62,76, , , , , 
2020-02-11 12:47:00,73.69,76, , , , , 
2020-02-11 12:48:00,73.62,76, , , , , 
2020-02-11 12:49:00,73.62,76, , , , , 
2020-02-11 12:50:00,73.62,76, , , , , 
2020-02-11 12:51:00,73.62,76, , , , , 
2020-02-11 12:52:00,73.69,76, , , , , 
2020-02-11 12:53:00,73.69,76, , , , , 
2020-02-11 12:54:00,73.69,76, , , , , 
2020-02-11 12:55:00,73.62,76, , , , , 
2020-02-11 12:56:00,73.69,76, , , , , 
2020-02-11 12:57:00,73.69,76, , , , , 
2020-02-11 12:58:00,73.77,76, , , , , 
2020-02-11 12:59:00,73.77,76, , , , , 
2020-02-11 13:00:00,73.77,76, , , , , 
2020-02-11 13:01:00,73.77,76, , , , , 
2020-02-11 13:02:00,73.85,79, , , , , 
2020-02-11 13:03:00,73.93,79, , , , , 
2020-02-11 13:04:00,73.85,79, , , , , 
2020-02-11 13:05:00,73.93,79, , , , , 
2020-02-11 13:06:00,73.85,79, , , , , 
2020-02-11 13:07:00,73.85,79, , , , , 
2020-02-11 13:08:00,73.85,79, , , , , 
2020-02-11 13:09:00,73.85,79, , , , , 
2020-02-11 13:10:00,73.85,79, , , , , 
2020-02-11 13:11:00,73.85,79, , , , , 
2020-02-11 13:12:00,73.85,79, , , , , 
2020-02-11 13:13:00,73.77,79, , , , , 
2020-02-11 13:14:00,73.93,79, , , , , 
2020-02-11 13:15:00,73.85,79, , , , , 
2020-02-11 13:16:00,73.77,79, , , , , 
2020-02-11 13:17:00,73.77,79, , , , , 
2020-02-11 13:18:00,73.77,79, , , , , 
2020-02-11 13:19:00,73.77,79, , , , , 
2020-02-11 13:20:00,73.77,79, , , , , 
2020-02-11 13:21:00,73.77,79, , , , , 
2020-02-11 13:22:00,73.85,79, , , , , 
2020-02-11 13:23:00,73.77,79, , , , , 
2020-02-11 13:24:00,73.85,80, , , , , 
2020-02-11 13:25:00,73.85,79, , , , , 
2020-02-11 13:26:00,73.85,80, , , , , 
2020-02-11 13:27:00,73.85,80, , , , , 
2020-02-11 13:28:00,73.93,80, , , , , 
2020-02-11 13:29:00,73.85,79, , , , , 
2020-02-11 13:30:00,73.93,80, , , , , 
2020-02-11 13:31:00,73.93,79, , , , , 
2020-02-11 13:32:00,73.85,79, , , , , 
2020-02-11 13:33:00,73.85,79, , , , , 
2020-02-11 13:34:00,73.85,79, , , , , 
2020-02-11 13:35:00,73.85,79, , , , , 
2020-02-11 13:36:00,73.93,79, , , , , 
2020-02-11 13:37:00,73.85,79, , , , , 
2020-02-11 13:38:00,73.93,79, , , , , 
2020-02-11 13:39:00,73.93,79, , , , , 
2020-02-11 13:40:00,73.85,79, , , , , 
2020-02-11 13:41:00,73.85,79, , , , , 
2020-02-11 13:42:00,73.85,79, , , , , 
2020-02-11 13:43:00,73.85,79, , , , , 
2020-02-11 13:44:00,73.85,79, , , , , 
2020-02-11 13:45:00,73.77,79, , , , , 
2020-02-11 13:46:00,73.77,79, , , , , 
2020-02-11 13:47:00,73.85,79, , , , , 
2020-02-11 13:48:00,73.85,79, , , , , 
2020-02-11 13:49:00,73.85,80, , , , , 
2020-02-11 13:50:00,73.85,79, , , , , 
2020-02-11 13:51:00,73.85,79, , , , , 
2020-02-11 13:52:00,73.85,79, , , , , 
2020-02-11 13:53:00,73.77,79, , , , , 
2020-02-11 13:54:00,73.85,79, , , , , 
2020-02-11 13:55:00,73.85,79, , , , , 
2020-02-11 13:56:00,73.85,79, , , , , 
2020-02-11 13:57:00,73.85,80, , , , , 
2020-02-11 13:58:00,73.77,80, , , , , 
2020-02-11 13:59:00,73.77,80, , , , , 
2020-02-11 14:00:00,73.85,80, , , , , 
2020-02-11 14:01:00,73.85,80, , , , , 
2020-02-11 14:02:00,73.85,80, , , , , 
2020-02-11 14:03:00,73.85,80, , , , , 
2020-02-11 14:04:00,73.85,80, , , , , 
2020-02-11 14:05:00,73.85,80, , , , , 
2020-02-11 14:06:00,73.85,80, , , , , 
2020-02-11 14:07:00,73.85,80, , , , , 
2020-02-11 14:08:00,73.77,80, , , , , 
2020-02-11 14:09:00,73.85,52, , , , , 
2020-02-11 14:10:00,74.08,0, , , , , 
2020-02-11 14:10:26, , ,Logged,Logged, , , 
2020-02-11 14:10:27, , , , ,Logged, , 
2020-02-11 14:10:55, , , , , ,Logged,Logged
