date,SampleID,TempInSitu,mV,Salinity_lab
20201023,Tnk3,17.68,-46.5,35.3
20201023,Tnk4,17.45,-44.1,35.3
20201023,Tnk5,17.49,-47.9,35.3
20201023,Tnk6,17.47,-45.9,35.3
20201023,Tnk7,17.43,-51.4,35.3
20201023,Tnk8,17.56,-50.2,35.3
20201023,Tnk9,17.43,-47.2,35.3
20201023,Tnk10,17.53,-43.8,35.3
20201023,Tnk11,17.65,-46.1,35.3
20201023,Tnk12,17.43,-46.5,35.3
20201023,Tnk13,17.53,-51.1,35.3
20201023,Tnk14,17.57,-50,35.3
20201023,Tnk15,17.49,-49.5,35.3
20201023,Tnk16,17.56,-48.7,35.3
20201023,Tnk17,17.52,-48.8,35.5
20201023,Tnk18,17.5,-48.8,35.3
20201023,Tnk19,17.53,-44.1,35.3
20201023,Tnk20,17.49,-46.3,35.3
20201024,Tnk3,17.38,-48.7,35.6
20201024,Tnk4,17.51,-49.1,35.6
20201024,Tnk5,17.43,-52,35.6
20201024,Tnk6,17.53,-49.4,35.6
20201024,Tnk7,17.41,-54.4,35.6
20201024,Tnk8,17.64,-53.2,35.6
20201024,Tnk9,17.46,-50.2,35.7
20201024,Tnk10,17.62,-48.4,35.7
20201024,Tnk11,17.49,-50.2,35.7
20201024,Tnk12,17.45,-49.3,35.7
20201024,Tnk13,17.31,-52.9,35.7
20201024,Tnk14,17.54,-53,35.7
20201024,Tnk15,17.4,-52.7,35.7
20201024,Tnk16,17.44,-50.7,35.7
20201024,Tnk17,17.43,-50.5,35.7
20201024,Tnk18,17.4,-51.4,35.7
20201024,Tnk19,17.34,-47.8,35.7
20201024,Tnk20,17.32,-49.7,35.7
20201025,Tnk3,17.41,-43.2,35.4
20201025,Tnk4,17.45,-42.5,35.4
20201025,Tnk5,17.56,-48.8,35.4
20201025,Tnk6,17.51,-46.9,35.4
20201025,Tnk7,17.44,-51.7,35.4
20201025,Tnk8,17.5,-50.5,35.4
20201025,Tnk9,17.4,-46.2,35.4
20201025,Tnk10,17.4,-44.6,35.4
20201025,Tnk11,17.41,-47.6,35.4
20201025,Tnk12,17.46,-47.4,35.4
20201025,Tnk13,17.48,-50.6,35.4
20201025,Tnk14,17.53,-49.7,35.4
20201025,Tnk15,17.51,-48.8,35.4
20201025,Tnk16,17.53,-47.3,35.4
20201025,Tnk17,17.64,-46.9,15.4
20201025,Tnk18,17.47,-49,35.4
20201025,Tnk19,17.55,-46.8,35.4
20201025,Tnk20,17.56,-47.3,35.4
20201026,Tnk3,16.95,-44.9,34.2
20201026,Tnk4,17.01,-46.2,34.7
20201026,Tnk5,16.98,-49.5,34.7
20201026,Tnk6,16.97,-48.2,34.7
20201026,Tnk7,16.91,-53.2,34.7
20201026,Tnk8,16.91,-53,34.7
20201026,Tnk9,17.08,-46.7,34.7
20201026,Tnk10,17.02,-47.4,34.7
20201026,Tnk11,16.84,-47.3,34.7
20201026,Tnk12,16.94,-49.1,34.7
20201026,Tnk13,16.8,-51.8,34.7
20201026,Tnk14,16.67,-51.2,34.7
20201026,Tnk15,16.86,-48.1,34.7
20201026,Tnk16,16.83,-45.6,34.7
20201026,Tnk17,16.87,-48.5,34.7
20201026,Tnk18,16.85,-50,34.7
20201026,Tnk19,16.8,-46.8,34.7
20201026,Tnk20,16.87,-46.4,34.8
20201027,Tnk3,17.42,-40.9,35.5
20201027,Tnk4,17.46,-39.2,35.5
20201027,Tnk5,17.5,-47.3,35.5
20201027,Tnk6,17.46,-43.4,35.5
20201027,Tnk7,17.57,-53.3,35.5
20201027,Tnk8,17.55,-49.8,35.5
20201027,Tnk9,17.46,-39,35.5
20201027,Tnk10,17.47,-43.5,35.5
20201027,Tnk11,17.49,-42,35.5
20201027,Tnk12,17.44,-43.4,35.5
20201027,Tnk13,17.57,-48.8,35.5
20201027,Tnk14,17.38,-47.2,35.5
20201027,Tnk15,17.51,-42.9,35.5
20201027,Tnk16,17.48,-36.8,35.5
20201027,Tnk17,17.46,-45.5,35.5
20201027,Tnk18,17.46,-43.8,35.5
20201027,Tnk19,17.37,-41.1,35.5
20201027,Tnk20,17.36,-43.4,35.5
20201028,Tnk3,17.536,-42.9,35.5
20201028,Tnk4,17.569,-40.6,35.3
20201028,Tnk5,17.483,-45.2,35.6
20201028,Tnk6,17.595,-43.8,35.6
20201028,Tnk7,17.458,-51,35.6
20201028,Tnk8,17.609,-47.1,35.6
20201028,Tnk9,17.551,-40.3,35.7
20201028,Tnk10,17.49,-43.2,35.6
20201028,Tnk11,17.388,-41.9,35.7
20201028,Tnk12,17.518,-41.6,35.7
20201028,Tnk13,17.619,-46.7,35.7
20201028,Tnk14,17.406,-44.2,35.7
20201028,Tnk15,17.517,-44.4,35.7
20201028,Tnk16,17.569,-39.9,35.7
20201028,Tnk17,17.505,-44.7,35.6
20201028,Tnk18,17.493,-43.7,35.6
20201028,Tnk19,17.538,-44.4,35.6
20201028,Tnk20,17.475,-44.8,35.7
20201028,Sump,14.969,-48.8,35.6
20201105,Tnk3,17.485,-48.6,35.8
20201105,Tnk4,20.569,-43.4,35.8
20201105,Tnk5,17.478,-51.4,35.9
20201105,Tnk6,20.396,-43.8,35.9
20201105,Tnk7,17.474,-56.1,36
20201105,Tnk8,20.567,-53.2,35.9
20201105,Tnk9,17.459,-50.3,35.9
20201105,Tnk10,17.436,-46.6,35.9
20201105,Tnk11,17.521,-52,35.9
20201105,Tnk12,20.541,-47,35.9
20201105,Tnk13,20.596,-51.7,35.9
20201105,Tnk14,17.504,-54.4,36.1
20201105,Tnk15,20.533,-51,35.9
20201105,Tnk16,20.576,-49.5,36
20201105,Tnk17,20.55,-49.8,36
20201105,Tnk18,17.414,-47.1,36
20201105,Tnk19,20.574,-44.2,35.9
20201105,Tnk20,17.491,-47.1,36
