date,TTris,mVTris
20200116,14.001,-87.2
20200116,14909,-86.1
20200116,16.083,-84.7
20200116,17.004,-83.5
20200116,18.106,-81.7
20201023,20.023,-73.3
20201023,19.003,-75.1
20201023,17.96,-76.6
20201023,16.931,-77.7
20201023,16.042,-79
20201023,15.07,-80.5
20201023,14.063,-82.1
20201024,20.023,-73.3
20201024,19.003,-75.1
20201024,17.96,-76.6
20201024,16.931,-77.7
20201024,16.042,-79
20201024,15.07,-80.5
20201024,14.063,-82.1
20201025,20.023,-73.3
20201025,19.003,-75.1
20201025,17.96,-76.6
20201025,16.931,-77.7
20201025,16.042,-79
20201025,15.07,-80.5
20201025,14.063,-82.1
20201026,20.023,-73.3
20201026,19.003,-75.1
20201026,17.96,-76.6
20201026,16.931,-77.7
20201026,16.042,-79
20201026,15.07,-80.5
20201026,14.063,-82.1
20201027,20.081,-73
20201027,18.868,-74.7
20201027,18.091,-75.9
20201027,16.977,-77.1
20201027,15.799,-79.1
20201027,14.768,-80.5
20201028,20.081,-73
20201028,18.868,-74.7
20201028,18.091,-75.9
20201028,16.977,-77.1
20201028,15.799,-79.1
20201028,14.768,-80.5
20201105,21.842,-71
20201105,21.01,-72.4
20201105,20.052,-74
20201105,19.09,-75.5
20201105,18.069,-76.9
20201105,17.039,-78.3
20201105,16.066,-79.7
20201105,14.997,-81
