Date,Time,High Range uS/cm,temp C
3/5/20,17:05:08,0,23.09
3/5/20,17:05:18,0,23.09
3/5/20,17:05:28,0,23.13
3/5/20,17:05:38,0,23.23
3/5/20,17:05:48,0,23.23
3/5/20,17:05:58,0,23.31
3/5/20,17:06:08,0,23.38
3/5/20,17:06:18,0,23.38
3/5/20,17:06:28,0,23.35
3/5/20,17:06:38,0,23.38
3/5/20,17:06:48,0,23.43
3/5/20,17:06:58,50972.1,24.03
3/5/20,17:07:08,50775.4,24.08
3/5/20,17:07:18,50503,24.04
3/5/20,17:07:28,50367.7,24.02
3/5/20,17:07:38,50297.3,23.98
3/5/20,17:07:48,50209.6,23.97
3/5/20,17:07:58,50426.5,24.08
3/5/20,17:08:08,50256.4,24.1
3/5/20,17:08:18,50233,24.08
3/5/20,17:08:28,50180.4,24.07
3/5/20,17:08:38,50192.1,24.05
3/5/20,17:08:48,50203.7,24.07
3/5/20,17:08:58,50197.9,24.07
3/5/20,17:09:08,50145.4,24.07
3/5/20,17:09:18,50157,24.07
3/5/20,17:09:28,50075.5,24.07
3/5/20,17:09:38,50186.2,24.08
3/5/20,17:09:48,50180.4,24.09
3/5/20,17:09:58,50162.9,24.09
3/5/20,17:10:08,50127.9,24.1
3/5/20,17:10:18,50127.9,24.1
3/5/20,17:10:28,50122.1,24.09
3/5/20,17:10:38,50092.9,24.1
3/5/20,17:10:48,50075.5,24.1
3/5/20,17:10:58,50040.6,24.1
3/5/20,17:11:08,50023.1,24.1
3/5/20,17:11:18,0,24.02
3/5/20,17:11:28,0,23.89
3/5/20,17:11:38,0,23.77
3/5/20,17:11:48,0,23.69
3/5/20,17:11:58,0,23.6
3/5/20,17:12:08,0,23.53
3/5/20,17:12:18,0,23.46
3/5/20,17:12:28,0,23.44
3/5/20,17:12:38,0,23.38
3/5/20,17:12:48,0,23.33
3/5/20,17:12:58,0,23.26
3/5/20,17:13:08,0,23.2
3/5/20,17:13:18,0,23.14
3/5/20,17:13:28,0,23.06
3/5/20,17:13:38,0,23.03
3/5/20,17:13:48,0,22.98
3/5/20,17:13:58,0,22.94
3/5/20,17:14:08,0,22.87
3/5/20,17:14:18,0,22.84
3/5/20,17:14:28,0,22.77
3/5/20,17:14:38,0,22.72
3/5/20,17:14:48,0,22.66
3/5/20,17:14:58,0,22.61
3/5/20,17:15:08,0,22.57
3/5/20,17:15:18,0,22.51
3/5/20,17:15:28,0,22.46
3/5/20,17:15:38,0,22.42
3/5/20,17:15:48,0,22.36
3/5/20,17:15:58,0,22.32
3/5/20,17:16:08,0,22.27
3/5/20,17:16:18,0,22.25
3/5/20,17:16:28,0,22.22
3/5/20,17:16:38,0,22.21
3/5/20,17:16:48,0,22.16
3/5/20,17:16:58,0,22.11
3/5/20,17:17:08,0,22.1
3/5/20,17:17:18,0,22.05
3/5/20,17:17:28,0,22.01
3/5/20,17:17:38,0,21.98
3/5/20,17:17:48,0,21.96
3/5/20,17:17:58,0,21.92
3/5/20,17:18:08,0,21.86
3/5/20,17:18:18,0,21.85
3/5/20,17:18:28,0,21.83
3/5/20,17:18:38,0,21.83
3/5/20,17:18:48,0,21.8
3/5/20,17:18:58,0,21.75
3/5/20,17:19:08,0,21.72
3/5/20,17:19:18,0,21.7
3/5/20,17:19:28,0,21.71
3/5/20,17:19:38,0,21.66
3/5/20,17:19:48,0,21.66
3/5/20,17:19:58,0,21.63
3/5/20,17:20:08,0,21.65
3/5/20,17:20:18,0,21.62
3/5/20,17:20:28,0,21.58
3/5/20,17:20:38,0,21.57
3/5/20,17:20:48,0,21.56
3/5/20,17:20:58,0,21.52
3/5/20,17:21:08,0,21.52
3/5/20,17:21:18,0,21.5
3/5/20,17:21:28,0,21.48
3/5/20,17:21:38,0,21.46
3/5/20,17:21:48,0,21.45
3/5/20,17:21:58,0,21.45
3/5/20,17:22:08,0,21.46
3/5/20,17:22:18,0,21.45
3/5/20,17:22:28,0,21.46
3/5/20,17:22:38,0,21.45
3/5/20,17:22:48,0,21.43
3/5/20,17:22:58,0,21.42
3/5/20,17:23:08,0,21.41
3/5/20,17:23:18,0,21.41
3/5/20,17:23:28,0,21.39
3/5/20,17:23:38,0,21.38
3/5/20,17:23:48,0,21.37
3/5/20,17:23:58,0,21.38
3/5/20,17:24:08,0,21.36
3/5/20,17:24:18,0,21.36
3/5/20,17:24:28,0,21.34
3/5/20,17:24:38,0,21.34
3/5/20,17:24:48,0,21.34
3/5/20,17:24:58,0,21.34
3/5/20,17:25:08,0,21.33
3/5/20,17:25:18,0,21.31
3/5/20,17:25:28,0,21.28
3/5/20,17:25:38,0,21.28
3/5/20,17:25:48,0,21.28
3/5/20,17:25:58,0,21.27
3/5/20,17:26:08,0,21.26
3/5/20,17:26:18,0,21.23
3/5/20,17:26:28,0,21.23
3/5/20,17:26:38,0,21.24
3/5/20,17:26:48,0,21.23
3/5/20,17:26:58,0,21.22
3/5/20,17:27:08,0,21.21
3/5/20,17:27:18,0,21.21
3/5/20,17:27:28,0,21.21
3/5/20,17:27:38,0,21.21
3/5/20,17:27:48,0,21.22
3/5/20,17:27:58,0,21.19
3/5/20,17:28:08,0,21.18
3/5/20,17:28:18,0,21.19
3/5/20,17:28:28,0,21.17
3/5/20,17:28:38,0,21.17
3/5/20,17:28:48,0,21.14
3/5/20,17:28:58,0,21.14
3/5/20,17:29:08,0,21.19
3/5/20,17:29:18,0,21.18
3/5/20,17:29:28,0,21.78
3/5/20,17:29:38,0,21.78
3/5/20,17:29:48,0,21.82
3/5/20,17:29:58,0,21.87
3/5/20,17:30:08,0,21.9
3/5/20,17:30:18,0,21.91
3/5/20,17:30:28,0,21.91
3/6/20,12:31:00,0,22.11
3/6/20,12:31:00,0,22.1
3/6/20,12:31:00,0,22.11
3/6/20,12:31:00,0,22.12
3/6/20,12:31:00,0,22.16
3/6/20,12:32:00,0,22.19
3/6/20,12:32:00,0,22.21
3/6/20,12:32:00,0,22.24
3/6/20,12:32:00,0,22.27
3/6/20,12:32:00,0,22.29
3/6/20,12:32:00,0,22.31
3/6/20,12:33:00,0,22.34
3/6/20,12:33:00,0,22.36
3/6/20,12:33:00,0,22.39
3/6/20,12:33:00,0,22.4
3/6/20,12:33:00,0,22.42
3/6/20,12:33:00,0,22.45
3/6/20,12:34:00,0,22.47
3/6/20,12:34:00,0,22.47
3/6/20,12:34:00,0,22.5
3/6/20,12:34:00,0,22.52
3/6/20,12:34:00,0,22.55
3/6/20,12:34:00,0,22.56
3/6/20,12:35:00,0,22.57
3/6/20,12:35:00,0,22.59
3/6/20,12:35:00,0,22.61
3/6/20,12:35:00,0,22.62
3/6/20,12:35:00,0,22.64
3/6/20,12:35:00,0,22.66
3/6/20,12:36:00,0,22.66
3/6/20,12:36:00,0,22.67
3/6/20,12:36:00,0,22.7
3/6/20,12:36:00,0,22.71
3/6/20,12:36:00,0,22.74
3/6/20,12:36:00,0,22.74
3/6/20,12:37:00,0,22.75
3/6/20,12:37:00,0,22.76
3/6/20,12:37:00,0,22.77
3/6/20,12:37:00,0,22.77
3/6/20,12:37:00,0,22.79
3/6/20,12:37:00,0,22.81
3/6/20,12:38:00,0,22.82
3/6/20,12:38:00,0,22.85
3/6/20,12:38:00,0,22.86
3/6/20,12:38:00,0,22.87
3/6/20,12:38:00,0,22.89
3/6/20,12:38:00,0,22.9
3/6/20,12:39:00,0,22.91
3/6/20,12:39:00,0,22.94
3/6/20,12:39:00,0,22.94
3/6/20,12:39:00,0,22.95
3/6/20,12:39:00,0,22.96
3/6/20,12:39:00,0,22.98
3/6/20,12:40:00,0,23
3/6/20,12:40:00,0,23.01
3/6/20,12:40:00,0,23.04
3/6/20,12:40:00,0,23.05
3/6/20,12:40:00,0,23.06
3/6/20,12:40:00,0,23.06
3/6/20,12:41:00,0,23.09
3/6/20,12:41:00,0,23.09
3/6/20,12:41:00,0,23.09
3/6/20,12:41:00,0,23.09
3/6/20,12:41:00,0,23.1
3/6/20,12:41:00,0,23.14
3/6/20,12:42:00,0,23.2
3/6/20,12:42:00,0,23.2
3/6/20,12:42:00,0,23.2
3/6/20,12:42:00,0,23.21
3/6/20,12:42:00,0,23.21
3/6/20,12:42:00,0,23.24
