"¥éË""Plot Title: CT_20739332""",,,,
#,"Date Time, GMT-08:00","Temp, C (LGR S/N: 20739332, SEN S/N: 20739332)","Specific Conductance, uS/cm (LGR S/N: 20739332)","Salinity, ppt (LGR S/N: 20739332)"
1,3/8/20 12:46,21.06,0,0.0123
2,3/8/20 12:46,21.06,0,0.0123
3,3/8/20 12:46,21.05,0,0.0123
4,3/8/20 12:46,21.05,0,0.0123
5,3/8/20 12:46,21.06,0,0.0123
6,3/8/20 12:47,21.07,0,0.0123
7,3/8/20 12:47,21.07,0,0.0123
8,3/8/20 12:47,21.08,0,0.0123
9,3/8/20 12:47,21.1,0,0.0123
10,3/8/20 12:47,21.11,0,0.0123
11,3/8/20 12:47,21.1,0,0.0123
12,3/8/20 12:48,21.08,0,0.0123
13,3/8/20 12:48,21.08,0,0.0123
14,3/8/20 12:48,21.07,0,0.0123
15,3/8/20 12:48,21.13,0,0.0123
16,3/8/20 12:48,21.13,0,0.0123
17,3/8/20 12:48,21.13,0,0.0123
18,3/8/20 12:49,21.15,0,0.0123
19,3/8/20 12:49,21.15,0,0.0123
20,3/8/20 12:49,21.15,0,0.0123
21,3/8/20 12:49,21.15,0,0.0123
22,3/8/20 12:49,21.13,0,0.0123
23,3/8/20 12:49,21.15,0,0.0123
24,3/8/20 12:50,21.12,0,0.0123
25,3/8/20 12:50,21.11,0,0.0123
26,3/8/20 12:50,21.11,0,0.0123
27,3/8/20 12:50,21.11,0,0.0123
28,3/8/20 12:50,21.15,0,0.0123
29,3/8/20 12:50,21.15,0,0.0123
30,3/8/20 12:51,21.15,0,0.0123
31,3/8/20 12:51,21.15,0,0.0123
32,3/8/20 12:51,21.13,0,0.0123
33,3/8/20 12:51,21.1,0,0.0123
34,3/8/20 12:51,21.08,0,0.0123
35,3/8/20 12:51,21.07,0,0.0123
36,3/8/20 12:52,21.07,0,0.0123
37,3/8/20 12:52,21.05,0,0.0123
38,3/8/20 12:52,21.05,0,0.0123
39,3/8/20 12:52,21.03,0,0.0123
40,3/8/20 12:52,21.06,0,0.0123
41,3/8/20 12:52,21.1,0,0.0123
42,3/8/20 12:53,21.08,0,0.0123
43,3/8/20 12:53,21.08,0,0.0123
44,3/8/20 12:53,21.07,0,0.0123
45,3/8/20 12:53,21.07,0,0.0123
46,3/8/20 12:53,21.06,0,0.0123
47,3/8/20 12:53,21.06,0,0.0123
48,3/8/20 12:54,21.06,0,0.0123
49,3/8/20 12:54,21.06,0,0.0123
50,3/8/20 12:54,21.05,0,0.0123
51,3/8/20 12:54,21.05,0,0.0123
52,3/8/20 12:54,21.08,0,0.0123
53,3/8/20 12:54,21.02,0,0.0123
54,3/8/20 12:55,21,0,0.0123
55,3/8/20 12:55,20.98,0,0.0123
56,3/8/20 12:55,20.96,0,0.0123
57,3/8/20 12:55,20.96,0,0.0123
58,3/8/20 12:55,20.97,0,0.0123
59,3/8/20 12:55,20.96,0,0.0123
60,3/8/20 12:56,20.95,0,0.0123
61,3/8/20 12:56,20.93,0,0.0123
62,3/8/20 12:56,20.92,0,0.0123
63,3/8/20 12:56,20.95,0,0.0123
64,3/8/20 12:56,20.92,0,0.0123
65,3/8/20 12:56,20.91,0,0.0123
66,3/8/20 12:57,20.92,0,0.0123
67,3/8/20 12:57,20.91,0,0.0123
68,3/8/20 12:57,20.9,0,0.0123
69,3/8/20 12:57,20.91,0,0.0123
70,3/8/20 12:57,20.91,0,0.0123
71,3/8/20 12:57,20.92,0,0.0123
72,3/8/20 12:58,20.95,0,0.0123
73,3/8/20 12:58,20.97,0,0.0123
74,3/8/20 12:58,20.97,0,0.0123
75,3/8/20 12:58,20.95,0,0.0123
76,3/8/20 12:58,20.97,0,0.0123
77,3/8/20 12:58,20.96,0,0.0123
78,3/8/20 12:59,20.98,0,0.0123
79,3/8/20 12:59,20.92,0,0.0123
80,3/8/20 12:59,20.9,0,0.0123
81,3/8/20 12:59,20.91,0,0.0123
82,3/8/20 12:59,20.95,0,0.0123
83,3/8/20 12:59,20.93,0,0.0123
84,3/8/20 13:00,20.93,0,0.0123
85,3/8/20 13:00,20.92,0,0.0123
86,3/8/20 13:00,20.93,0,0.0123
87,3/8/20 13:00,20.91,0,0.0123
88,3/8/20 13:00,20.88,0,0.0123
89,3/8/20 13:00,20.86,0,0.0123
90,3/8/20 13:01,20.86,0,0.0123
91,3/8/20 13:01,20.83,0,0.0123
92,3/8/20 13:01,20.83,0,0.0123
93,3/8/20 13:01,20.82,0,0.0123
94,3/8/20 13:01,20.82,0,0.0123
95,3/8/20 13:01,20.81,0,0.0123
96,3/8/20 13:02,20.81,0,0.0123
97,3/8/20 13:02,20.8,0,0.0123
98,3/8/20 13:02,20.8,0,0.0123
99,3/8/20 13:02,20.8,0,0.0123
100,3/8/20 13:02,20.81,0,0.0123
101,3/8/20 13:02,20.8,0,0.0123
102,3/8/20 13:03,20.8,0,0.0123
103,3/8/20 13:03,20.8,0,0.0123
104,3/8/20 13:03,20.8,0,0.0123
105,3/8/20 13:03,20.74,0,0.0123
106,3/8/20 13:03,20.76,0,0.0123
107,3/8/20 13:03,20.74,0,0.0123
108,3/8/20 13:04,20.74,0,0.0123
109,3/8/20 13:04,20.76,0,0.0123
110,3/8/20 13:04,20.74,0,0.0123
111,3/8/20 13:04,20.73,0,0.0123
112,3/8/20 13:04,20.74,0,0.0123
113,3/8/20 13:04,20.74,0,0.0123
114,3/8/20 13:05,20.74,0,0.0123
115,3/8/20 13:05,20.74,0,0.0123
116,3/8/20 13:05,20.76,0,0.0123
117,3/8/20 13:05,20.76,0,0.0123
118,3/8/20 13:05,20.76,0,0.0123
119,3/8/20 13:05,20.76,0,0.0123
120,3/8/20 13:06,20.72,0,0.0123
121,3/8/20 13:06,20.72,0,0.0123
122,3/8/20 13:06,20.73,0,0.0123
123,3/8/20 13:06,20.73,0,0.0123
124,3/8/20 13:06,20.73,0,0.0123
125,3/8/20 13:06,20.73,0,0.0123
126,3/8/20 13:07,20.74,0,0.0123
127,3/8/20 13:07,20.73,0,0.0123
128,3/8/20 13:07,20.73,0,0.0123
129,3/8/20 13:07,20.73,0,0.0123
130,3/8/20 13:07,20.72,0,0.0123
131,3/8/20 13:07,20.72,0,0.0123
132,3/8/20 13:08,20.69,0,0.0123
133,3/8/20 13:08,20.69,0,0.0123
134,3/8/20 13:08,20.68,0,0.0123
135,3/8/20 13:08,20.68,0,0.0123
136,3/8/20 13:08,20.69,0,0.0123
137,3/8/20 13:08,20.69,0,0.0123
138,3/8/20 13:09,20.68,0,0.0123
139,3/8/20 13:09,20.68,0,0.0123
140,3/8/20 13:09,20.68,0,0.0123
141,3/8/20 13:09,20.68,0,0.0123
142,3/8/20 13:09,20.64,0,0.0123
143,3/8/20 13:09,20.64,0,0.0123
144,3/8/20 13:10,20.66,0,0.0123
145,3/8/20 13:10,20.66,0,0.0123
146,3/8/20 13:10,20.66,0,0.0123
147,3/8/20 13:10,20.67,0,0.0123
148,3/8/20 13:10,20.67,0,0.0123
149,3/8/20 13:10,20.68,0,0.0123
150,3/8/20 13:11,20.68,0,0.0123
151,3/8/20 13:11,20.67,0,0.0123
152,3/8/20 13:11,20.67,0,0.0123
153,3/8/20 13:11,20.67,0,0.0123
154,3/8/20 13:11,20.67,0,0.0123
155,3/8/20 13:11,20.67,0,0.0123
156,3/8/20 13:12,20.67,0,0.0123
157,3/8/20 13:12,20.67,0,0.0123
158,3/8/20 13:12,20.67,0,0.0123
159,3/8/20 13:12,20.66,0,0.0123
