MiniDOT Logger Concatenated Data File
Sensor:             7450-735719
Concatenation Date: 2020Mar09 16:09:36 PDT

DO concentration compensated for salinity: 32.4 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1583374380,           2020-03-05 02:13:00,           2020-03-04 18:13:00,      3.330000,     23.397000,          6.584425,                    93.192540,      0.974000"
"                1583374440,           2020-03-05 02:14:00,           2020-03-04 18:14:00,      3.340000,     22.510000,          6.840068,                    95.309393,      0.975000"
"                1583374500,           2020-03-05 02:15:00,           2020-03-04 18:15:00,      3.350000,     21.958000,          6.929279,                    95.607944,      0.975000"
"                1583374560,           2020-03-05 02:16:00,           2020-03-04 18:16:00,      3.350000,     21.590000,          6.995265,                    95.883587,      0.977000"
"                1583374620,           2020-03-05 02:17:00,           2020-03-04 18:17:00,      3.360000,     21.306000,          7.004065,                    95.514133,      0.975000"
"                1583374680,           2020-03-05 02:18:00,           2020-03-04 18:18:00,      3.360000,     21.105000,          7.038481,                    95.635164,      0.976000"
"                1583374740,           2020-03-05 02:19:00,           2020-03-04 18:19:00,      3.360000,     20.946000,          7.060885,                    95.663305,      0.976000"
"                1583374800,           2020-03-05 02:20:00,           2020-03-04 18:20:00,      3.370000,     20.846000,          7.068153,                    95.587919,      0.975000"
"                1583374860,           2020-03-05 02:21:00,           2020-03-04 18:21:00,      3.370000,     20.746000,          7.086167,                    95.657273,      0.977000"
"                1583374920,           2020-03-05 02:22:00,           2020-03-04 18:22:00,      3.370000,     20.704000,          7.094838,                    95.701068,      0.977000"
"                1583374980,           2020-03-05 02:23:00,           2020-03-04 18:23:00,      3.370000,     20.654000,          7.095987,                    95.629337,      0.977000"
"                1583375040,           2020-03-05 02:24:00,           2020-03-04 18:24:00,      3.380000,     20.628000,          7.100684,                    95.647262,      0.977000"
"                1583375100,           2020-03-05 02:25:00,           2020-03-04 18:25:00,      3.380000,     20.587000,          7.101922,                    95.592374,      0.977000"
"                1583375160,           2020-03-05 02:26:00,           2020-03-04 18:26:00,      3.380000,     20.570000,          7.108363,                    95.649371,      0.978000"
"                1583375220,           2020-03-05 02:27:00,           2020-03-04 18:27:00,      3.380000,     20.536000,          7.112151,                    95.640919,      0.978000"
"                1583375280,           2020-03-05 02:28:00,           2020-03-04 18:28:00,      3.380000,     20.520000,          7.110336,                    95.588547,      0.978000"
"                1583375340,           2020-03-05 02:29:00,           2020-03-04 18:29:00,      3.380000,     20.503000,          7.108510,                    95.534308,      0.977000"
"                1583375400,           2020-03-05 02:30:00,           2020-03-04 18:30:00,      3.390000,     20.503000,          7.109336,                    95.545416,      0.978000"
"                1583375460,           2020-03-05 02:31:00,           2020-03-04 18:31:00,      3.390000,     20.495000,          7.108429,                    95.519243,      0.978000"
"                1583375520,           2020-03-05 02:32:00,           2020-03-04 18:32:00,      3.390000,     20.495000,          7.105949,                    95.485922,      0.978000"
"                1583375580,           2020-03-05 02:33:00,           2020-03-04 18:33:00,      3.390000,     20.478000,          7.099991,                    95.376200,      0.977000"
"                1583375640,           2020-03-05 02:34:00,           2020-03-04 18:34:00,      3.390000,     20.469000,          7.115603,                    95.570196,      0.979000"
"                1583375700,           2020-03-05 02:35:00,           2020-03-04 18:35:00,      3.390000,     20.469000,          7.114777,                    95.559095,      0.979000"
"                1583375760,           2020-03-05 02:36:00,           2020-03-04 18:36:00,      3.390000,     20.453000,          7.109655,                    95.462355,      0.978000"
"                1583375820,           2020-03-05 02:37:00,           2020-03-04 18:37:00,      3.390000,     20.444000,          7.117002,                    95.545268,      0.979000"
"                1583375880,           2020-03-05 02:38:00,           2020-03-04 18:38:00,      3.390000,     20.453000,          7.108828,                    95.451258,      0.979000"
"                1583375940,           2020-03-05 02:39:00,           2020-03-04 18:39:00,      3.390000,     20.436000,          7.103696,                    95.352684,      0.978000"
"                1583376000,           2020-03-05 02:40:00,           2020-03-04 18:40:00,      3.400000,     20.436000,          7.119400,                    95.563470,      0.979000"
"                1583376060,           2020-03-05 02:41:00,           2020-03-04 18:41:00,      3.400000,     20.444000,          7.112869,                    95.489790,      0.979000"
"                1583376120,           2020-03-05 02:42:00,           2020-03-04 18:42:00,      3.400000,     20.428000,          7.110227,                    95.426370,      0.979000"
"                1583376180,           2020-03-05 02:43:00,           2020-03-04 18:43:00,      3.400000,     20.453000,          7.097257,                    95.295890,      0.978000"
"                1583376240,           2020-03-05 02:44:00,           2020-03-04 18:44:00,      3.400000,     20.428000,          7.111054,                    95.437462,      0.979000"
"                1583376300,           2020-03-05 02:45:00,           2020-03-04 18:45:00,      3.400000,     20.444000,          7.105431,                    95.389928,      0.979000"
"                1583376360,           2020-03-05 02:46:00,           2020-03-04 18:46:00,      3.400000,     20.419000,          7.113441,                    95.453782,      0.979000"
"                1583376420,           2020-03-05 02:47:00,           2020-03-04 18:47:00,      3.400000,     20.436000,          7.105349,                    95.374872,      0.978000"
"                1583376480,           2020-03-05 02:48:00,           2020-03-04 18:48:00,      3.400000,     20.428000,          7.104442,                    95.348724,      0.978000"
"                1583376540,           2020-03-05 02:49:00,           2020-03-04 18:49:00,      3.400000,     20.419000,          7.110135,                    95.409421,      0.979000"
"                1583376600,           2020-03-05 02:50:00,           2020-03-04 18:50:00,      3.400000,     20.411000,          7.110054,                    95.394356,      0.979000"
"                1583376660,           2020-03-05 02:51:00,           2020-03-04 18:51:00,      3.400000,     20.428000,          7.107748,                    95.393093,      0.979000"
"                1583376720,           2020-03-05 02:52:00,           2020-03-04 18:52:00,      3.400000,     20.411000,          7.110054,                    95.394356,      0.979000"
"                1583376780,           2020-03-05 02:53:00,           2020-03-04 18:53:00,      3.400000,     20.428000,          7.105268,                    95.359816,      0.979000"
"                1583376840,           2020-03-05 02:54:00,           2020-03-04 18:54:00,      3.400000,     20.428000,          7.107748,                    95.393093,      0.979000"
"                1583376900,           2020-03-05 02:55:00,           2020-03-04 18:55:00,      3.400000,     20.419000,          7.108483,                    95.387240,      0.979000"
"                1583376960,           2020-03-05 02:56:00,           2020-03-04 18:56:00,      3.410000,     20.428000,          7.106095,                    95.370909,      0.979000"
"                1583377020,           2020-03-05 02:57:00,           2020-03-04 18:57:00,      3.410000,     20.419000,          7.107656,                    95.376150,      0.978000"
"                1583377080,           2020-03-05 02:58:00,           2020-03-04 18:58:00,      3.410000,     20.436000,          7.109482,                    95.430342,      0.979000"
"                1583377140,           2020-03-05 02:59:00,           2020-03-04 18:59:00,      3.410000,     20.428000,          7.111880,                    95.448554,      0.979000"
"                1583377200,           2020-03-05 03:00:00,           2020-03-04 19:00:00,      3.410000,     20.428000,          7.114359,                    95.481831,      0.979000"
"                1583377260,           2020-03-05 03:01:00,           2020-03-04 19:01:00,      3.410000,     20.428000,          7.102789,                    95.326540,      0.978000"
"                1583377320,           2020-03-05 03:02:00,           2020-03-04 19:02:00,      3.410000,     20.436000,          7.103696,                    95.352684,      0.979000"
"                1583377380,           2020-03-05 03:03:00,           2020-03-04 19:03:00,      3.410000,     20.444000,          7.106257,                    95.401024,      0.979000"
"                1583377440,           2020-03-05 03:04:00,           2020-03-04 19:04:00,      3.410000,     20.444000,          7.107084,                    95.412120,      0.979000"
"                1583377500,           2020-03-05 03:05:00,           2020-03-04 19:05:00,      3.410000,     20.428000,          7.109401,                    95.415277,      0.979000"
"                1583377560,           2020-03-05 03:06:00,           2020-03-04 19:06:00,      3.410000,     20.444000,          7.108737,                    95.434311,      0.979000"
"                1583377620,           2020-03-05 03:07:00,           2020-03-04 19:07:00,      3.410000,     20.444000,          7.110390,                    95.456503,      0.979000"
"                1583377680,           2020-03-05 03:08:00,           2020-03-04 19:08:00,      3.410000,     20.436000,          7.107002,                    95.397060,      0.979000"
