Serial Number:20555868 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 13:31:00,21.88,149, , , , , 
2020-03-02 13:32:00,22.01,181, , , , , 
2020-03-02 13:33:00,22.13,29, , , , , 
2020-03-02 13:34:00,22.35,28, , , , , 
2020-03-02 13:35:00,22.61,140, , , , , 
2020-03-02 13:36:00,22.73,39, , , , , 
2020-03-02 13:37:00,22.86,121, , , , , 
2020-03-02 13:38:00,22.95,120, , , , , 
2020-03-02 13:39:00,23.08,46, , , , , 
2020-03-02 13:40:00,23.12,11, , , , , 
2020-03-02 13:41:00,23.46,"2,470", , , , , 
2020-03-02 13:42:00,22.82,"5,206", , , , , 
2020-03-02 13:43:00,22.05,"4,987", , , , , 
2020-03-02 13:44:00,21.36,163, , , , , 
2020-03-02 13:45:00,21.32,"12,360", , , , , 
2020-03-02 13:46:00,19.99,976, , , , , 
2020-03-02 13:47:00,19.17,754, , , , , 
2020-03-02 13:48:00,18.62,"6,403", , , , , 
2020-03-02 13:49:00,18.32,953, , , , , 
2020-03-02 13:50:00,18.06,"1,204", , , , , 
2020-03-02 13:51:00,17.93,"1,448", , , , , 
2020-03-02 13:52:00,17.80,"1,034", , , , , 
2020-03-02 13:53:00,17.84,"9,132", , , , , 
2020-03-02 13:54:00,17.80,"3,379", , , , , 
2020-03-02 13:55:00,17.76,"6,410", , , , , 
2020-03-02 13:56:00,17.76,"8,269", , , , , 
2020-03-02 13:57:00,17.76,"8,136", , , , , 
2020-03-02 13:58:00,17.76,"8,192", , , , , 
2020-03-02 13:59:00,17.72,"8,136", , , , , 
2020-03-02 14:00:00,17.59,133, , , , , 
2020-03-02 14:01:00,17.46,133, , , , , 
2020-03-02 14:02:00,17.46,133, , , , , 
2020-03-02 14:03:00,17.41,134, , , , , 
2020-03-02 14:04:00,17.41,133, , , , , 
2020-03-02 14:05:00,17.41,133, , , , , 
2020-03-02 14:06:00,17.37,133, , , , , 
2020-03-02 14:07:00,17.33,134, , , , , 
