Serial Number:20555870 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 15:29:00,17.24,"2,838", , , , , 
2020-03-02 15:30:00,17.24,"2,828", , , , , 
2020-03-02 15:31:00,17.24,"3,122", , , , , 
2020-03-02 15:32:00,17.20,"3,128", , , , , 
2020-03-02 15:33:00,17.20,"3,123", , , , , 
2020-03-02 15:34:00,17.24,"3,124", , , , , 
2020-03-02 15:35:00,17.20,"3,110", , , , , 
2020-03-02 15:36:00,17.24,"3,118", , , , , 
2020-03-02 15:37:00,17.20,"3,136", , , , , 
2020-03-02 15:38:00,17.20,"3,091", , , , , 
2020-03-02 15:39:00,17.20,"3,124", , , , , 
2020-03-02 15:40:00,17.24,"3,117", , , , , 
2020-03-02 15:41:00,17.20,"3,110", , , , , 
2020-03-02 15:42:00,17.24,"3,432", , , , , 
2020-03-02 15:43:00,17.29,"3,425", , , , , 
2020-03-02 15:44:00,17.29,"3,407", , , , , 
2020-03-02 15:45:00,17.24,"3,462", , , , , 
2020-03-02 15:46:00,17.24,"3,444", , , , , 
2020-03-02 15:47:00,17.24,"3,469", , , , , 
2020-03-02 15:48:00,17.24,"3,430", , , , , 
2020-03-02 15:49:00,17.24,"3,476", , , , , 
2020-03-02 15:50:00,17.24,"4,140", , , , , 
2020-03-02 15:51:00,17.29,"4,101", , , , , 
2020-03-02 15:52:00,17.16,"4,147", , , , , 
2020-03-02 15:53:00,17.20,"4,133", , , , , 
2020-03-02 15:54:00,17.29,"4,154", , , , , 
2020-03-02 15:55:00,17.29,"4,147", , , , , 
2020-03-02 15:56:00,17.29,"4,150", , , , , 
2020-03-02 15:57:00,17.29,"4,193", , , , , 
2020-03-02 15:58:00,17.24,"4,108", , , , , 
2020-03-02 15:59:00,17.29,"4,090", , , , , 
2020-03-02 16:00:00,17.29,"4,115", , , , , 
2020-03-02 16:01:00,17.24,"4,161", , , , , 
2020-03-02 16:02:00,17.20,"4,157", , , , , 
2020-03-02 16:03:00,17.24,"4,150", , , , , 
2020-03-02 16:04:00,17.24,"4,140", , , , , 
2020-03-02 16:05:00,17.16,"4,136", , , , , 
2020-03-02 16:06:00,17.24,"4,097", , , , , 
2020-03-02 16:07:00,17.20,"4,136", , , , , 
2020-03-02 16:08:00,17.24,"4,111", , , , , 
2020-03-02 16:09:00,17.29,"4,143", , , , , 
2020-03-02 16:10:00,17.24,"4,796", , , , , 
2020-03-02 16:11:00,17.29,"4,814", , , , , 
2020-03-02 16:12:00,17.29,"4,760", , , , , 
2020-03-02 16:13:00,17.24,"4,796", , , , , 
2020-03-02 16:14:00,17.29,"4,792", , , , , 
2020-03-02 16:15:00,17.29,"4,732", , , , , 
2020-03-02 16:16:00,17.29,"4,778", , , , , 
2020-03-02 16:17:00,17.24,"4,803", , , , , 
2020-03-02 16:18:00,17.24,"4,742", , , , , 
2020-03-02 16:19:00,17.29,"4,772", , , , , 
2020-03-02 16:20:00,17.24,"4,786", , , , , 
2020-03-02 16:21:00,17.24,"4,800", , , , , 
2020-03-02 16:22:00,17.29,"4,824", , , , , 
2020-03-02 16:23:00,17.29,"4,764", , , , , 
2020-03-02 16:24:00,17.33,"4,806", , , , , 
2020-03-02 16:25:00,17.29,"4,786", , , , , 
2020-03-02 16:26:00,17.29,"4,800", , , , , 
2020-03-02 16:27:00,17.29,"4,800", , , , , 
2020-03-02 16:28:00,17.29,"4,820", , , , , 
2020-03-02 16:29:00,17.29,"4,810", , , , , 
2020-03-02 16:30:00,17.24,"4,814", , , , , 
2020-03-02 16:31:00,17.29,"4,810", , , , , 
2020-03-02 16:32:00,17.20,"3,372", , , , , 
2020-03-02 16:33:00,17.24,"3,388", , , , , 
2020-03-02 16:34:00,17.24,"3,396", , , , , 
2020-03-02 16:35:00,17.16,"3,375", , , , , 
2020-03-02 16:36:00,17.20,"3,395", , , , , 
2020-03-02 16:37:00,17.24,"3,386", , , , , 
2020-03-02 16:38:00,17.24,"3,411", , , , , 
2020-03-02 16:39:00,17.24,"3,412", , , , , 
2020-03-02 16:40:00,17.29,"3,419", , , , , 
2020-03-02 16:41:00,17.24,"3,384", , , , , 
2020-03-02 16:42:00,17.24,"3,379", , , , , 
2020-03-02 16:43:00,17.24,"3,845", , , , , 
2020-03-02 16:44:00,17.24,"3,827", , , , , 
2020-03-02 16:45:00,17.29,"3,827", , , , , 
2020-03-02 16:46:00,17.24,"3,841", , , , , 
2020-03-02 16:47:00,17.29,"3,873", , , , , 
2020-03-02 16:48:00,17.24,"3,831", , , , , 
2020-03-02 16:49:00,17.24,"3,845", , , , , 
2020-03-02 16:50:00,17.20,"3,799", , , , , 
2020-03-02 16:51:00,17.29,"3,835", , , , , 
2020-03-02 16:52:00,17.29,"3,803", , , , , 
2020-03-02 16:53:00,17.29,"3,839", , , , , 
2020-03-02 16:54:00,17.29,"3,849", , , , , 
2020-03-02 16:55:00,17.29,"3,859", , , , , 
2020-03-02 16:56:00,17.29,"3,867", , , , , 
2020-03-02 16:57:00,17.29,"3,873", , , , , 
2020-03-02 16:58:00,17.29,"3,803", , , , , 
2020-03-02 16:59:00,17.24,"3,845", , , , , 
2020-03-02 17:00:00,17.24,"3,871", , , , , 
2020-03-02 17:01:00,17.24,"3,131", , , , , 
2020-03-02 17:02:00,17.24,"3,124", , , , , 
