Serial Number:20555870 --,,,,,,,
,,,,,,,
"Date Time, GMT -0800","Temp, (*F)","Intensity, ( lum/ft2)",Button Down,Button Up,Host Connect,Stopped,EOF
2/11/20 14:02,73.85,80, , , , , 
2/11/20 14:03,73.85,80, , , , , 
2/11/20 14:04,73.85,80, , , , , 
2/11/20 14:05,73.85,80, , , , , 
2/11/20 14:06,73.85,80, , , , , 
2/11/20 14:07,73.85,80, , , , , 
2/11/20 14:08,73.77,80, , , , , 
2/10/20 16:45,73.08,20, , , , , 
2/10/20 16:46,73,20, , , , , 
2/10/20 16:47,73,20, , , , , 
2/10/20 16:48,72.92,20, , , , , 
2/10/20 16:49,72.92,20, , , , , 
2/10/20 16:50,72.84,20, , , , , 
2/10/20 16:51,72.84,20, , , , , 
2/10/20 16:52,72.84,23, , , , , 
2/10/20 16:53,72.77,23, , , , , 
2/10/20 16:54,72.77,23, , , , , 
2/10/20 16:55,72.69,23, , , , , 
2/10/20 16:56,72.77,23, , , , , 
2/10/20 16:57,72.61,22, , , , , 
2/10/20 16:58,72.77,22, , , , , 
2/10/20 16:59,72.69,23, , , , , 
2/10/20 17:00,72.77,23, , , , , 
2/10/20 17:01,72.77,23, , , , , 
2/10/20 17:02,72.77,22, , , , , 
2/10/20 17:03,72.61,22, , , , , 
2/10/20 17:04,72.69,23, , , , , 
2/10/20 17:05,72.69,23, , , , , 
2/10/20 17:06,72.69,23, , , , , 
2/10/20 17:07,72.69,23, , , , , 
2/10/20 17:08,72.77,22, , , , , 
2/10/20 17:09,72.69,22, , , , , 
2/10/20 17:10,72.69,23, , , , , 
2/10/20 17:11,72.84,23, , , , , 
2/10/20 17:12,72.77,23, , , , , 
2/10/20 17:13,72.77,23, , , , , 
2/10/20 17:14,72.84,23, , , , , 
2/10/20 17:15,72.84,23, , , , , 
2/10/20 17:16,72.77,23, , , , , 
2/10/20 17:17,72.84,23, , , , , 
2/10/20 17:18,72.77,23, , , , , 
2/10/20 17:19,72.77,23, , , , , 
2/10/20 17:20,72.84,23, , , , , 
2/10/20 17:21,72.77,23, , , , , 
2/10/20 17:22,72.77,23, , , , , 
2/10/20 17:23,72.84,23, , , , , 
2/10/20 17:24,72.77,23, , , , , 
2/10/20 17:25,72.77,23, , , , , 
2/10/20 17:26,72.84,23, , , , , 
2/10/20 17:27,72.77,23, , , , , 
2/10/20 17:28,72.84,23, , , , , 
2/10/20 17:29,72.77,23, , , , , 
2/10/20 17:30,72.77,23, , , , , 
2/10/20 17:31,72.77,23, , , , , 
2/10/20 17:32,72.77,22, , , , , 
2/10/20 17:33,72.84,23, , , , , 
2/10/20 17:34,72.77,23, , , , , 
2/10/20 17:35,72.84,23, , , , , 
2/10/20 17:36,72.77,23, , , , , 
2/10/20 17:37,72.84,23, , , , , 
2/10/20 17:38,72.77,23, , , , , 
2/10/20 17:39,72.84,23, , , , , 
2/10/20 17:40,72.77,23, , , , , 
2/10/20 17:41,72.92,23, , , , , 
2/10/20 17:42,72.77,23, , , , , 
2/10/20 17:43,72.77,23, , , , , 
2/10/20 17:44,72.84,23, , , , , 
2/10/20 17:45,72.84,22, , , , , 
2/10/20 17:46,72.84,22, , , , , 
2/10/20 17:47,72.92,23, , , , , 
2/10/20 17:48,72.92,23, , , , , 
2/10/20 17:49,72.84,23, , , , , 
2/10/20 17:50,72.84,22, , , , , 
2/10/20 17:51,72.92,22, , , , , 
2/10/20 17:52,72.84,23, , , , , 
2/10/20 17:53,72.92,24, , , , , 
2/10/20 17:54,72.84,24, , , , , 
2/10/20 17:55,72.77,24, , , , , 
2/10/20 17:56,72.77,25, , , , , 
2/10/20 17:56, , ,Logged, , , , 
2/10/20 17:56, , , ,Logged, , , 
2/10/20 17:56, , , , ,Logged, , 
2/10/20 17:56, , , , , ,Logged,Logged
